mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,271.967,55.744
mol_0004_0001.xyz,3,C,311.876,50.293
mol_0005_0001.xyz,7,C,296.006,58.773
mol_0006_0001.xyz,24,C,323.465,56.536
mol_0007_0001.xyz,4,C,340.47,53.175
mol_0008_0001.xyz,8,C,262.345,51.841
mol_0009_0001.xyz,31,C,467.475,59.754
mol_0011_0001.xyz,11,C,353.874,60.167
mol_0013_0001.xyz,7,C,388.594,54.423
mol_0014_0001.xyz,23,C,352.283,55.528
mol_0016_0001.xyz,4,C,329.272,48.858
mol_0021_0001.xyz,11,C,316.866,62.748
mol_0022_0001.xyz,16,C,361.439,45.612
mol_0025_0001.xyz,14,C,290.185,52.048
mol_0027_0001.xyz,18,C,326.981,68.182
mol_0028_0001.xyz,12,C,199.482,45.012
mol_0029_0001.xyz,8,C,331.068,49.073
mol_0030_0001.xyz,25,C,459.371,66.073
mol_0032_0001.xyz,3,C,323.771,66.989
mol_0033_0001.xyz,27,C,400.544,61.95
mol_0037_0001.xyz,23,C,387.392,44.529
mol_0038_0001.xyz,19,C,337.694,50.689
mol_0043_0001.xyz,24,C,420.997,70.171
mol_0047_0001.xyz,15,C,360.446,41.964
mol_0048_0001.xyz,9,C,263.456,79.302
mol_0049_0001.xyz,4,C,324.351,49.232
mol_0050_0001.xyz,14,C,361.55,60.019
mol_0051_0001.xyz,23,C,344.993,44.624
mol_0052_0001.xyz,22,C,341.062,53.541
mol_0054_0001.xyz,12,C,330.013,56.983
mol_0057_0001.xyz,9,C,235.587,59.179
mol_0058_0001.xyz,5,C,344.82,53.927
mol_0060_0001.xyz,18,C,268.745,76.357
mol_0062_0001.xyz,1,C,229.449,42.408
mol_0064_0001.xyz,16,C,395.018,58.236
mol_0068_0001.xyz,17,C,333.394,57.93
mol_0070_0001.xyz,5,C,335.009,64.076
mol_0075_0001.xyz,4,C,324.664,62.542
mol_0077_0001.xyz,12,C,354.982,58.854
mol_0078_0001.xyz,5,C,302.851,50.712
mol_0079_0001.xyz,13,C,318.486,52.002
mol_0080_0001.xyz,6,C,336.581,54.409
mol_0082_0001.xyz,2,C,363.26,66.351
mol_0085_0001.xyz,8,C,351.435,66.479
mol_0086_0001.xyz,2,C,327.268,57.504
mol_0088_0001.xyz,5,C,260.409,57.608
mol_0090_0001.xyz,14,C,350.629,64.998
mol_0091_0001.xyz,18,C,339.507,51.415
mol_0094_0001.xyz,22,C,350.665,55.578
mol_0095_0001.xyz,19,C,338.075,44.805
mol_0098_0001.xyz,15,C,334.202,52.532
mol_0100_0001.xyz,11,C,344.259,56.691
mol_0102_0001.xyz,11,C,299.352,57.504
mol_0105_0001.xyz,19,C,334.36,40.026
mol_0106_0001.xyz,5,C,301.27,64.557
mol_0110_0001.xyz,30,C,411.144,47.688
mol_0111_0001.xyz,22,C,354.005,57.717
mol_0112_0001.xyz,27,C,395.002,52.671
mol_0113_0001.xyz,20,C,434.748,60.51
mol_0114_0001.xyz,18,C,464.538,74.175
mol_0116_0001.xyz,3,C,341.569,65.811
mol_0117_0001.xyz,15,C,355.378,51.585
mol_0118_0001.xyz,5,C,317.626,70.725
mol_0119_0001.xyz,7,C,312.816,56.092
mol_0121_0001.xyz,6,C,277.8,45.772
mol_0122_0001.xyz,10,C,191.026,46.321
mol_0123_0001.xyz,13,C,346.312,54.834
mol_0124_0001.xyz,9,C,222.202,54.391
mol_0125_0001.xyz,19,C,343.811,60.48
mol_0130_0001.xyz,11,C,398.673,47.78
mol_0131_0001.xyz,5,C,326.511,64.693
mol_0132_0001.xyz,23,C,416.503,50.9
mol_0134_0001.xyz,22,C,352.243,58.691
mol_0136_0001.xyz,11,C,218.445,57.99
mol_0137_0001.xyz,1,C,320.105,35.292
mol_0138_0001.xyz,6,C,217.429,67.392
mol_0141_0001.xyz,17,C,328.637,35.861
mol_0143_0001.xyz,11,C,272.664,74.114
mol_0144_0001.xyz,6,C,329.622,64.275
mol_0147_0001.xyz,18,C,315.862,46.311
mol_0150_0001.xyz,9,C,368.322,61.349
mol_0151_0001.xyz,19,C,272.681,57.37
mol_0152_0001.xyz,13,C,436.974,60.774
mol_0155_0001.xyz,20,C,329.107,44.041
mol_0160_0001.xyz,18,C,261.769,58.814
mol_0163_0001.xyz,4,C,394.049,67.501
mol_0165_0001.xyz,25,C,402.624,58.357
mol_0167_0001.xyz,18,C,283.913,57.73
mol_0170_0001.xyz,22,C,326.971,47.897
mol_0173_0001.xyz,3,C,265.602,45.715
mol_0175_0001.xyz,18,C,331.672,61.365
mol_0177_0001.xyz,13,C,301.581,48.134
mol_0180_0001.xyz,20,C,402.354,68.93
mol_0181_0001.xyz,19,C,354.3,43.114
mol_0183_0001.xyz,1,C,257.248,41.122
mol_0184_0001.xyz,12,C,333.882,64.038
mol_0187_0001.xyz,20,C,417.806,56.234
mol_0190_0001.xyz,26,C,338.331,58.489
mol_0202_0001.xyz,14,C,342.124,53.25
mol_0203_0001.xyz,19,C,362.622,52.185
mol_0204_0001.xyz,14,C,345.805,47.665
mol_0205_0001.xyz,21,C,395.201,46.291
mol_0210_0001.xyz,12,C,350.206,43.355
mol_0211_0001.xyz,5,C,300.206,49.807
mol_0212_0001.xyz,18,C,309.033,43.085
mol_0215_0001.xyz,5,C,245.573,45.758
mol_0216_0001.xyz,22,C,359.054,59.081
mol_0218_0001.xyz,27,C,349.069,47.807
mol_0219_0001.xyz,22,C,359.975,49.556
mol_0220_0001.xyz,8,C,307.203,59.333
mol_0221_0001.xyz,5,C,274.603,79.139
mol_0222_0001.xyz,26,C,399.099,49.273
mol_0225_0001.xyz,6,C,432.154,71.037
mol_0226_0001.xyz,21,C,371.212,45.986
mol_0231_0001.xyz,7,C,393.732,68.7
mol_0236_0001.xyz,3,C,346.087,48.833
mol_0239_0001.xyz,16,C,392.132,61.717
mol_0242_0001.xyz,20,C,333.826,49.411
mol_0243_0001.xyz,10,C,266.528,44.554
mol_0245_0001.xyz,2,C,390.209,50.26
mol_0246_0001.xyz,16,C,321.862,58.286
mol_0248_0001.xyz,12,C,225.454,43.228
mol_0251_0001.xyz,6,C,383.864,49.599
mol_0253_0001.xyz,12,C,271.184,49.801
mol_0254_0001.xyz,1,C,456.488,33.786
mol_0256_0001.xyz,9,C,312.769,59.464
mol_0257_0001.xyz,2,C,303.801,43.468
mol_0258_0001.xyz,3,C,366.797,69.468
mol_0259_0001.xyz,26,C,356.897,45.937
mol_0260_0001.xyz,7,C,273.821,51.736
mol_0263_0001.xyz,16,C,260.732,40.559
mol_0266_0001.xyz,17,C,299.592,60.993
mol_0267_0001.xyz,18,C,373.368,54.844
mol_0268_0001.xyz,8,C,249.582,44.485
mol_0275_0001.xyz,5,C,242.033,57.459
mol_0277_0001.xyz,12,C,424.685,64.115
mol_0279_0001.xyz,13,C,340.97,47.212
mol_0282_0001.xyz,7,C,355.532,48.736
mol_0284_0001.xyz,12,C,269.557,41.62
mol_0285_0001.xyz,11,C,288.85,50.619
mol_0288_0001.xyz,10,C,436.104,47.985
mol_0289_0001.xyz,11,C,262.028,51.782
mol_0292_0001.xyz,20,C,388.447,60.43
mol_0293_0001.xyz,4,C,250.173,50.751
mol_0294_0001.xyz,9,C,202.519,51.815
mol_0298_0001.xyz,11,C,236.472,52.484
mol_0300_0001.xyz,6,C,331.216,56.303
mol_0301_0001.xyz,14,C,376.131,75.562
mol_0307_0001.xyz,4,C,310.053,46.52
mol_0308_0001.xyz,16,C,319.867,41.364
mol_0311_0001.xyz,3,C,343.932,40.811
mol_0312_0001.xyz,25,C,377.612,45.04
mol_0313_0001.xyz,7,C,298.938,49.761
mol_0314_0001.xyz,18,C,290.204,42.829
mol_0315_0001.xyz,14,C,299.698,45.931
mol_0316_0001.xyz,6,C,347.395,55.975
mol_0318_0001.xyz,10,C,382.804,63.592
mol_0319_0001.xyz,4,C,275.514,59.15
mol_0322_0001.xyz,20,C,346.507,52.088
mol_0324_0001.xyz,4,C,348.283,51.403
mol_0325_0001.xyz,12,C,268.033,53.93
mol_0327_0001.xyz,29,C,411.458,67.386
mol_0328_0001.xyz,17,C,263.811,44.061
mol_0329_0001.xyz,3,C,326.293,53.793
mol_0332_0001.xyz,15,C,223.533,44.635
mol_0334_0001.xyz,11,C,237.955,42.344
mol_0336_0001.xyz,3,C,439.332,56.109
mol_0340_0001.xyz,14,C,268.977,43.872
mol_0342_0001.xyz,7,C,348.118,39.9
mol_0344_0001.xyz,15,C,314.099,49.735
mol_0345_0001.xyz,21,C,289.835,47.783
mol_0346_0001.xyz,10,C,398.467,62.162
mol_0349_0001.xyz,10,C,372.727,51.205
mol_0351_0001.xyz,6,C,188.946,67.085
mol_0356_0001.xyz,9,C,332.281,50.253
mol_0357_0001.xyz,4,C,330.277,62.875
mol_0358_0001.xyz,10,C,343.667,61.679
mol_0360_0001.xyz,11,C,385.268,68.81
mol_0361_0001.xyz,3,C,230.471,48.528
mol_0363_0001.xyz,10,C,364.892,38.707
mol_0364_0001.xyz,6,C,378.96,62.188
mol_0365_0001.xyz,23,C,371.263,53.649
mol_0367_0001.xyz,5,C,366.005,58.593
mol_0369_0001.xyz,1,C,247.608,31.842
mol_0371_0001.xyz,2,C,327.666,52.368
mol_0373_0001.xyz,8,C,338.927,51.672
mol_0374_0001.xyz,22,C,327.976,55.273
mol_0375_0001.xyz,20,C,373.938,46.125
mol_0383_0001.xyz,17,C,247.365,46.641
mol_0384_0001.xyz,23,C,333.15,55.507
mol_0385_0001.xyz,19,C,319.044,56.439
mol_0386_0001.xyz,2,C,191.594,41.009
mol_0387_0001.xyz,20,C,349.602,44.261
mol_0390_0001.xyz,14,C,349.705,41.151
mol_0391_0001.xyz,18,C,296.673,53.237
mol_0392_0001.xyz,8,C,379.96,65.828
mol_0393_0001.xyz,18,C,309.358,53.033
mol_0394_0001.xyz,23,C,383.201,57.722
mol_0396_0001.xyz,10,C,333.328,54.603
mol_0397_0001.xyz,15,C,359.887,66.597
mol_0398_0001.xyz,2,C,300.741,67.242
mol_0399_0001.xyz,15,C,333.677,38.894
mol_0403_0001.xyz,5,C,358.623,61.695
mol_0405_0001.xyz,6,C,284.546,57.28
mol_0409_0001.xyz,1,C,285.903,36.218
mol_0412_0001.xyz,10,C,363.557,54.383
mol_0414_0001.xyz,17,C,303.53,43.384
mol_0417_0001.xyz,12,C,296.096,59.103
mol_0418_0001.xyz,1,C,250.68,32.897
mol_0420_0001.xyz,25,C,398.165,70.466
mol_0421_0001.xyz,5,C,193.651,53.156
mol_0425_0001.xyz,21,C,341.612,54.988
mol_0430_0001.xyz,16,C,337.436,37.136
mol_0431_0001.xyz,3,C,361.732,59.473
mol_0432_0001.xyz,3,C,244.562,43.829
mol_0433_0001.xyz,10,C,375.863,42.084
mol_0434_0001.xyz,19,C,364.34,50.3
mol_0435_0001.xyz,15,C,309.389,43.447
mol_0436_0001.xyz,2,C,203.672,37.604
mol_0437_0001.xyz,7,C,289.431,42.802
mol_0438_0001.xyz,9,C,219.752,59.689
mol_0440_0001.xyz,17,C,340.2,56.52
mol_0445_0001.xyz,16,C,300.632,69.183
mol_0448_0001.xyz,8,C,287.33,51.176
mol_0450_0001.xyz,23,C,361.73,59.712
mol_0453_0001.xyz,10,C,300.577,76.181
mol_0454_0001.xyz,18,C,377.868,56.381
mol_0455_0001.xyz,12,C,256.416,47.661
mol_0456_0001.xyz,7,C,284.644,68.973
mol_0457_0001.xyz,5,C,309.736,48.027
mol_0458_0001.xyz,3,C,381.775,61.189
mol_0461_0001.xyz,11,C,265.059,55.124
mol_0464_0001.xyz,23,C,423.562,48.616
mol_0465_0001.xyz,11,C,233.7,59.302
mol_0466_0001.xyz,25,C,365.269,53.238
mol_0467_0001.xyz,2,C,293.624,60.469
mol_0469_0001.xyz,13,C,281.188,44.198
mol_0470_0001.xyz,2,C,297.313,52.736
mol_0474_0001.xyz,18,C,338.146,65.408
mol_0475_0001.xyz,4,C,282.037,51.172
mol_0476_0001.xyz,24,C,332.972,59.516
mol_0478_0001.xyz,11,C,341.791,46.811
mol_0480_0001.xyz,23,C,387.581,57.164
mol_0484_0001.xyz,11,C,313.57,43.471
mol_0485_0001.xyz,24,C,366.785,47.588
mol_0488_0001.xyz,2,C,353.759,68.07
mol_0489_0001.xyz,21,C,334.518,46.711
mol_0493_0001.xyz,18,C,269.773,42.989
mol_0495_0001.xyz,13,C,213.832,51.215
mol_0499_0001.xyz,17,C,295.854,60.91
mol_0016_0001.xyz,20,Cl,327.898,34.275
mol_0023_0001.xyz,28,Cl,383.374,38.206
mol_0026_0001.xyz,7,Cl,304.499,41.255
mol_0033_0001.xyz,25,Cl,400.5,34.002
mol_0044_0001.xyz,22,Cl,358.074,34.242
mol_0065_0001.xyz,28,Cl,408.508,46.07
mol_0067_0001.xyz,23,Cl,447.607,34.286
mol_0097_0001.xyz,11,Cl,354.208,38.989
mol_0101_0001.xyz,27,Cl,438.513,37.704
mol_0107_0001.xyz,14,Cl,242.825,34.305
mol_0122_0001.xyz,6,Cl,190.099,34.56
mol_0124_0001.xyz,10,Cl,224.377,34.326
mol_0130_0001.xyz,8,Cl,404.655,38.096
mol_0139_0001.xyz,11,Cl,262.093,34.202
mol_0148_0001.xyz,11,Cl,339.224,36.378
mol_0160_0001.xyz,19,Cl,259.552,38.225
mol_0179_0001.xyz,9,Cl,252.033,34.09
mol_0196_0001.xyz,20,Cl,312.365,34.251
mol_0200_0001.xyz,12,Cl,286.436,34.346
mol_0223_0001.xyz,15,Cl,373.976,34.278
mol_0227_0001.xyz,19,Cl,341.166,38.844
mol_0228_0001.xyz,12,Cl,352.755,46.905
mol_0232_0001.xyz,23,Cl,421.38,46.882
mol_0255_0001.xyz,21,Cl,389.874,39.936
mol_0265_0001.xyz,13,Cl,275.471,34.318
mol_0276_0001.xyz,23,Cl,358.997,34.331
mol_0280_0001.xyz,14,Cl,249.839,34.252
mol_0296_0001.xyz,14,Cl,262.834,34.147
mol_0298_0001.xyz,13,Cl,237.397,34.305
mol_0301_0001.xyz,24,Cl,378.683,36.634
mol_0303_0001.xyz,23,Cl,393.977,41.659
mol_0330_0001.xyz,21,Cl,402.871,41.091
mol_0344_0001.xyz,20,Cl,316.827,34.258
mol_0356_0001.xyz,20,Cl,329.096,36.843
mol_0362_0001.xyz,14,Cl,401.573,34.257
mol_0371_0001.xyz,24,Cl,327.758,41.818
mol_0372_0001.xyz,16,Cl,348.729,34.328
mol_0379_0001.xyz,19,Cl,262.678,45.323
mol_0396_0001.xyz,24,Cl,333.79,43.857
mol_0399_0001.xyz,23,Cl,337.892,37.539
mol_0401_0001.xyz,16,Cl,306.668,33.137
mol_0421_0001.xyz,10,Cl,192.694,32.322
mol_0423_0001.xyz,21,Cl,335.373,35.886
mol_0435_0001.xyz,18,Cl,307.409,34.338
mol_0448_0001.xyz,20,Cl,289.548,39.359
mol_0450_0001.xyz,18,Cl,362.3,34.306
mol_0455_0001.xyz,14,Cl,255.753,34.131
mol_0470_0001.xyz,15,Cl,299.2,34.346
mol_0486_0001.xyz,16,Cl,264.679,38.48
mol_0499_0001.xyz,16,Cl,294.568,35.461
mol_0010_0001.xyz,21,F,321.09,32.303
mol_0020_0001.xyz,24,F,355.105,42.803
mol_0027_0001.xyz,7,F,324.978,33.925
mol_0029_0001.xyz,23,F,330.059,36.834
mol_0031_0001.xyz,11,F,293.724,32.265
mol_0032_0001.xyz,22,F,318.76,35.666
mol_0037_0001.xyz,27,F,384.715,38.541
mol_0042_0001.xyz,8,F,304.588,32.267
mol_0057_0001.xyz,13,F,234.773,32.29
mol_0058_0001.xyz,23,F,346.242,43.43
mol_0067_0001.xyz,9,F,445.662,32.2
mol_0072_0001.xyz,27,F,388.558,40.058
mol_0086_0001.xyz,18,F,328.936,32.275
mol_0091_0001.xyz,21,F,339.159,39.696
mol_0094_0001.xyz,18,F,351.365,32.227
mol_0098_0001.xyz,1,F,335.349,32.268
mol_0119_0001.xyz,19,F,311.897,38.578
mol_0128_0001.xyz,19,F,359.451,47.794
mol_0129_0001.xyz,21,F,330.682,32.359
mol_0130_0001.xyz,28,F,401.883,44.758
mol_0142_0001.xyz,23,F,338.913,32.29
mol_0150_0001.xyz,24,F,372.081,32.278
mol_0151_0001.xyz,18,F,272.183,30.387
mol_0156_0001.xyz,3,F,325.126,37.342
mol_0157_0001.xyz,19,F,293.889,36.982
mol_0159_0001.xyz,23,F,343.571,32.315
mol_0165_0001.xyz,12,F,409.087,32.337
mol_0167_0001.xyz,10,F,279.141,32.284
mol_0177_0001.xyz,19,F,304.562,37.149
mol_0179_0001.xyz,12,F,250.382,35.692
mol_0183_0001.xyz,18,F,257.2,41.738
mol_0184_0001.xyz,21,F,332.961,36.555
mol_0189_0001.xyz,24,F,353.857,47.646
mol_0192_0001.xyz,17,F,273.157,42.905
mol_0195_0001.xyz,16,F,400.907,32.29
mol_0215_0001.xyz,16,F,248.851,44.132
mol_0218_0001.xyz,23,F,349.405,40.778
mol_0221_0001.xyz,17,F,277.454,47.109
mol_0226_0001.xyz,23,F,379.13,32.267
mol_0227_0001.xyz,16,F,341.83,32.227
mol_0229_0001.xyz,12,F,296.383,43.939
mol_0246_0001.xyz,23,F,323.104,40.38
mol_0259_0001.xyz,25,F,358.547,32.345
