mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,276.442,56.385
mol_0004_0001.xyz,3,C,316.755,50.998
mol_0005_0001.xyz,7,C,300.419,59.35
mol_0006_0001.xyz,24,C,328.767,57.165
mol_0007_0001.xyz,4,C,345.928,53.853
mol_0008_0001.xyz,8,C,266.708,52.526
mol_0009_0001.xyz,31,C,474.782,60.376
mol_0011_0001.xyz,11,C,359.574,60.824
mol_0013_0001.xyz,7,C,394.791,55.152
mol_0014_0001.xyz,23,C,357.96,56.209
mol_0016_0001.xyz,4,C,334.644,49.46
mol_0021_0001.xyz,11,C,322.136,63.443
mol_0022_0001.xyz,16,C,366.879,46.178
mol_0025_0001.xyz,14,C,294.854,52.709
mol_0027_0001.xyz,18,C,334.388,68.912
mol_0028_0001.xyz,12,C,202.494,45.578
mol_0029_0001.xyz,8,C,336.324,49.665
mol_0030_0001.xyz,25,C,466.526,66.814
mol_0032_0001.xyz,3,C,328.716,67.692
mol_0033_0001.xyz,27,C,406.798,62.644
mol_0037_0001.xyz,23,C,393.716,45.207
mol_0038_0001.xyz,19,C,343.089,51.36
mol_0043_0001.xyz,24,C,427.004,71.019
mol_0047_0001.xyz,15,C,366.061,42.592
mol_0048_0001.xyz,9,C,267.312,79.993
mol_0049_0001.xyz,4,C,329.454,49.818
mol_0050_0001.xyz,14,C,364.002,60.831
mol_0051_0001.xyz,23,C,350.579,45.256
mol_0052_0001.xyz,22,C,350.829,54.168
mol_0054_0001.xyz,12,C,335.094,57.615
mol_0057_0001.xyz,9,C,239.576,59.937
mol_0058_0001.xyz,5,C,349.997,54.549
mol_0060_0001.xyz,18,C,272.802,76.975
mol_0062_0001.xyz,1,C,232.903,42.976
mol_0064_0001.xyz,16,C,399.142,58.905
mol_0068_0001.xyz,17,C,338.509,58.622
mol_0070_0001.xyz,5,C,344.204,64.717
mol_0075_0001.xyz,4,C,329.988,63.341
mol_0077_0001.xyz,12,C,360.6,59.603
mol_0078_0001.xyz,5,C,307.388,51.314
mol_0079_0001.xyz,13,C,323.564,52.657
mol_0080_0001.xyz,6,C,341.583,55.032
mol_0082_0001.xyz,2,C,368.617,67.027
mol_0085_0001.xyz,8,C,357.052,67.193
mol_0086_0001.xyz,2,C,334.056,58.23
mol_0088_0001.xyz,5,C,264.928,58.338
mol_0090_0001.xyz,14,C,356.06,65.668
mol_0091_0001.xyz,18,C,344.862,52.037
mol_0094_0001.xyz,22,C,359.942,56.155
mol_0095_0001.xyz,19,C,345.393,45.361
mol_0098_0001.xyz,15,C,339.641,53.268
mol_0100_0001.xyz,11,C,349.799,57.374
mol_0102_0001.xyz,11,C,303.937,58.114
mol_0105_0001.xyz,19,C,339.796,40.669
mol_0106_0001.xyz,5,C,306.135,65.296
