mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,244.38,51.159
mol_0004_0001.xyz,3,C,276.894,45.352
mol_0005_0001.xyz,7,C,265.107,54.549
mol_0006_0001.xyz,24,C,287.16,51.812
mol_0007_0001.xyz,4,C,302.852,48.525
mol_0008_0001.xyz,8,C,232.824,47.046
mol_0009_0001.xyz,31,C,417.875,55.184
mol_0011_0001.xyz,11,C,311.627,55.525
mol_0013_0001.xyz,7,C,350.06,49.284
mol_0014_0001.xyz,23,C,314.949,50.712
mol_0016_0001.xyz,4,C,292.036,44.592
mol_0021_0001.xyz,11,C,281.467,57.739
mol_0022_0001.xyz,16,C,322.712,41.676
mol_0025_0001.xyz,14,C,256.09,47.526
mol_0027_0001.xyz,18,C,288.508,62.858
mol_0028_0001.xyz,12,C,178.348,40.978
mol_0029_0001.xyz,8,C,295.515,44.766
mol_0030_0001.xyz,25,C,410.784,60.772
mol_0032_0001.xyz,3,C,285.473,61.706
mol_0033_0001.xyz,27,C,356.486,56.596
mol_0037_0001.xyz,23,C,344.37,40.123
mol_0038_0001.xyz,19,C,302.798,46.275
mol_0043_0001.xyz,24,C,376.792,63.905
mol_0047_0001.xyz,15,C,319.961,37.618
mol_0048_0001.xyz,9,C,240.095,74.133
mol_0049_0001.xyz,4,C,289.234,44.934
mol_0050_0001.xyz,14,C,319.241,54.701
mol_0051_0001.xyz,23,C,305.684,40.227
mol_0052_0001.xyz,22,C,303.4,48.855
mol_0054_0001.xyz,12,C,293.982,52.396
mol_0057_0001.xyz,9,C,205.732,53.882
mol_0058_0001.xyz,5,C,311.228,49.168
mol_0060_0001.xyz,18,C,237.872,71.706
mol_0062_0001.xyz,1,C,203.245,38.436
mol_0064_0001.xyz,16,C,356.548,53.162
mol_0068_0001.xyz,17,C,297.358,52.901
mol_0070_0001.xyz,5,C,299.984,59.142
mol_0075_0001.xyz,4,C,288.953,57.054
mol_0077_0001.xyz,12,C,316.792,53.545
mol_0078_0001.xyz,5,C,274.39,46.414
mol_0079_0001.xyz,13,C,283.983,47.321
mol_0080_0001.xyz,6,C,301.036,49.823
mol_0082_0001.xyz,2,C,325.373,61.192
mol_0085_0001.xyz,8,C,316.109,61.272
mol_0086_0001.xyz,2,C,297.011,52.375
mol_0088_0001.xyz,5,C,229.856,52.432
mol_0090_0001.xyz,14,C,313.247,60.16
mol_0091_0001.xyz,18,C,302.329,47.013
mol_0094_0001.xyz,22,C,315.889,51.324
mol_0095_0001.xyz,19,C,300.494,40.849
mol_0098_0001.xyz,15,C,296.609,47.415
mol_0100_0001.xyz,11,C,306.16,51.85
mol_0102_0001.xyz,11,C,268.057,53.164
mol_0105_0001.xyz,19,C,294.261,35.481
mol_0106_0001.xyz,5,C,266.664,59.524
mol_0110_0001.xyz,30,C,366.987,43.338
mol_0111_0001.xyz,22,C,316.446,53.386
mol_0112_0001.xyz,27,C,353.57,48.175
mol_0113_0001.xyz,20,C,388.596,54.661
mol_0114_0001.xyz,18,C,416.18,68.743
mol_0116_0001.xyz,3,C,301.787,60.007
mol_0117_0001.xyz,15,C,312.923,47.132
mol_0118_0001.xyz,5,C,283.068,65.5
mol_0119_0001.xyz,7,C,277.382,51.011
mol_0121_0001.xyz,6,C,245.2,41.435
