
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Bondi atomic radii will be scaled by 1.17
   Hydrogen atoms are excluded

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
     mol_0091_0001.xyz      1   3.50     362.51      35.41       0.00
     mol_0092_0001.xyz      1   3.50     364.66      41.58       0.00
     mol_0093_0001.xyz      1   3.50     266.44      42.28       0.00
     mol_0094_0001.xyz      1   3.50     372.15      36.98       0.00
     mol_0095_0001.xyz      1   3.50     362.90      38.07       0.00
     mol_0096_0001.xyz      1   3.50     353.98      37.58       0.00
     mol_0097_0001.xyz      1   3.50     378.99      43.83       0.00
     mol_0098_0001.xyz      1   3.50     360.03      34.83       0.00
     mol_0099_0001.xyz      1   3.50     455.86      35.40       0.00
     mol_0100_0001.xyz      1   3.50     367.10      38.89       0.00
     mol_0101_0001.xyz      1   3.50     471.76      36.73       0.00
     mol_0102_0001.xyz      1   3.50     304.80      39.36       0.00
     mol_0105_0001.xyz      1   3.50     354.17      37.59       0.00
     mol_0106_0001.xyz      1   3.50     322.82      39.86       0.00
     mol_0107_0001.xyz      1   3.50     257.02      47.92       0.00
     mol_0108_0001.xyz      1   3.50     469.04      41.01       0.00
     mol_0109_0001.xyz      1   3.50     310.91      48.03       0.00
     mol_0110_0001.xyz      1   3.50     435.26      35.40       0.00
     mol_0111_0001.xyz      1   3.50     364.16      35.97       0.00
     mol_0112_0001.xyz      1   3.50     412.70      48.46       0.00
     mol_0113_0001.xyz      1   3.50     460.76      40.52       0.00
     mol_0114_0001.xyz      1   3.50     490.14      40.95       0.00
     mol_0115_0001.xyz      1   3.50     332.60      40.86       0.00
     mol_0116_0001.xyz      1   3.50     355.10      38.93       0.00
     mol_0117_0001.xyz      1   3.50     378.84      36.21       0.00
     mol_0118_0001.xyz      1   3.50     337.95      39.61       0.00
     mol_0119_0001.xyz      1   3.50     336.96      44.63       0.00
     mol_0120_0001.xyz      1   3.50     352.58      53.21       0.00
     mol_0121_0001.xyz      1   3.50     289.19      37.90       0.00
     mol_0122_0001.xyz      1   3.50     206.62      38.09       0.00
     mol_0123_0001.xyz      1   3.50     363.25      36.79       0.00
     mol_0124_0001.xyz      1   3.50     245.69      38.12       0.00
     mol_0125_0001.xyz      1   3.50     363.08      35.51       0.00
     mol_0126_0001.xyz      1   3.50     369.60      52.51       0.00
     mol_0127_0001.xyz      1   3.50     475.34      35.30       0.00
     mol_0128_0001.xyz      1   3.50     378.65      47.17       0.00
     mol_0129_0001.xyz      1   3.50     354.80      48.34       0.00
     mol_0130_0001.xyz      1   3.50     435.95      61.01       0.00
     mol_0131_0001.xyz      1   3.50     345.74      47.15       0.00
     mol_0132_0001.xyz      1   3.50     446.42      41.69       0.00
     mol_0133_0001.xyz      1   3.50     298.32      44.27       0.00
     mol_0134_0001.xyz      1   3.50     357.39      42.94       0.00
     mol_0135_0001.xyz      1   3.50     335.68      33.86       0.00
     mol_0136_0001.xyz      1   3.50     230.98      39.09       0.00
     mol_0137_0001.xyz      1   3.50     334.40      36.89       0.00
     mol_0138_0001.xyz      1   3.50     226.92      47.56       0.00
     mol_0139_0001.xyz      1   3.50     272.20      39.01       0.00
     mol_0140_0001.xyz      1   3.50     252.24      36.96       0.00
     mol_0141_0001.xyz      1   3.50     348.66      35.86       0.00
     mol_0142_0001.xyz      1   3.50     362.06      41.94       0.00
     mol_0143_0001.xyz      1   3.50     273.88      48.11       0.00
     mol_0144_0001.xyz      1   3.50     342.83      39.49       0.00
     mol_0145_0001.xyz      1   3.50     283.49      35.77       0.00
     mol_0146_0001.xyz      1   3.50     329.83      37.78       0.00
     mol_0147_0001.xyz      1   3.50     340.55      43.94       0.00
     mol_0148_0001.xyz      1   3.50     356.39      42.99       0.00
     mol_0150_0001.xyz      1   3.50     399.10      42.69       0.00
     mol_0151_0001.xyz      1   3.50     289.86      46.43       0.00
     mol_0152_0001.xyz      1   3.50     461.41      50.24       0.00
     mol_0154_0001.xyz      1   3.50     347.05      36.98       0.00
     mol_0155_0001.xyz      1   3.50     347.71      36.27       0.00
     mol_0156_0001.xyz      1   3.50     350.02      40.76       0.00
     mol_0157_0001.xyz      1   3.50     312.01      37.17       0.00
     mol_0158_0001.xyz      1   3.50     343.52      37.56       0.00
     mol_0159_0001.xyz      1   3.50     363.17      45.64       0.00
     mol_0160_0001.xyz      1   3.50     281.86      41.96       0.00
     mol_0161_0001.xyz      1   3.50     415.20      35.42       0.00
     mol_0162_0001.xyz      1   3.50     432.88      46.12       0.00
     mol_0163_0001.xyz      1   3.50     414.80      41.08       0.00
     mol_0164_0001.xyz      1   3.50     385.63      49.72       0.00
     mol_0165_0001.xyz      1   3.50     432.46      48.05       0.00
     mol_0166_0001.xyz      1   3.50     334.63      35.70       0.00
     mol_0167_0001.xyz      1   3.50     303.65      44.07       0.00
     mol_0168_0001.xyz      1   3.50     337.25      47.10       0.00
     mol_0169_0001.xyz      1   3.50     409.35      36.92       0.00
     mol_0170_0001.xyz      1   3.50     346.23      46.70       0.00
     mol_0171_0001.xyz      1   3.50     376.54      32.96       0.00
     mol_0172_0001.xyz      1   3.50     291.32      33.58       0.00
     mol_0173_0001.xyz      1   3.50     287.36      45.85       0.00
     mol_0175_0001.xyz      1   3.50     346.55      41.40       0.00
     mol_0176_0001.xyz      1   3.50     395.55      36.12       0.00
     mol_0177_0001.xyz      1   3.50     323.83      42.03       0.00
     mol_0178_0001.xyz      1   3.50     278.78      52.63       0.00
     mol_0179_0001.xyz      1   3.50     264.23      45.20       0.00
     mol_0180_0001.xyz      1   3.50     416.26      34.20       0.00
     mol_0181_0001.xyz      1   3.50     372.19      34.21       0.00
     mol_0182_0001.xyz      1   3.50     307.25      38.83       0.00
     mol_0183_0001.xyz      1   3.50     273.37      41.73       0.00
     mol_0184_0001.xyz      1   3.50     355.32      49.77       0.00
     mol_0185_0001.xyz      1   3.50     288.33      36.38       0.00
     mol_0186_0001.xyz      1   3.50     442.64      37.62       0.00
     mol_0187_0001.xyz      1   3.50     450.87      35.39       0.00
     mol_0188_0001.xyz      1   3.50     331.63      36.03       0.00
     mol_0189_0001.xyz      1   3.50     372.05      32.91       0.00
     mol_0190_0001.xyz      1   3.50     361.31      32.79       0.00
     mol_0191_0001.xyz      1   3.50     415.51      42.11       0.00
     mol_0192_0001.xyz      1   3.50     288.73      41.92       0.00
     mol_0193_0001.xyz      1   3.50     379.18      39.77       0.00
     mol_0195_0001.xyz      1   3.50     428.37      47.61       0.00
     mol_0196_0001.xyz      1   3.50     334.02      42.09       0.00
     mol_0197_0001.xyz      1   3.50     370.55      39.10       0.00
     mol_0198_0001.xyz      1   3.50     253.26      45.22       0.00
     mol_0199_0001.xyz      1   3.50     365.44      36.08       0.00
     mol_0200_0001.xyz      1   3.50     312.69      32.88       0.00
     mol_0201_0001.xyz      1   3.50     316.65      46.12       0.00
     mol_0202_0001.xyz      1   3.50     366.06      50.96       0.00
     mol_0203_0001.xyz      1   3.50     381.91      51.57       0.00
     mol_0204_0001.xyz      1   3.50     362.11      43.34       0.00
     mol_0205_0001.xyz      1   3.50     429.66      40.05       0.00
     mol_0206_0001.xyz      1   3.50     439.28      55.50       0.00
     mol_0207_0001.xyz      1   3.50     274.90      35.00       0.00
     mol_0208_0001.xyz      1   3.50     304.59      36.79       0.00
     mol_0209_0001.xyz      1   3.50     376.92      50.44       0.00
     mol_0210_0001.xyz      1   3.50     368.22      33.79       0.00
     mol_0211_0001.xyz      1   3.50     328.45      46.34       0.00
     mol_0212_0001.xyz      1   3.50     336.40      37.82       0.00
     mol_0213_0001.xyz      1   3.50     372.97      46.76       0.00
     mol_0214_0001.xyz      1   3.50     368.56      34.78       0.00
     mol_0215_0001.xyz      1   3.50     266.04      36.13       0.00
     mol_0216_0001.xyz      1   3.50     363.89      43.07       0.00
     mol_0217_0001.xyz      1   3.50     245.61      39.01       0.00
     mol_0218_0001.xyz      1   3.50     378.02      38.23       0.00
     mol_0219_0001.xyz      1   3.50     378.02      34.45       0.00
     mol_0220_0001.xyz      1   3.50     327.26      53.59       0.00
     mol_0221_0001.xyz      1   3.50     280.83      34.06       0.00
     mol_0222_0001.xyz      1   3.50     423.81      40.34       0.00
     mol_0223_0001.xyz      1   3.50     400.82      41.20       0.00
     mol_0224_0001.xyz      1   3.50     358.10      40.62       0.00
     mol_0225_0001.xyz      1   3.50     462.81      35.88       0.00
     mol_0226_0001.xyz      1   3.50     395.60      44.84       0.00
     mol_0227_0001.xyz      1   3.50     368.77      37.75       0.00
     mol_0228_0001.xyz      1   3.50     373.02      38.42       0.00
     mol_0229_0001.xyz      1   3.50     305.16      36.95       0.00
     mol_0230_0001.xyz      1   3.50     275.86      37.65       0.00
     mol_0231_0001.xyz      1   3.50     408.43      42.10       0.00
     mol_0232_0001.xyz      1   3.50     445.86      29.60       0.00
     mol_0233_0001.xyz      1   3.50     433.08      40.38       0.00
     mol_0234_0001.xyz      1   3.50     263.95      33.06       0.00
     mol_0235_0001.xyz      1   3.50     334.22      57.74       0.00
     mol_0236_0001.xyz      1   3.50     369.20      46.74       0.00
     mol_0237_0001.xyz      1   3.50     430.54      36.94       0.00
     mol_0238_0001.xyz      1   3.50     332.47      37.14       0.00
     mol_0239_0001.xyz      1   3.50     420.34      39.50       0.00
     mol_0240_0001.xyz      1   3.50     286.82      38.03       0.00
     mol_0241_0001.xyz      1   3.50     418.60      48.66       0.00
     mol_0242_0001.xyz      1   3.50     361.57      42.65       0.00
     mol_0243_0001.xyz      1   3.50     276.75      36.47       0.00
     mol_0244_0001.xyz      1   3.50     363.68      33.98       0.00
     mol_0245_0001.xyz      1   3.50     420.92      41.61       0.00
     mol_0246_0001.xyz      1   3.50     352.12      44.91       0.00
     mol_0247_0001.xyz      1   3.50     453.74      37.60       0.00
     mol_0248_0001.xyz      1   3.50     242.00      42.05       0.00
     mol_0249_0001.xyz      1   3.50     203.91      39.71       0.00
     mol_0250_0001.xyz      1   3.50     360.88      42.72       0.00
     mol_0251_0001.xyz      1   3.50     402.81      50.58       0.00
     mol_0252_0001.xyz      1   3.50     337.83      42.08       0.00
     mol_0253_0001.xyz      1   3.50     280.54      44.53       0.00
     mol_0254_0001.xyz      1   3.50     490.64      35.40       0.00
     mol_0255_0001.xyz      1   3.50     417.45      57.47       0.00
     mol_0256_0001.xyz      1   3.50     335.11      35.98       0.00
     mol_0257_0001.xyz      1   3.50     323.80      36.30       0.00
     mol_0258_0001.xyz      1   3.50     385.02      53.21       0.00
     mol_0259_0001.xyz      1   3.50     387.25      49.02       0.00
     mol_0260_0001.xyz      1   3.50     277.17      40.26       0.00
     mol_0261_0001.xyz      1   3.50     344.68      35.39       0.00
     mol_0262_0001.xyz      1   3.50     348.56      36.03       0.00
     mol_0263_0001.xyz      1   3.50     271.73      33.22       0.00
     mol_0264_0001.xyz      1   3.50     380.79      37.51       0.00
     mol_0265_0001.xyz      1   3.50     295.28      37.74       0.00
     mol_0266_0001.xyz      1   3.50     299.78      37.65       0.00
     mol_0267_0001.xyz      1   3.50     400.85      40.07       0.00
     mol_0268_0001.xyz      1   3.50     263.23      34.34       0.00
     mol_0269_0001.xyz      1   3.50     333.86      35.73       0.00
     mol_0270_0001.xyz      1   3.50     313.36      29.32       0.00
     mol_0271_0001.xyz      1   3.50     305.79      35.75       0.00
     mol_0272_0001.xyz      1   3.50     313.46      36.54       0.00
     mol_0273_0001.xyz      1   3.50     395.72      42.29       0.00
     mol_0275_0001.xyz      1   3.50     249.82      47.20       0.00
     mol_0276_0001.xyz      1   3.50     378.24      53.60       0.00
     mol_0277_0001.xyz      1   3.50     434.35      35.79       0.00
     mol_0279_0001.xyz      1   3.50     366.71      36.29       0.00
     mol_0280_0001.xyz      1   3.50     264.39      32.70       0.00
     mol_0281_0001.xyz      1   3.50     251.28      41.48       0.00
     mol_0282_0001.xyz      1   3.50     372.32      48.26       0.00
     mol_0283_0001.xyz      1   3.50     364.83      36.80       0.00
     mol_0284_0001.xyz      1   3.50     281.90      36.37       0.00
     mol_0285_0001.xyz      1   3.50     293.69      33.30       0.00
     mol_0286_0001.xyz      1   3.50     333.32      49.68       0.00
     mol_0287_0001.xyz      1   3.50     320.64      35.43       0.00
     mol_0288_0001.xyz      1   3.50     468.56      47.72       0.00
     mol_0289_0001.xyz      1   3.50     274.45      40.12       0.00
     mol_0290_0001.xyz      1   3.50     303.63      39.14       0.00
     mol_0291_0001.xyz      1   3.50     323.72      43.50       0.00
     mol_0292_0001.xyz      1   3.50     396.43      44.14       0.00
     mol_0293_0001.xyz      1   3.50     267.30      37.56       0.00
     mol_0294_0001.xyz      1   3.50     210.38      36.33       0.00
     mol_0295_0001.xyz      1   3.50     271.51      37.35       0.00
     mol_0296_0001.xyz      1   3.50     279.54      35.37       0.00
     mol_0297_0001.xyz      1   3.50     365.16      43.71       0.00
     mol_0298_0001.xyz      1   3.50     256.06      43.69       0.00
     mol_0299_0001.xyz      1   3.50     318.71      44.29       0.00
     mol_0300_0001.xyz      1   3.50     355.22      47.64       0.00
     mol_0301_0001.xyz      1   3.50     400.39      52.60       0.00
     mol_0302_0001.xyz      1   3.50     427.72      37.59       0.00
     mol_0303_0001.xyz      1   3.50     430.43      37.57       0.00
     mol_0304_0001.xyz      1   3.50     393.99      32.77       0.00
     mol_0305_0001.xyz      1   3.50     472.79      44.68       0.00
     mol_0306_0001.xyz      1   3.50     359.08      38.07       0.00
     mol_0307_0001.xyz      1   3.50     324.20      37.67       0.00
     mol_0308_0001.xyz      1   3.50     337.92      39.10       0.00
     mol_0309_0001.xyz      1   3.50     456.84      51.38       0.00
     mol_0310_0001.xyz      1   3.50     398.05      35.40       0.00
     mol_0311_0001.xyz      1   3.50     357.12      45.40       0.00
     mol_0312_0001.xyz      1   3.50     411.49      30.37       0.00
     mol_0313_0001.xyz      1   3.50     316.56      35.58       0.00
     mol_0314_0001.xyz      1   3.50     310.12      40.58       0.00
     mol_0315_0001.xyz      1   3.50     316.78      35.63       0.00
     mol_0316_0001.xyz      1   3.50     371.39      43.92       0.00
     mol_0317_0001.xyz      1   3.50     372.95      41.39       0.00
     mol_0318_0001.xyz      1   3.50     396.75      33.85       0.00
     mol_0319_0001.xyz      1   3.50     286.66      39.43       0.00
     mol_0320_0001.xyz      1   3.50     281.56      51.32       0.00
     mol_0321_0001.xyz      1   3.50     403.89      40.45       0.00
     mol_0322_0001.xyz      1   3.50     358.07      53.75       0.00
     mol_0323_0001.xyz      1   3.50     325.25      34.44       0.00
     mol_0324_0001.xyz      1   3.50     368.17      35.41       0.00
     mol_0325_0001.xyz      1   3.50     284.51      36.11       0.00
     mol_0326_0001.xyz      1   3.50     366.19      43.26       0.00
     mol_0327_0001.xyz      1   3.50     444.20      49.87       0.00
     mol_0328_0001.xyz      1   3.50     274.70      34.74       0.00
     mol_0329_0001.xyz      1   3.50     337.42      33.71       0.00
     mol_0330_0001.xyz      1   3.50     439.84      46.51       0.00
     mol_0331_0001.xyz      1   3.50     425.90      34.02       0.00
     mol_0332_0001.xyz      1   3.50     236.04      47.66       0.00
     mol_0333_0001.xyz      1   3.50     335.85      42.71       0.00
     mol_0334_0001.xyz      1   3.50     245.16      45.76       0.00
     mol_0335_0001.xyz      1   3.50     346.54      47.93       0.00
     mol_0336_0001.xyz      1   3.50     465.02      35.39       0.00
     mol_0337_0001.xyz      1   3.50     325.30      41.48       0.00
     mol_0338_0001.xyz      1   3.50     365.90      43.20       0.00
     mol_0339_0001.xyz      1   3.50     427.92      46.72       0.00
     mol_0340_0001.xyz      1   3.50     277.81      40.77       0.00
     mol_0341_0001.xyz      1   3.50     309.82      49.14       0.00
     mol_0342_0001.xyz      1   3.50     372.60      36.31       0.00
     mol_0343_0001.xyz      1   3.50     321.90      40.60       0.00
     mol_0344_0001.xyz      1   3.50     341.30      46.22       0.00
     mol_0345_0001.xyz      1   3.50     315.06      45.28       0.00
     mol_0346_0001.xyz      1   3.50     413.43      37.15       0.00
     mol_0347_0001.xyz      1   3.50     245.19      38.60       0.00
     mol_0348_0001.xyz      1   3.50     385.99      39.35       0.00
     mol_0349_0001.xyz      1   3.50     398.38      35.42       0.00
     mol_0350_0001.xyz      1   3.50     336.54      46.24       0.00
     mol_0351_0001.xyz      1   3.50     190.12      38.65       0.00
     mol_0352_0001.xyz      1   3.50     387.67      36.18       0.00
     mol_0353_0001.xyz      1   3.50     385.39      37.52       0.00
     mol_0354_0001.xyz      1   3.50     483.63      44.14       0.00
     mol_0355_0001.xyz      1   3.50     356.97      47.74       0.00
     mol_0356_0001.xyz      1   3.50     357.24      37.60       0.00
     mol_0357_0001.xyz      1   3.50     360.31      36.78       0.00
     mol_0358_0001.xyz      1   3.50     363.43      37.15       0.00
     mol_0359_0001.xyz      1   3.50     344.23      36.03       0.00
     mol_0360_0001.xyz      1   3.50     410.83      40.73       0.00
     mol_0361_0001.xyz      1   3.50     243.99      37.51       0.00
     mol_0362_0001.xyz      1   3.50     429.64      35.40       0.00
     mol_0363_0001.xyz      1   3.50     380.97      37.56       0.00
     mol_0364_0001.xyz      1   3.50     387.88      38.66       0.00
     mol_0365_0001.xyz      1   3.50     389.42      32.79       0.00
     mol_0366_0001.xyz      1   3.50     410.77      39.65       0.00
     mol_0367_0001.xyz      1   3.50     387.03      42.22       0.00
     mol_0368_0001.xyz      1   3.50     381.62      54.58       0.00
     mol_0369_0001.xyz      1   3.50     269.01      32.79       0.00
     mol_0370_0001.xyz      1   3.50     305.54      40.05       0.00
     mol_0371_0001.xyz      1   3.50     353.97      46.22       0.00
     mol_0372_0001.xyz      1   3.50     378.59      46.85       0.00
     mol_0373_0001.xyz      1   3.50     356.82      37.53       0.00
     mol_0374_0001.xyz      1   3.50     344.05      50.54       0.00
