mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,285.383,57.659
mol_0004_0001.xyz,3,C,324.335,52.359
mol_0005_0001.xyz,7,C,307.387,60.472
mol_0006_0001.xyz,24,C,339.491,58.473
mol_0007_0001.xyz,4,C,360.403,55.135
mol_0008_0001.xyz,8,C,275.403,53.891
mol_0009_0001.xyz,31,C,489.399,61.655
mol_0011_0001.xyz,11,C,370.9,62.084
mol_0013_0001.xyz,7,C,407.272,56.574
mol_0014_0001.xyz,23,C,369.433,57.534
mol_0016_0001.xyz,4,C,345.624,50.667
mol_0021_0001.xyz,11,C,332.504,64.794
mol_0022_0001.xyz,16,C,377.96,47.321
mol_0025_0001.xyz,14,C,301.185,53.944
mol_0027_0001.xyz,18,C,345.032,70.385
mol_0028_0001.xyz,12,C,208.74,46.731
mol_0029_0001.xyz,8,C,346.964,50.857
mol_0030_0001.xyz,25,C,480.658,68.229
mol_0032_0001.xyz,3,C,337.612,69.033
mol_0033_0001.xyz,27,C,419.479,64.056
mol_0037_0001.xyz,23,C,406.505,46.495
mol_0038_0001.xyz,19,C,353.88,52.595
mol_0043_0001.xyz,24,C,443.202,72.762
mol_0047_0001.xyz,15,C,377.441,43.856
mol_0048_0001.xyz,9,C,274.944,81.345
mol_0049_0001.xyz,4,C,339.656,50.987
mol_0050_0001.xyz,14,C,375.273,62.268
mol_0051_0001.xyz,23,C,361.528,46.49
mol_0052_0001.xyz,22,C,361.878,55.434
mol_0054_0001.xyz,12,C,345.319,58.855
mol_0057_0001.xyz,9,C,247.573,61.387
mol_0058_0001.xyz,5,C,360.413,55.84
mol_0060_0001.xyz,18,C,280.957,78.189
mol_0062_0001.xyz,1,C,240.034,44.109
mol_0064_0001.xyz,16,C,411.788,60.244
mol_0068_0001.xyz,17,C,348.932,59.995
mol_0070_0001.xyz,5,C,354.441,66.019
mol_0075_0001.xyz,4,C,346.263,64.836
mol_0077_0001.xyz,12,C,371.631,61.084
mol_0078_0001.xyz,5,C,316.596,52.497
mol_0079_0001.xyz,13,C,333.747,53.955
mol_0080_0001.xyz,6,C,347.985,56.329
mol_0082_0001.xyz,2,C,379.674,68.45
mol_0085_0001.xyz,8,C,368.417,68.619
mol_0086_0001.xyz,2,C,344.403,59.631
mol_0088_0001.xyz,5,C,276.796,59.808
mol_0090_0001.xyz,14,C,367.035,66.974
mol_0091_0001.xyz,18,C,355.656,53.273
mol_0094_0001.xyz,22,C,371.394,57.357
mol_0095_0001.xyz,19,C,356.732,46.519
mol_0098_0001.xyz,15,C,350.803,54.718
mol_0100_0001.xyz,11,C,365.341,58.689
mol_0102_0001.xyz,11,C,313.055,59.297
mol_0105_0001.xyz,19,C,350.998,42.024
mol_0106_0001.xyz,5,C,316.041,66.665
mol_0110_0001.xyz,30,C,430.803,49.542
mol_0111_0001.xyz,22,C,370.556,59.53
mol_0112_0001.xyz,27,C,413.043,54.575
mol_0113_0001.xyz,20,C,454.561,62.929
mol_0114_0001.xyz,18,C,485.391,76.272
mol_0116_0001.xyz,3,C,361.564,68.149
mol_0117_0001.xyz,15,C,372.851,53.488
mol_0118_0001.xyz,5,C,333.043,72.878
mol_0119_0001.xyz,7,C,328.319,58.18
mol_0121_0001.xyz,6,C,287.679,47.667
mol_0122_0001.xyz,10,C,200.906,48.205
mol_0123_0001.xyz,13,C,362.725,57.138
mol_0124_0001.xyz,9,C,234.244,56.797
mol_0125_0001.xyz,19,C,363.029,62.423
mol_0130_0001.xyz,11,C,417.643,49.72
mol_0131_0001.xyz,5,C,342.528,66.813
mol_0132_0001.xyz,23,C,435.802,53.175
mol_0134_0001.xyz,22,C,368.038,60.629
mol_0136_0001.xyz,11,C,229.438,60.422
mol_0137_0001.xyz,1,C,336.761,37.071
mol_0138_0001.xyz,6,C,228.019,69.581
mol_0141_0001.xyz,17,C,342.859,37.523
mol_0143_0001.xyz,11,C,284.679,76.706
mol_0144_0001.xyz,6,C,344.843,66.133
mol_0147_0001.xyz,18,C,330.634,48.163
mol_0150_0001.xyz,9,C,386.124,63.478
mol_0151_0001.xyz,19,C,285.924,59.28
mol_0152_0001.xyz,13,C,457.022,62.708
mol_0155_0001.xyz,20,C,344.908,45.693
mol_0160_0001.xyz,18,C,274.917,61.119
mol_0163_0001.xyz,4,C,412.203,69.512
mol_0165_0001.xyz,25,C,424.047,60.459
mol_0167_0001.xyz,18,C,297.993,60.108
mol_0170_0001.xyz,22,C,344.924,49.741
mol_0173_0001.xyz,3,C,278.884,47.528
mol_0175_0001.xyz,18,C,347.525,64.101
mol_0177_0001.xyz,13,C,316.72,49.987
mol_0180_0001.xyz,20,C,420.938,71.11
mol_0181_0001.xyz,19,C,371.604,45.027
mol_0183_0001.xyz,1,C,269.779,42.716
mol_0184_0001.xyz,12,C,349.549,65.85
mol_0187_0001.xyz,20,C,438.271,58.124
mol_0190_0001.xyz,26,C,354.692,60.328
mol_0202_0001.xyz,14,C,358.941,55.065
mol_0203_0001.xyz,19,C,379.621,54.132
mol_0204_0001.xyz,14,C,362.201,49.517
mol_0205_0001.xyz,21,C,414.449,48.186
mol_0210_0001.xyz,12,C,366.863,45.159
mol_0211_0001.xyz,5,C,315.71,51.939
mol_0212_0001.xyz,18,C,324.544,45.06
mol_0215_0001.xyz,5,C,259.701,47.678
mol_0216_0001.xyz,22,C,375.166,60.804
mol_0218_0001.xyz,27,C,370.36,49.646
mol_0219_0001.xyz,22,C,377.119,51.839
mol_0220_0001.xyz,8,C,321.642,61.643
mol_0221_0001.xyz,5,C,287.491,81.188
mol_0222_0001.xyz,26,C,419.954,51.186
mol_0225_0001.xyz,6,C,452.456,73.226
mol_0226_0001.xyz,21,C,390.929,47.913
mol_0231_0001.xyz,7,C,411.851,70.857
mol_0236_0001.xyz,3,C,360.717,50.656
mol_0239_0001.xyz,16,C,411.626,63.978
mol_0242_0001.xyz,20,C,352.226,51.311
mol_0243_0001.xyz,10,C,282.127,46.163
mol_0245_0001.xyz,2,C,409.043,52.581
mol_0246_0001.xyz,16,C,342.118,60.522
mol_0248_0001.xyz,12,C,233.158,45.089
mol_0251_0001.xyz,6,C,399.762,51.38
mol_0253_0001.xyz,12,C,283.757,51.605
mol_0254_0001.xyz,1,C,483.726,35.409
mol_0256_0001.xyz,9,C,328.31,61.339
mol_0257_0001.xyz,2,C,320.543,45.545
mol_0258_0001.xyz,3,C,383.873,71.591
mol_0259_0001.xyz,26,C,374.571,47.77
mol_0260_0001.xyz,7,C,286.502,53.488
mol_0263_0001.xyz,16,C,275.779,42.565
mol_0266_0001.xyz,17,C,312.644,62.934
mol_0267_0001.xyz,18,C,391.658,57.196
mol_0268_0001.xyz,8,C,261.922,46.163
mol_0275_0001.xyz,5,C,253.446,59.382
mol_0277_0001.xyz,12,C,439.785,66.308
mol_0279_0001.xyz,13,C,356.655,49.244
mol_0282_0001.xyz,7,C,372.327,50.562
mol_0284_0001.xyz,12,C,285.147,43.248
mol_0285_0001.xyz,11,C,301.971,52.284
mol_0288_0001.xyz,10,C,457.563,49.85
mol_0289_0001.xyz,11,C,274.774,53.72
mol_0292_0001.xyz,20,C,405.821,62.639
mol_0293_0001.xyz,4,C,262.622,52.532
mol_0294_0001.xyz,9,C,212.699,53.661
mol_0298_0001.xyz,11,C,248.451,54.336
mol_0300_0001.xyz,6,C,347.552,58.2
mol_0301_0001.xyz,14,C,393.704,77.973
mol_0307_0001.xyz,4,C,324.269,48.315
mol_0308_0001.xyz,16,C,335.167,43.247
mol_0311_0001.xyz,3,C,360.274,42.408
mol_0312_0001.xyz,25,C,396.381,46.948
mol_0313_0001.xyz,7,C,313.307,51.573
mol_0314_0001.xyz,18,C,304.682,44.721
mol_0315_0001.xyz,14,C,315.841,47.83
mol_0316_0001.xyz,6,C,364.148,58.103
mol_0318_0001.xyz,10,C,400.638,65.78
mol_0319_0001.xyz,4,C,288.129,61.016
mol_0322_0001.xyz,20,C,358.14,54.105
mol_0324_0001.xyz,4,C,364.844,53.338
mol_0325_0001.xyz,12,C,279.303,55.996
mol_0327_0001.xyz,29,C,430.418,69.923
mol_0328_0001.xyz,17,C,273.977,45.912
mol_0329_0001.xyz,3,C,341.889,55.91
mol_0332_0001.xyz,15,C,232.817,46.417
mol_0334_0001.xyz,11,C,250.432,44.095
mol_0336_0001.xyz,3,C,459.797,58.22
mol_0340_0001.xyz,14,C,281.757,45.725
mol_0342_0001.xyz,7,C,365.175,41.555
mol_0344_0001.xyz,15,C,329.912,51.761
mol_0345_0001.xyz,21,C,307.828,49.69
mol_0346_0001.xyz,10,C,417.08,63.971
mol_0349_0001.xyz,10,C,394.993,53.22
mol_0351_0001.xyz,6,C,195.192,68.958
mol_0356_0001.xyz,9,C,348.955,52.166
mol_0357_0001.xyz,4,C,346.578,65.043
mol_0358_0001.xyz,10,C,359.644,63.753
mol_0360_0001.xyz,11,C,403.805,71.036
mol_0361_0001.xyz,3,C,239.975,50.386
mol_0363_0001.xyz,10,C,382.083,40.334
mol_0364_0001.xyz,6,C,393.325,63.986
mol_0365_0001.xyz,23,C,389.26,55.467
mol_0367_0001.xyz,5,C,383.923,60.776
mol_0369_0001.xyz,1,C,261.985,33.445
mol_0371_0001.xyz,2,C,343.8,54.468
mol_0373_0001.xyz,8,C,354.751,53.55
mol_0374_0001.xyz,22,C,342.965,57.206
mol_0375_0001.xyz,20,C,389.541,47.987
mol_0383_0001.xyz,17,C,262.638,48.448
mol_0384_0001.xyz,23,C,345.949,57.514
mol_0385_0001.xyz,19,C,333.974,58.921
mol_0386_0001.xyz,2,C,200.916,43.007
mol_0387_0001.xyz,20,C,365.7,46.146
mol_0390_0001.xyz,14,C,366.643,42.985
mol_0391_0001.xyz,18,C,311.321,55.748
mol_0392_0001.xyz,8,C,398.108,67.925
mol_0393_0001.xyz,18,C,324.043,55.427
mol_0394_0001.xyz,23,C,401.914,59.984
mol_0396_0001.xyz,10,C,349.894,56.735
mol_0397_0001.xyz,15,C,380.943,68.664
mol_0398_0001.xyz,2,C,314.421,69.586
mol_0399_0001.xyz,15,C,350.339,40.517
mol_0403_0001.xyz,5,C,375.596,63.942
mol_0405_0001.xyz,6,C,298.13,59.345
mol_0409_0001.xyz,1,C,299.953,37.864
mol_0412_0001.xyz,10,C,384.095,56.191
mol_0414_0001.xyz,17,C,315.877,45.277
mol_0417_0001.xyz,12,C,311.046,61.294
mol_0418_0001.xyz,1,C,262.536,34.537
mol_0420_0001.xyz,25,C,416.428,72.455
mol_0421_0001.xyz,5,C,203.304,54.954
mol_0425_0001.xyz,21,C,357.884,56.784
mol_0430_0001.xyz,16,C,351.859,38.777
mol_0431_0001.xyz,3,C,378.844,61.511
mol_0432_0001.xyz,3,C,253.717,45.408
mol_0433_0001.xyz,10,C,394.005,43.948
mol_0434_0001.xyz,19,C,381.667,52.194
mol_0435_0001.xyz,15,C,324.861,45.277
mol_0436_0001.xyz,2,C,214.333,39.569
mol_0437_0001.xyz,7,C,299.373,44.721
mol_0438_0001.xyz,9,C,230.326,61.798
mol_0440_0001.xyz,17,C,356.659,58.384
mol_0445_0001.xyz,16,C,315.358,71.317
mol_0448_0001.xyz,8,C,302.02,53.233
mol_0450_0001.xyz,23,C,379.436,61.687
mol_0453_0001.xyz,10,C,314.556,78.131
mol_0454_0001.xyz,18,C,395.421,58.539
mol_0455_0001.xyz,12,C,269.741,49.529
mol_0456_0001.xyz,7,C,299.029,71.204
mol_0457_0001.xyz,5,C,325.077,49.97
mol_0458_0001.xyz,3,C,399.842,63.232
mol_0461_0001.xyz,11,C,277.555,57.077
mol_0464_0001.xyz,23,C,438.645,50.404
mol_0465_0001.xyz,11,C,244.433,60.936
mol_0466_0001.xyz,25,C,386.321,55.089
mol_0467_0001.xyz,2,C,307.569,62.718
mol_0469_0001.xyz,13,C,296.764,46.096
mol_0470_0001.xyz,2,C,313.948,55.218
mol_0474_0001.xyz,18,C,353.76,68.086
mol_0475_0001.xyz,4,C,295.384,52.949
mol_0476_0001.xyz,24,C,349.248,61.374
mol_0478_0001.xyz,11,C,357.678,48.854
mol_0480_0001.xyz,23,C,405.728,59.245
mol_0484_0001.xyz,11,C,328.833,45.371
mol_0485_0001.xyz,24,C,383.806,49.512
mol_0488_0001.xyz,2,C,373.585,70.136
mol_0489_0001.xyz,21,C,350.525,48.6
mol_0493_0001.xyz,18,C,282.586,44.899
mol_0495_0001.xyz,13,C,221.913,53.069
mol_0499_0001.xyz,17,C,311.266,62.994
mol_0016_0001.xyz,20,Cl,344.185,36.023
mol_0023_0001.xyz,28,Cl,399.652,39.964
mol_0026_0001.xyz,7,Cl,319.418,43.144
mol_0033_0001.xyz,25,Cl,422.854,35.81
mol_0044_0001.xyz,22,Cl,375.382,35.959
mol_0065_0001.xyz,28,Cl,428.357,48.294
mol_0067_0001.xyz,23,Cl,469.581,36.017
mol_0097_0001.xyz,11,Cl,371.704,40.786
mol_0101_0001.xyz,27,Cl,466.259,39.525
mol_0107_0001.xyz,14,Cl,254.82,36.061
mol_0122_0001.xyz,6,Cl,200.039,36.302
mol_0124_0001.xyz,10,Cl,234.43,36.056
mol_0130_0001.xyz,8,Cl,423.791,40.082
mol_0139_0001.xyz,11,Cl,274.597,35.915
mol_0148_0001.xyz,11,Cl,354.901,38.134
mol_0160_0001.xyz,19,Cl,275.647,39.971
mol_0179_0001.xyz,9,Cl,261.847,35.808
mol_0196_0001.xyz,20,Cl,328.063,35.976
mol_0200_0001.xyz,12,Cl,301.184,36.057
mol_0223_0001.xyz,15,Cl,392.004,35.983
mol_0227_0001.xyz,19,Cl,358.161,40.716
mol_0228_0001.xyz,12,Cl,369.323,48.871
mol_0232_0001.xyz,23,Cl,440.992,48.782
mol_0255_0001.xyz,21,Cl,405.957,41.781
mol_0265_0001.xyz,13,Cl,291.497,36.066
mol_0276_0001.xyz,23,Cl,371.859,36.05
mol_0280_0001.xyz,14,Cl,262.822,35.976
mol_0296_0001.xyz,14,Cl,276.038,35.854
mol_0298_0001.xyz,13,Cl,247.847,36.05
mol_0301_0001.xyz,24,Cl,396.224,38.515
mol_0303_0001.xyz,23,Cl,413.382,43.424
