mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,235.807,49.754
mol_0004_0001.xyz,3,C,267.66,43.914
mol_0005_0001.xyz,7,C,256.367,53.286
mol_0006_0001.xyz,24,C,276.986,50.395
mol_0007_0001.xyz,4,C,292.457,47.13
mol_0008_0001.xyz,8,C,224.547,45.672
mol_0009_0001.xyz,31,C,403.931,53.852
mol_0011_0001.xyz,11,C,300.958,54.144
mol_0013_0001.xyz,7,C,337.892,47.748
mol_0014_0001.xyz,23,C,303.899,49.257
mol_0016_0001.xyz,4,C,281.601,43.336
mol_0021_0001.xyz,11,C,271.578,56.257
mol_0022_0001.xyz,16,C,311.985,40.523
mol_0025_0001.xyz,14,C,247.352,46.23
mol_0027_0001.xyz,18,C,280.214,61.25
mol_0028_0001.xyz,12,C,172.453,39.853
mol_0029_0001.xyz,8,C,285.346,43.535
mol_0030_0001.xyz,25,C,396.968,59.19
mol_0032_0001.xyz,3,C,275.869,60.167
mol_0033_0001.xyz,27,C,344.063,54.954
mol_0037_0001.xyz,23,C,332.261,38.869
mol_0038_0001.xyz,19,C,292.521,45.027
mol_0043_0001.xyz,24,C,364.452,62.066
mol_0047_0001.xyz,15,C,309.279,36.376
mol_0048_0001.xyz,9,C,232.518,72.534
mol_0049_0001.xyz,4,C,279.388,43.639
mol_0050_0001.xyz,14,C,308.44,53.155
mol_0051_0001.xyz,23,C,295.226,38.966
mol_0052_0001.xyz,22,C,292.695,47.42
mol_0054_0001.xyz,12,C,284.18,51.077
mol_0057_0001.xyz,9,C,198.393,52.377
mol_0058_0001.xyz,5,C,300.769,47.796
mol_0060_0001.xyz,18,C,230.022,70.261
mol_0062_0001.xyz,1,C,196.537,37.3
mol_0064_0001.xyz,16,C,342.228,51.66
mol_0068_0001.xyz,17,C,287.158,51.458
mol_0070_0001.xyz,5,C,290.181,57.676
mol_0075_0001.xyz,4,C,279.032,55.462
mol_0077_0001.xyz,12,C,306.21,52.071
mol_0078_0001.xyz,5,C,265.393,45.152
mol_0079_0001.xyz,13,C,274.249,45.962
mol_0080_0001.xyz,6,C,287.87,48.502
mol_0082_0001.xyz,2,C,317.578,59.659
mol_0085_0001.xyz,8,C,305.205,59.738
mol_0086_0001.xyz,2,C,284.103,50.879
mol_0088_0001.xyz,5,C,221.477,50.956
mol_0090_0001.xyz,14,C,302.851,58.735
mol_0091_0001.xyz,18,C,291.916,45.749
mol_0094_0001.xyz,22,C,305.112,50.071
mol_0095_0001.xyz,19,C,291.53,39.672
mol_0098_0001.xyz,15,C,286.096,45.952
mol_0100_0001.xyz,11,C,295.607,50.472
mol_0102_0001.xyz,11,C,259.221,51.891
mol_0105_0001.xyz,19,C,283.914,34.233
mol_0106_0001.xyz,5,C,257.302,57.995
mol_0110_0001.xyz,30,C,354.616,42.075
mol_0111_0001.xyz,22,C,305.842,52.113
mol_0112_0001.xyz,27,C,341.985,46.899
mol_0113_0001.xyz,20,C,375.379,52.922
mol_0114_0001.xyz,18,C,405.842,67.031
mol_0116_0001.xyz,3,C,291.483,58.261
mol_0117_0001.xyz,15,C,305.715,45.83
mol_0118_0001.xyz,5,C,273.454,63.958
mol_0119_0001.xyz,7,C,267.417,49.506
mol_0121_0001.xyz,6,C,239.136,40.204
mol_0122_0001.xyz,10,C,160.911,40.696
mol_0123_0001.xyz,13,C,298.834,47.992
mol_0124_0001.xyz,9,C,187.74,47.201
mol_0125_0001.xyz,19,C,292.6,54.336
mol_0130_0001.xyz,11,C,345.717,41.951
mol_0131_0001.xyz,5,C,280.829,57.915
mol_0132_0001.xyz,23,C,359.028,44.212
mol_0134_0001.xyz,22,C,301.613,52.4
mol_0136_0001.xyz,11,C,186.692,50.745
mol_0137_0001.xyz,1,C,273.537,30.17
mol_0138_0001.xyz,6,C,187.983,60.53
mol_0141_0001.xyz,17,C,282.986,31.076
mol_0143_0001.xyz,11,C,238.786,65.89
mol_0144_0001.xyz,6,C,278.526,57.99
mol_0147_0001.xyz,18,C,274.379,40.775
mol_0150_0001.xyz,9,C,316.687,54.625
mol_0151_0001.xyz,19,C,234.25,51.396
mol_0152_0001.xyz,13,C,376.358,54.644
mol_0155_0001.xyz,20,C,283.155,38.9
mol_0160_0001.xyz,18,C,219.202,51.675
mol_0163_0001.xyz,4,C,341.075,60.954
mol_0165_0001.xyz,25,C,348.84,51.593
mol_0167_0001.xyz,18,C,240.887,50.292
mol_0170_0001.xyz,22,C,287.6,42.169
mol_0173_0001.xyz,3,C,227.517,40.316
mol_0175_0001.xyz,18,C,284.139,53.218
mol_0177_0001.xyz,13,C,257.775,42.489
mol_0180_0001.xyz,20,C,348.025,61.978
mol_0181_0001.xyz,19,C,307.657,37.604
mol_0183_0001.xyz,1,C,223.332,36.282
mol_0184_0001.xyz,12,C,288.057,58.165
mol_0187_0001.xyz,20,C,358.855,50.268
mol_0190_0001.xyz,26,C,289.618,52.716
