
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Bondi atomic radii will be scaled by 1.07
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
     mol_0091_0001.xyz      1   3.50     326.39      32.24       0.00
     mol_0092_0001.xyz      1   3.50     326.02      38.43       0.00
     mol_0093_0001.xyz      1   3.50     245.32      39.88       0.00
     mol_0094_0001.xyz      1   3.50     337.69      33.15       0.00
     mol_0095_0001.xyz      1   3.50     326.20      35.50       0.00
     mol_0096_0001.xyz      1   3.50     318.06      34.63       0.00
     mol_0097_0001.xyz      1   3.50     334.19      41.08       0.00
     mol_0098_0001.xyz      1   3.50     317.92      30.82       0.00
     mol_0099_0001.xyz      1   3.50     408.01      32.22       0.00
     mol_0100_0001.xyz      1   3.50     331.40      34.97       0.00
     mol_0101_0001.xyz      1   3.50     416.83      33.36       0.00
     mol_0102_0001.xyz      1   3.50     287.56      37.11       0.00
     mol_0105_0001.xyz      1   3.50     317.83      34.64       0.00
     mol_0106_0001.xyz      1   3.50     288.40      36.11       0.00
     mol_0107_0001.xyz      1   3.50     232.83      46.38       0.00
     mol_0108_0001.xyz      1   3.50     417.36      36.17       0.00
     mol_0109_0001.xyz      1   3.50     283.25      44.88       0.00
     mol_0110_0001.xyz      1   3.50     394.43      32.23       0.00
     mol_0111_0001.xyz      1   3.50     337.72      32.47       0.00
     mol_0112_0001.xyz      1   3.50     380.46      46.54       0.00
     mol_0113_0001.xyz      1   3.50     414.90      37.35       0.00
     mol_0114_0001.xyz      1   3.50     445.60      37.96       0.00
     mol_0115_0001.xyz      1   3.50     301.29      38.66       0.00
     mol_0116_0001.xyz      1   3.50     326.08      37.58       0.00
     mol_0117_0001.xyz      1   3.50     338.70      32.76       0.00
     mol_0118_0001.xyz      1   3.50     302.73      36.33       0.00
     mol_0119_0001.xyz      1   3.50     297.43      41.08       0.00
     mol_0120_0001.xyz      1   3.50     328.81      50.76       0.00
     mol_0121_0001.xyz      1   3.50     265.69      35.17       0.00
     mol_0122_0001.xyz      1   3.50     181.09      34.21       0.00
     mol_0123_0001.xyz      1   3.50     334.37      35.14       0.00
     mol_0124_0001.xyz      1   3.50     213.72      34.16       0.00
     mol_0125_0001.xyz      1   3.50     327.13      31.79       0.00
     mol_0126_0001.xyz      1   3.50     347.24      49.11       0.00
     mol_0127_0001.xyz      1   3.50     425.71      32.29       0.00
     mol_0128_0001.xyz      1   3.50     343.98      43.43       0.00
     mol_0129_0001.xyz      1   3.50     319.39      44.83       0.00
     mol_0130_0001.xyz      1   3.50     384.73      55.79       0.00
     mol_0131_0001.xyz      1   3.50     310.70      45.35       0.00
     mol_0132_0001.xyz      1   3.50     400.47      37.88       0.00
     mol_0133_0001.xyz      1   3.50     277.61      42.50       0.00
     mol_0134_0001.xyz      1   3.50     336.78      41.71       0.00
     mol_0135_0001.xyz      1   3.50     304.05      32.07       0.00
     mol_0136_0001.xyz      1   3.50     209.69      35.70       0.00
     mol_0137_0001.xyz      1   3.50     303.99      33.56       0.00
     mol_0138_0001.xyz      1   3.50     208.42      45.58       0.00
     mol_0139_0001.xyz      1   3.50     250.85      37.33       0.00
     mol_0140_0001.xyz      1   3.50     234.67      33.97       0.00
     mol_0141_0001.xyz      1   3.50     313.46      32.68       0.00
     mol_0142_0001.xyz      1   3.50     322.74      39.22       0.00
     mol_0143_0001.xyz      1   3.50     263.88      46.95       0.00
     mol_0144_0001.xyz      1   3.50     311.16      35.80       0.00
     mol_0145_0001.xyz      1   3.50     253.08      32.31       0.00
     mol_0146_0001.xyz      1   3.50     303.59      34.24       0.00
     mol_0147_0001.xyz      1   3.50     305.40      40.28       0.00
     mol_0148_0001.xyz      1   3.50     324.84      41.76       0.00
     mol_0150_0001.xyz      1   3.50     355.60      40.11       0.00
     mol_0151_0001.xyz      1   3.50     261.37      44.50       0.00
     mol_0152_0001.xyz      1   3.50     419.52      47.17       0.00
     mol_0154_0001.xyz      1   3.50     310.59      33.16       0.00
     mol_0155_0001.xyz      1   3.50     316.49      33.58       0.00
     mol_0156_0001.xyz      1   3.50     313.87      35.69       0.00
     mol_0157_0001.xyz      1   3.50     279.20      33.29       0.00
     mol_0158_0001.xyz      1   3.50     315.27      34.63       0.00
     mol_0159_0001.xyz      1   3.50     330.29      42.71       0.00
     mol_0160_0001.xyz      1   3.50     247.77      38.37       0.00
     mol_0161_0001.xyz      1   3.50     367.39      32.24       0.00
     mol_0162_0001.xyz      1   3.50     393.79      41.67       0.00
     mol_0163_0001.xyz      1   3.50     378.39      38.15       0.00
     mol_0164_0001.xyz      1   3.50     351.51      45.74       0.00
     mol_0165_0001.xyz      1   3.50     388.89      45.79       0.00
     mol_0166_0001.xyz      1   3.50     301.04      32.18       0.00
