mol_file,atom1_idx,element
mol_0375_0001.xyz,20,C
mol_0383_0001.xyz,17,C
mol_0384_0001.xyz,23,C
mol_0385_0001.xyz,19,C
mol_0386_0001.xyz,2,C
mol_0387_0001.xyz,20,C
mol_0390_0001.xyz,14,C
mol_0391_0001.xyz,18,C
mol_0392_0001.xyz,8,C
mol_0393_0001.xyz,18,C
mol_0394_0001.xyz,23,C
mol_0396_0001.xyz,10,C
mol_0397_0001.xyz,15,C
mol_0398_0001.xyz,2,C
mol_0399_0001.xyz,15,C
mol_0403_0001.xyz,5,C
mol_0405_0001.xyz,6,C
mol_0409_0001.xyz,1,C
mol_0412_0001.xyz,10,C
mol_0414_0001.xyz,17,C
mol_0417_0001.xyz,12,C
mol_0418_0001.xyz,1,C
mol_0420_0001.xyz,25,C
mol_0421_0001.xyz,5,C
mol_0425_0001.xyz,21,C
mol_0430_0001.xyz,16,C
mol_0431_0001.xyz,3,C
mol_0432_0001.xyz,3,C
mol_0433_0001.xyz,10,C
mol_0434_0001.xyz,19,C
mol_0435_0001.xyz,15,C
mol_0436_0001.xyz,2,C
mol_0437_0001.xyz,7,C
mol_0438_0001.xyz,9,C
mol_0440_0001.xyz,17,C
mol_0445_0001.xyz,16,C
mol_0448_0001.xyz,8,C
mol_0450_0001.xyz,23,C
mol_0453_0001.xyz,10,C
mol_0454_0001.xyz,18,C
mol_0455_0001.xyz,12,C
mol_0456_0001.xyz,7,C
mol_0457_0001.xyz,5,C
mol_0458_0001.xyz,3,C
mol_0461_0001.xyz,11,C
mol_0464_0001.xyz,23,C
mol_0465_0001.xyz,11,C
mol_0466_0001.xyz,25,C
mol_0467_0001.xyz,2,C
mol_0469_0001.xyz,13,C
mol_0470_0001.xyz,2,C
mol_0474_0001.xyz,18,C
mol_0475_0001.xyz,4,C
mol_0476_0001.xyz,24,C
mol_0478_0001.xyz,11,C
mol_0480_0001.xyz,23,C
mol_0484_0001.xyz,11,C
mol_0485_0001.xyz,24,C
mol_0488_0001.xyz,2,C
mol_0489_0001.xyz,21,C
mol_0493_0001.xyz,18,C
mol_0495_0001.xyz,13,C
mol_0499_0001.xyz,17,C
mol_0016_0001.xyz,20,Cl
mol_0023_0001.xyz,28,Cl
mol_0026_0001.xyz,7,Cl
mol_0033_0001.xyz,25,Cl
mol_0044_0001.xyz,22,Cl
mol_0065_0001.xyz,28,Cl
mol_0067_0001.xyz,23,Cl
mol_0097_0001.xyz,11,Cl
mol_0101_0001.xyz,27,Cl
mol_0107_0001.xyz,14,Cl
mol_0122_0001.xyz,6,Cl
mol_0124_0001.xyz,10,Cl
mol_0130_0001.xyz,8,Cl
mol_0139_0001.xyz,11,Cl
mol_0148_0001.xyz,11,Cl
mol_0160_0001.xyz,19,Cl
mol_0179_0001.xyz,9,Cl
mol_0196_0001.xyz,20,Cl
mol_0200_0001.xyz,12,Cl
mol_0223_0001.xyz,15,Cl
mol_0227_0001.xyz,19,Cl
mol_0228_0001.xyz,12,Cl
mol_0232_0001.xyz,23,Cl
mol_0255_0001.xyz,21,Cl
mol_0265_0001.xyz,13,Cl
mol_0276_0001.xyz,23,Cl
mol_0280_0001.xyz,14,Cl
mol_0296_0001.xyz,14,Cl
mol_0298_0001.xyz,13,Cl
mol_0301_0001.xyz,24,Cl
mol_0303_0001.xyz,23,Cl
mol_0330_0001.xyz,21,Cl
mol_0344_0001.xyz,20,Cl
mol_0356_0001.xyz,20,Cl
mol_0362_0001.xyz,14,Cl
mol_0371_0001.xyz,24,Cl
mol_0372_0001.xyz,16,Cl
mol_0379_0001.xyz,19,Cl
mol_0396_0001.xyz,24,Cl
