mol_file,atom1_idx,element
mol_0056_0001.xyz,8,O
mol_0059_0001.xyz,14,O
mol_0060_0001.xyz,12,O
mol_0061_0001.xyz,5,O
mol_0068_0001.xyz,8,O
mol_0069_0001.xyz,13,O
mol_0078_0001.xyz,13,O
mol_0084_0001.xyz,4,O
mol_0085_0001.xyz,2,O
mol_0086_0001.xyz,22,O
mol_0090_0001.xyz,15,O
mol_0091_0001.xyz,13,O
mol_0095_0001.xyz,16,O
mol_0098_0001.xyz,20,O
mol_0101_0001.xyz,20,O
mol_0105_0001.xyz,14,O
mol_0106_0001.xyz,18,O
mol_0112_0001.xyz,21,O
mol_0113_0001.xyz,9,O
mol_0114_0001.xyz,22,O
mol_0115_0001.xyz,18,O
mol_0117_0001.xyz,10,O
mol_0118_0001.xyz,24,O
mol_0126_0001.xyz,1,O
mol_0128_0001.xyz,1,O
mol_0131_0001.xyz,22,O
mol_0132_0001.xyz,8,O
mol_0136_0001.xyz,4,O
mol_0140_0001.xyz,5,O
mol_0141_0001.xyz,2,O
mol_0142_0001.xyz,17,O
mol_0146_0001.xyz,8,O
mol_0148_0001.xyz,18,O
mol_0150_0001.xyz,12,O
mol_0154_0001.xyz,10,O
mol_0155_0001.xyz,11,O
mol_0156_0001.xyz,22,O
mol_0167_0001.xyz,20,O
mol_0168_0001.xyz,11,O
mol_0171_0001.xyz,20,O
mol_0177_0001.xyz,3,O
mol_0179_0001.xyz,1,O
mol_0181_0001.xyz,2,O
mol_0182_0001.xyz,10,O
mol_0184_0001.xyz,8,O
mol_0190_0001.xyz,6,O
mol_0196_0001.xyz,15,O
mol_0203_0001.xyz,1,O
mol_0204_0001.xyz,11,O
mol_0214_0001.xyz,1,O
mol_0217_0001.xyz,11,O
mol_0218_0001.xyz,25,O
mol_0220_0001.xyz,12,O
mol_0225_0001.xyz,16,O
mol_0229_0001.xyz,9,O
mol_0232_0001.xyz,28,O
mol_0242_0001.xyz,24,O
mol_0243_0001.xyz,7,O
mol_0245_0001.xyz,15,O
mol_0248_0001.xyz,4,O
mol_0251_0001.xyz,4,O
mol_0252_0001.xyz,8,O
mol_0255_0001.xyz,1,O
mol_0258_0001.xyz,1,O
mol_0261_0001.xyz,2,O
mol_0269_0001.xyz,21,O
mol_0271_0001.xyz,20,O
mol_0279_0001.xyz,6,O
mol_0284_0001.xyz,8,O
mol_0286_0001.xyz,5,O
mol_0290_0001.xyz,3,O
mol_0291_0001.xyz,11,O
mol_0294_0001.xyz,6,O
mol_0302_0001.xyz,15,O
mol_0303_0001.xyz,14,O
mol_0305_0001.xyz,28,O
mol_0313_0001.xyz,18,O
mol_0318_0001.xyz,18,O
mol_0320_0001.xyz,1,O
mol_0322_0001.xyz,19,O
mol_0325_0001.xyz,19,O
mol_0327_0001.xyz,1,O
mol_0328_0001.xyz,4,O
mol_0330_0001.xyz,1,O
mol_0339_0001.xyz,10,O
mol_0342_0001.xyz,4,O
mol_0344_0001.xyz,10,O
mol_0346_0001.xyz,13,O
mol_0349_0001.xyz,12,O
mol_0351_0001.xyz,8,O
mol_0352_0001.xyz,2,O
mol_0354_0001.xyz,17,O
mol_0357_0001.xyz,8,O
mol_0363_0001.xyz,14,O
mol_0367_0001.xyz,10,O
mol_0370_0001.xyz,21,O
mol_0387_0001.xyz,16,O
mol_0394_0001.xyz,18,O
mol_0397_0001.xyz,16,O
mol_0399_0001.xyz,3,O
mol_0400_0001.xyz,12,O
mol_0404_0001.xyz,6,O
mol_0408_0001.xyz,14,O
mol_0411_0001.xyz,13,O
mol_0417_0001.xyz,5,O
mol_0423_0001.xyz,8,O
mol_0429_0001.xyz,25,O
mol_0433_0001.xyz,17,O
mol_0436_0001.xyz,6,O
mol_0441_0001.xyz,11,O
mol_0445_0001.xyz,6,O
mol_0446_0001.xyz,3,O
mol_0451_0001.xyz,5,O
mol_0455_0001.xyz,3,O
mol_0459_0001.xyz,18,O
mol_0461_0001.xyz,2,O
mol_0465_0001.xyz,6,O
mol_0473_0001.xyz,19,O
mol_0474_0001.xyz,9,O
mol_0479_0001.xyz,19,O
mol_0480_0001.xyz,5,O
mol_0481_0001.xyz,4,O
mol_0485_0001.xyz,14,O
mol_0490_0001.xyz,3,O
mol_0491_0001.xyz,20,O
mol_0492_0001.xyz,21,O
mol_0493_0001.xyz,9,O
mol_0494_0001.xyz,3,O
mol_0495_0001.xyz,11,O
mol_0497_0001.xyz,9,O
mol_0498_0001.xyz,11,O
mol_0499_0001.xyz,18,O
mol_0003_0001.xyz,10,S
mol_0006_0001.xyz,4,S
mol_0013_0001.xyz,24,S
mol_0014_0001.xyz,5,S
mol_0024_0001.xyz,10,S
mol_0027_0001.xyz,2,S
mol_0033_0001.xyz,26,S
mol_0037_0001.xyz,5,S
mol_0045_0001.xyz,8,S
mol_0052_0001.xyz,15,S
mol_0064_0001.xyz,17,S
mol_0065_0001.xyz,22,S
mol_0067_0001.xyz,13,S
mol_0068_0001.xyz,2,S
mol_0084_0001.xyz,12,S
mol_0094_0001.xyz,24,S
mol_0098_0001.xyz,8,S
mol_0099_0001.xyz,16,S
mol_0100_0001.xyz,2,S
mol_0101_0001.xyz,9,S
mol_0108_0001.xyz,10,S
mol_0114_0001.xyz,19,S
mol_0120_0001.xyz,18,S
mol_0129_0001.xyz,14,S
mol_0130_0001.xyz,13,S
mol_0132_0001.xyz,6,S
mol_0145_0001.xyz,17,S
mol_0151_0001.xyz,6,S
mol_0155_0001.xyz,7,S
mol_0157_0001.xyz,9,S
mol_0158_0001.xyz,13,S
mol_0160_0001.xyz,6,S
mol_0169_0001.xyz,20,S
mol_0173_0001.xyz,8,S
mol_0178_0001.xyz,13,S
mol_0182_0001.xyz,2,S
mol_0186_0001.xyz,16,S
mol_0193_0001.xyz,18,S
mol_0195_0001.xyz,7,S
mol_0201_0001.xyz,8,S
mol_0205_0001.xyz,14,S
mol_0212_0001.xyz,17,S
mol_0214_0001.xyz,22,S
mol_0219_0001.xyz,12,S
mol_0227_0001.xyz,22,S
mol_0235_0001.xyz,9,S
mol_0239_0001.xyz,3,S
mol_0245_0001.xyz,6,S
mol_0252_0001.xyz,16,S
mol_0256_0001.xyz,19,S
mol_0257_0001.xyz,5,S
mol_0267_0001.xyz,6,S
mol_0282_0001.xyz,3,S
mol_0286_0001.xyz,4,S
mol_0288_0001.xyz,17,S
mol_0289_0001.xyz,13,S
mol_0299_0001.xyz,5,S
mol_0300_0001.xyz,23,S
mol_0301_0001.xyz,4,S
mol_0302_0001.xyz,13,S
mol_0303_0001.xyz,8,S
mol_0307_0001.xyz,19,S
mol_0316_0001.xyz,12,S
mol_0320_0001.xyz,12,S
mol_0335_0001.xyz,2,S
mol_0338_0001.xyz,6,S
mol_0339_0001.xyz,29,S
mol_0341_0001.xyz,19,S
mol_0343_0001.xyz,12,S
mol_0346_0001.xyz,20,S
mol_0348_0001.xyz,18,S
mol_0349_0001.xyz,9,S
mol_0353_0001.xyz,20,S
mol_0354_0001.xyz,22,S
mol_0355_0001.xyz,21,S
mol_0357_0001.xyz,14,S
mol_0358_0001.xyz,17,S
mol_0360_0001.xyz,27,S
mol_0363_0001.xyz,18,S
mol_0377_0001.xyz,20,S
mol_0378_0001.xyz,7,S
mol_0390_0001.xyz,17,S
mol_0392_0001.xyz,26,S
mol_0393_0001.xyz,19,S
mol_0394_0001.xyz,27,S
mol_0402_0001.xyz,23,S
mol_0407_0001.xyz,14,S
mol_0414_0001.xyz,12,S
mol_0416_0001.xyz,8,S
mol_0417_0001.xyz,16,S
mol_0424_0001.xyz,2,S
mol_0425_0001.xyz,7,S
mol_0428_0001.xyz,15,S
mol_0430_0001.xyz,23,S
mol_0450_0001.xyz,22,S
mol_0464_0001.xyz,9,S
mol_0484_0001.xyz,16,S
mol_0487_0001.xyz,14,S
mol_0490_0001.xyz,28,S
mol_0498_0001.xyz,21,S
