mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,267.689,55.12
mol_0004_0001.xyz,3,C,307.083,49.568
mol_0005_0001.xyz,7,C,291.492,58.169
mol_0006_0001.xyz,24,C,318.204,55.879
mol_0007_0001.xyz,4,C,334.967,52.518
mol_0008_0001.xyz,8,C,257.973,51.157
mol_0009_0001.xyz,31,C,460.258,59.138
mol_0011_0001.xyz,11,C,348.292,59.5
mol_0013_0001.xyz,7,C,386.962,53.684
mol_0014_0001.xyz,23,C,346.574,54.87
mol_0016_0001.xyz,4,C,323.754,48.232
mol_0021_0001.xyz,11,C,311.675,62.038
mol_0022_0001.xyz,16,C,355.974,45.04
mol_0025_0001.xyz,14,C,285.612,51.423
mol_0027_0001.xyz,18,C,321.777,67.423
mol_0028_0001.xyz,12,C,196.459,44.426
mol_0029_0001.xyz,8,C,325.834,48.454
mol_0030_0001.xyz,25,C,449.793,65.293
mol_0032_0001.xyz,3,C,318.676,66.239
mol_0033_0001.xyz,27,C,394.267,61.252
mol_0037_0001.xyz,23,C,381.193,43.911
mol_0038_0001.xyz,19,C,332.353,50.051
mol_0043_0001.xyz,24,C,414.825,69.279
mol_0047_0001.xyz,15,C,354.767,41.306
mol_0048_0001.xyz,9,C,259.623,78.582
mol_0049_0001.xyz,4,C,319.175,48.616
mol_0050_0001.xyz,14,C,355.931,59.281
mol_0051_0001.xyz,23,C,339.545,43.984
mol_0052_0001.xyz,22,C,335.533,52.874
mol_0054_0001.xyz,12,C,324.864,56.327
mol_0057_0001.xyz,9,C,231.525,58.406
mol_0058_0001.xyz,5,C,339.404,53.235
mol_0060_0001.xyz,18,C,264.694,75.714
mol_0062_0001.xyz,1,C,225.955,41.804
mol_0064_0001.xyz,16,C,391.117,57.505
mol_0068_0001.xyz,17,C,328.203,57.192
mol_0070_0001.xyz,5,C,329.729,63.333
mol_0075_0001.xyz,4,C,319.486,61.795
mol_0077_0001.xyz,12,C,349.409,58.095
mol_0078_0001.xyz,5,C,298.222,50.093
mol_0079_0001.xyz,13,C,313.414,51.337
mol_0080_0001.xyz,6,C,331.442,53.787
mol_0082_0001.xyz,2,C,357.895,65.643
mol_0085_0001.xyz,8,C,345.818,65.769
mol_0086_0001.xyz,2,C,322.213,56.784
mol_0088_0001.xyz,5,C,255.938,56.871
mol_0090_0001.xyz,14,C,345.135,64.319
mol_0091_0001.xyz,18,C,334.141,50.787
mol_0094_0001.xyz,22,C,345.008,54.947
mol_0095_0001.xyz,19,C,332.659,44.237
mol_0098_0001.xyz,15,C,328.758,51.798
mol_0100_0001.xyz,11,C,338.717,56.011
mol_0102_0001.xyz,11,C,294.768,56.899
mol_0105_0001.xyz,19,C,329.063,39.393
mol_0106_0001.xyz,5,C,296.449,63.888
mol_0110_0001.xyz,30,C,404.791,47.072
mol_0111_0001.xyz,22,C,348.65,57.136
mol_0112_0001.xyz,27,C,388.951,52.039
mol_0113_0001.xyz,20,C,428.189,59.719
mol_0114_0001.xyz,18,C,457.642,73.462
mol_0116_0001.xyz,3,C,336.337,64.988
mol_0117_0001.xyz,15,C,349.697,50.984
mol_0118_0001.xyz,5,C,312.714,70.024
mol_0119_0001.xyz,7,C,307.706,55.397
mol_0121_0001.xyz,6,C,273.575,45.169
mol_0122_0001.xyz,10,C,187.673,45.669
mol_0123_0001.xyz,13,C,340.971,54.05
mol_0124_0001.xyz,9,C,218.238,53.606
mol_0125_0001.xyz,19,C,338.372,59.827
mol_0130_0001.xyz,11,C,392.29,47.085
mol_0131_0001.xyz,5,C,321.004,63.957
mol_0132_0001.xyz,23,C,410.057,50.13
mol_0134_0001.xyz,22,C,343.535,58.008
mol_0136_0001.xyz,11,C,214.943,57.212
mol_0137_0001.xyz,1,C,312.944,34.697
mol_0138_0001.xyz,6,C,214.042,66.68
mol_0141_0001.xyz,17,C,323.376,35.316
mol_0143_0001.xyz,11,C,268.684,73.26
mol_0144_0001.xyz,6,C,321.254,63.614
mol_0147_0001.xyz,18,C,310.944,45.681
mol_0150_0001.xyz,9,C,362.509,60.622
mol_0151_0001.xyz,19,C,268.436,56.753
mol_0152_0001.xyz,13,C,430.328,60.155
mol_0155_0001.xyz,20,C,324.012,43.473
mol_0160_0001.xyz,18,C,255.518,58.008
mol_0163_0001.xyz,4,C,388.078,66.844
mol_0165_0001.xyz,25,C,396.359,57.66
mol_0167_0001.xyz,18,C,279.312,56.932
mol_0170_0001.xyz,22,C,321.949,47.248
mol_0173_0001.xyz,3,C,261.25,45.109
mol_0175_0001.xyz,18,C,326.366,60.443
mol_0177_0001.xyz,13,C,296.578,47.502
mol_0180_0001.xyz,20,C,396.282,68.172
mol_0181_0001.xyz,19,C,348.555,42.475
mol_0183_0001.xyz,1,C,253.186,40.567
mol_0184_0001.xyz,12,C,328.653,63.415
mol_0187_0001.xyz,20,C,411.222,55.589
mol_0190_0001.xyz,26,C,329.087,57.863
mol_0202_0001.xyz,14,C,336.56,52.645
mol_0203_0001.xyz,19,C,356.86,51.525
mol_0204_0001.xyz,14,C,340.424,47.043
mol_0205_0001.xyz,21,C,388.784,45.614
mol_0210_0001.xyz,12,C,344.65,42.706
mol_0211_0001.xyz,5,C,294.861,49.006
mol_0212_0001.xyz,18,C,303.89,42.427
mol_0215_0001.xyz,5,C,241.591,45.136
mol_0216_0001.xyz,22,C,353.759,58.501
mol_0218_0001.xyz,27,C,343.399,47.156
