mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,297.542,98.646
mol_0004_0001.xyz,3,C,336.775,98.79
mol_0005_0001.xyz,7,C,320.46,98.901
mol_0006_0001.xyz,24,C,352.451,98.526
mol_0007_0001.xyz,4,C,370.109,98.943
mol_0008_0001.xyz,8,C,285.696,98.544
mol_0009_0001.xyz,31,C,504.036,98.946
mol_0011_0001.xyz,11,C,380.08,98.736
mol_0013_0001.xyz,7,C,422.598,98.919
mol_0014_0001.xyz,23,C,383.164,98.467
mol_0016_0001.xyz,4,C,360.077,98.371
mol_0021_0001.xyz,11,C,345.22,99.176
mol_0022_0001.xyz,16,C,390.647,98.46
mol_0025_0001.xyz,14,C,313.888,98.503
mol_0027_0001.xyz,18,C,354.239,99.518
mol_0028_0001.xyz,12,C,218.381,98.595
mol_0029_0001.xyz,8,C,360.217,98.691
mol_0030_0001.xyz,25,C,495.442,99.308
mol_0032_0001.xyz,3,C,348.3,99.257
mol_0033_0001.xyz,27,C,434.114,98.688
mol_0037_0001.xyz,23,C,421.46,98.188
mol_0038_0001.xyz,19,C,365.768,98.478
mol_0043_0001.xyz,24,C,456.212,99.961
mol_0047_0001.xyz,15,C,387.902,98.2
mol_0048_0001.xyz,9,C,284.26,100.0
mol_0049_0001.xyz,4,C,353.26,98.071
mol_0050_0001.xyz,14,C,388.8,99.236
mol_0051_0001.xyz,23,C,374.04,98.317
mol_0052_0001.xyz,22,C,372.975,98.499
mol_0054_0001.xyz,12,C,359.281,98.757
mol_0057_0001.xyz,9,C,254.365,99.29
mol_0058_0001.xyz,5,C,376.234,98.766
mol_0060_0001.xyz,18,C,287.43,99.635
mol_0062_0001.xyz,1,C,245.995,97.864
mol_0064_0001.xyz,16,C,430.42,99.068
mol_0068_0001.xyz,17,C,363.17,98.509
mol_0070_0001.xyz,5,C,364.486,99.206
mol_0075_0001.xyz,4,C,355.056,99.383
mol_0077_0001.xyz,12,C,385.227,99.32
mol_0078_0001.xyz,5,C,329.548,98.691
mol_0079_0001.xyz,13,C,348.797,98.802
mol_0080_0001.xyz,6,C,362.473,98.91
mol_0082_0001.xyz,2,C,392.519,99.287
mol_0085_0001.xyz,8,C,383.844,99.608
mol_0086_0001.xyz,2,C,357.25,99.096
mol_0088_0001.xyz,5,C,284.677,99.116
mol_0090_0001.xyz,14,C,380.238,99.033
mol_0091_0001.xyz,18,C,370.075,98.46
mol_0094_0001.xyz,22,C,383.083,98.757
mol_0095_0001.xyz,19,C,370.858,97.978
mol_0098_0001.xyz,15,C,362.032,99.021
mol_0100_0001.xyz,11,C,376.44,98.895
mol_0102_0001.xyz,11,C,324.14,98.895
mol_0105_0001.xyz,19,C,361.543,98.053
mol_0106_0001.xyz,5,C,328.051,99.32
mol_0110_0001.xyz,30,C,446.634,98.371
mol_0111_0001.xyz,22,C,381.699,98.826
mol_0112_0001.xyz,27,C,429.06,98.482
mol_0113_0001.xyz,20,C,468.014,98.353
mol_0114_0001.xyz,18,C,501.384,99.548
mol_0116_0001.xyz,3,C,368.218,99.566
mol_0117_0001.xyz,15,C,385.075,98.464
mol_0118_0001.xyz,5,C,343.241,99.278
mol_0119_0001.xyz,7,C,338.951,98.994
mol_0121_0001.xyz,6,C,300.561,98.479
mol_0122_0001.xyz,10,C,207.512,98.389
mol_0123_0001.xyz,13,C,378.297,99.165
mol_0124_0001.xyz,9,C,246.114,99.245
mol_0125_0001.xyz,19,C,370.672,98.7
mol_0130_0001.xyz,11,C,435.903,98.248
mol_0131_0001.xyz,5,C,353.418,99.398
mol_0132_0001.xyz,23,C,452.222,99.101
mol_0134_0001.xyz,22,C,378.669,98.736
mol_0136_0001.xyz,11,C,239.065,99.371
mol_0137_0001.xyz,1,C,343.619,97.775
mol_0138_0001.xyz,6,C,236.543,99.572
mol_0141_0001.xyz,17,C,356.611,97.712
mol_0143_0001.xyz,11,C,296.345,100.0
mol_0144_0001.xyz,6,C,351.226,98.781
mol_0147_0001.xyz,18,C,345.379,98.302
mol_0150_0001.xyz,9,C,403.483,99.092
mol_0151_0001.xyz,19,C,296.641,98.601
mol_0152_0001.xyz,13,C,473.199,99.095
mol_0155_0001.xyz,20,C,358.898,97.972
mol_0160_0001.xyz,18,C,282.671,99.212
mol_0163_0001.xyz,4,C,426.83,99.569
mol_0165_0001.xyz,25,C,439.853,98.499
mol_0167_0001.xyz,18,C,306.206,98.589
mol_0170_0001.xyz,22,C,357.346,97.975
mol_0173_0001.xyz,3,C,289.235,98.302
mol_0175_0001.xyz,18,C,361.167,99.928
mol_0177_0001.xyz,13,C,328.666,98.38
mol_0180_0001.xyz,20,C,433.465,99.68
mol_0181_0001.xyz,19,C,386.365,98.263
mol_0183_0001.xyz,1,C,280.784,97.793
mol_0184_0001.xyz,12,C,364.029,99.039
mol_0187_0001.xyz,20,C,457.133,98.431
mol_0190_0001.xyz,26,C,365.13,98.577
mol_0202_0001.xyz,14,C,370.605,98.745
mol_0203_0001.xyz,19,C,393.353,98.467
mol_0204_0001.xyz,14,C,377.28,98.386
mol_0205_0001.xyz,21,C,430.392,98.272
mol_0210_0001.xyz,12,C,380.845,98.314
mol_0211_0001.xyz,5,C,328.385,98.595
mol_0212_0001.xyz,18,C,339.719,98.146
mol_0215_0001.xyz,5,C,269.892,98.284
mol_0216_0001.xyz,22,C,386.309,98.97
mol_0218_0001.xyz,27,C,381.952,98.185
mol_0219_0001.xyz,22,C,393.946,98.91
mol_0220_0001.xyz,8,C,336.265,99.518
mol_0221_0001.xyz,5,C,295.862,99.904
mol_0222_0001.xyz,26,C,435.608,98.407
mol_0225_0001.xyz,6,C,470.916,99.641
mol_0226_0001.xyz,21,C,404.64,98.257
mol_0231_0001.xyz,7,C,426.825,99.455
mol_0236_0001.xyz,3,C,376.72,98.4
mol_0239_0001.xyz,16,C,424.891,99.32
mol_0242_0001.xyz,20,C,366.318,98.442
mol_0243_0001.xyz,10,C,290.394,97.913
mol_0245_0001.xyz,2,C,425.874,98.533
mol_0246_0001.xyz,16,C,350.785,99.108
mol_0248_0001.xyz,12,C,244.388,98.26
mol_0251_0001.xyz,6,C,417.283,98.574
mol_0253_0001.xyz,12,C,291.61,98.73
mol_0254_0001.xyz,1,C,497.665,97.805
mol_0256_0001.xyz,9,C,340.822,98.883
mol_0257_0001.xyz,2,C,333.391,98.596
mol_0258_0001.xyz,3,C,397.892,99.476
mol_0259_0001.xyz,26,C,387.647,98.302
mol_0260_0001.xyz,7,C,291.918,98.763
mol_0263_0001.xyz,16,C,284.159,97.99
mol_0266_0001.xyz,17,C,323.0,98.853
mol_0267_0001.xyz,18,C,406.014,97.991
mol_0268_0001.xyz,8,C,273.265,97.951
mol_0275_0001.xyz,5,C,260.916,98.955
mol_0277_0001.xyz,12,C,457.745,99.524
mol_0279_0001.xyz,13,C,369.491,98.305
mol_0282_0001.xyz,7,C,385.019,98.718
mol_0284_0001.xyz,12,C,294.94,97.916
mol_0285_0001.xyz,11,C,314.322,98.592
mol_0288_0001.xyz,10,C,471.233,98.311
mol_0289_0001.xyz,11,C,286.863,98.41
mol_0292_0001.xyz,20,C,417.597,98.539
mol_0293_0001.xyz,4,C,274.366,98.374
mol_0294_0001.xyz,9,C,216.937,98.383
mol_0298_0001.xyz,11,C,259.747,98.335
mol_0300_0001.xyz,6,C,358.595,98.4
mol_0301_0001.xyz,14,C,407.288,99.593
mol_0307_0001.xyz,4,C,335.451,98.23
mol_0308_0001.xyz,16,C,348.184,98.314
mol_0311_0001.xyz,3,C,368.217,97.856
mol_0312_0001.xyz,25,C,413.097,98.272
mol_0313_0001.xyz,7,C,326.347,98.089
mol_0314_0001.xyz,18,C,315.212,98.31
mol_0315_0001.xyz,14,C,326.725,98.287
mol_0316_0001.xyz,6,C,377.144,99.081
mol_0318_0001.xyz,10,C,414.432,99.569
mol_0319_0001.xyz,4,C,300.653,99.063
mol_0322_0001.xyz,20,C,372.246,99.003
mol_0324_0001.xyz,4,C,377.163,98.583
mol_0325_0001.xyz,12,C,292.346,98.407
mol_0327_0001.xyz,29,C,447.26,98.91
mol_0328_0001.xyz,17,C,286.709,97.859
mol_0329_0001.xyz,3,C,352.42,98.859
mol_0332_0001.xyz,15,C,242.443,98.535
mol_0334_0001.xyz,11,C,260.365,98.254
mol_0336_0001.xyz,3,C,473.696,99.144
mol_0340_0001.xyz,14,C,292.913,98.487
mol_0342_0001.xyz,7,C,378.571,97.924
mol_0344_0001.xyz,15,C,343.943,98.293
mol_0345_0001.xyz,21,C,317.291,98.368
mol_0346_0001.xyz,10,C,433.35,99.06
mol_0349_0001.xyz,10,C,406.675,98.82
mol_0351_0001.xyz,6,C,203.486,99.536
mol_0356_0001.xyz,9,C,359.718,98.808
mol_0357_0001.xyz,4,C,361.157,99.179
mol_0358_0001.xyz,10,C,370.423,99.105
mol_0360_0001.xyz,11,C,418.883,99.209
mol_0361_0001.xyz,3,C,248.493,98.362
mol_0363_0001.xyz,10,C,394.771,97.745
mol_0364_0001.xyz,6,C,409.461,99.039
mol_0365_0001.xyz,23,C,401.852,98.502
mol_0367_0001.xyz,5,C,396.239,99.338
mol_0369_0001.xyz,1,C,269.945,97.646
mol_0371_0001.xyz,2,C,356.503,99.021
mol_0373_0001.xyz,8,C,368.329,98.649
mol_0374_0001.xyz,22,C,356.624,98.475
mol_0375_0001.xyz,20,C,403.176,98.272
mol_0383_0001.xyz,17,C,270.457,97.927
mol_0384_0001.xyz,23,C,360.189,98.919
mol_0385_0001.xyz,19,C,343.688,99.548
mol_0386_0001.xyz,2,C,208.0,98.302
mol_0387_0001.xyz,20,C,381.86,98.475
mol_0390_0001.xyz,14,C,377.424,98.08
mol_0391_0001.xyz,18,C,322.543,99.126
mol_0392_0001.xyz,8,C,412.894,99.251
mol_0393_0001.xyz,18,C,337.225,98.161
mol_0394_0001.xyz,23,C,416.939,99.215
mol_0396_0001.xyz,10,C,365.371,98.949
mol_0397_0001.xyz,15,C,392.219,99.422
mol_0398_0001.xyz,2,C,327.395,99.635
mol_0399_0001.xyz,15,C,365.626,97.861
mol_0403_0001.xyz,5,C,388.138,99.281
mol_0405_0001.xyz,6,C,309.057,98.982
mol_0409_0001.xyz,1,C,313.91,97.673
mol_0412_0001.xyz,10,C,391.697,98.895
mol_0414_0001.xyz,17,C,330.236,98.227
mol_0417_0001.xyz,12,C,323.126,99.206
mol_0418_0001.xyz,1,C,274.315,97.696
mol_0420_0001.xyz,25,C,428.794,99.386
mol_0421_0001.xyz,5,C,210.921,98.865
mol_0425_0001.xyz,21,C,372.456,98.811
mol_0430_0001.xyz,16,C,363.668,97.724
mol_0431_0001.xyz,3,C,391.822,99.006
mol_0432_0001.xyz,3,C,263.542,98.014
mol_0433_0001.xyz,10,C,411.906,98.332
mol_0434_0001.xyz,19,C,396.756,98.419
mol_0435_0001.xyz,15,C,334.45,98.266
mol_0436_0001.xyz,2,C,223.768,97.73
mol_0437_0001.xyz,7,C,311.277,98.155
mol_0438_0001.xyz,9,C,240.381,99.149
mol_0440_0001.xyz,17,C,365.814,98.524
mol_0445_0001.xyz,16,C,327.467,99.578
mol_0448_0001.xyz,8,C,313.662,98.76
mol_0450_0001.xyz,23,C,391.213,98.937
mol_0453_0001.xyz,10,C,324.125,99.566
mol_0454_0001.xyz,18,C,407.079,99.03
mol_0455_0001.xyz,12,C,280.629,98.41
mol_0456_0001.xyz,7,C,308.702,99.715
mol_0457_0001.xyz,5,C,340.026,98.093
mol_0458_0001.xyz,3,C,414.595,98.997
mol_0461_0001.xyz,11,C,288.887,98.865
mol_0464_0001.xyz,23,C,455.859,98.652
mol_0465_0001.xyz,11,C,255.759,99.026
mol_0466_0001.xyz,25,C,396.68,98.535
mol_0467_0001.xyz,2,C,320.636,99.257
mol_0469_0001.xyz,13,C,307.037,98.062
mol_0470_0001.xyz,2,C,325.105,99.395
mol_0474_0001.xyz,18,C,367.333,99.94
mol_0475_0001.xyz,4,C,307.186,98.763
mol_0476_0001.xyz,24,C,360.168,98.868
mol_0478_0001.xyz,11,C,371.726,98.194
mol_0480_0001.xyz,23,C,417.952,99.117
mol_0484_0001.xyz,11,C,342.255,98.353
mol_0485_0001.xyz,24,C,399.062,98.721
mol_0488_0001.xyz,2,C,383.465,99.569
mol_0489_0001.xyz,21,C,361.185,98.323
mol_0493_0001.xyz,18,C,293.892,98.302
mol_0495_0001.xyz,13,C,230.589,98.499
mol_0499_0001.xyz,17,C,321.534,99.179
mol_0016_0001.xyz,20,Cl,360.24,100.0
mol_0023_0001.xyz,28,Cl,415.448,100.0
mol_0026_0001.xyz,7,Cl,334.014,100.0
mol_0033_0001.xyz,25,Cl,434.117,100.0
mol_0044_0001.xyz,22,Cl,386.234,100.0
mol_0065_0001.xyz,28,Cl,444.024,100.0
mol_0067_0001.xyz,23,Cl,487.901,100.0
mol_0097_0001.xyz,11,Cl,380.712,100.0
mol_0101_0001.xyz,27,Cl,475.254,100.0
mol_0107_0001.xyz,14,Cl,264.713,100.0
mol_0122_0001.xyz,6,Cl,207.56,100.0
mol_0124_0001.xyz,10,Cl,246.181,100.0
mol_0130_0001.xyz,8,Cl,435.885,100.0
mol_0139_0001.xyz,11,Cl,284.292,100.0
mol_0148_0001.xyz,11,Cl,367.038,100.0
mol_0160_0001.xyz,19,Cl,282.676,100.0
mol_0179_0001.xyz,9,Cl,272.484,100.0
mol_0196_0001.xyz,20,Cl,339.59,100.0
mol_0200_0001.xyz,12,Cl,310.255,100.0
mol_0223_0001.xyz,15,Cl,407.875,100.0
mol_0227_0001.xyz,19,Cl,371.4,100.0
mol_0228_0001.xyz,12,Cl,384.437,100.0
mol_0232_0001.xyz,23,Cl,453.533,100.0
mol_0255_0001.xyz,21,Cl,418.831,100.0
mol_0265_0001.xyz,13,Cl,300.432,100.0
mol_0276_0001.xyz,23,Cl,386.822,100.0
mol_0280_0001.xyz,14,Cl,269.648,100.0
mol_0296_0001.xyz,14,Cl,285.838,100.0
mol_0298_0001.xyz,13,Cl,259.719,100.0
mol_0301_0001.xyz,24,Cl,407.364,100.0
mol_0303_0001.xyz,23,Cl,432.327,100.0
mol_0330_0001.xyz,21,Cl,437.514,100.0
mol_0344_0001.xyz,20,Cl,343.908,100.0
mol_0356_0001.xyz,20,Cl,359.788,100.0
mol_0362_0001.xyz,14,Cl,438.92,100.0
mol_0371_0001.xyz,24,Cl,356.665,100.0
mol_0372_0001.xyz,16,Cl,378.487,100.0
mol_0379_0001.xyz,19,Cl,286.937,100.0
mol_0396_0001.xyz,24,Cl,365.483,100.0
mol_0399_0001.xyz,23,Cl,365.63,100.0
mol_0401_0001.xyz,16,Cl,333.777,100.0
mol_0421_0001.xyz,10,Cl,211.052,100.0
mol_0423_0001.xyz,21,Cl,362.504,100.0
mol_0435_0001.xyz,18,Cl,334.439,100.0
mol_0448_0001.xyz,20,Cl,313.598,100.0
mol_0450_0001.xyz,18,Cl,391.306,100.0
mol_0455_0001.xyz,14,Cl,280.687,100.0
mol_0470_0001.xyz,15,Cl,325.142,100.0
mol_0486_0001.xyz,16,Cl,288.627,100.0
mol_0499_0001.xyz,16,Cl,321.671,100.0
mol_0010_0001.xyz,21,F,346.518,75.962
mol_0020_0001.xyz,24,F,383.491,78.351
mol_0027_0001.xyz,7,F,354.183,76.553
mol_0029_0001.xyz,23,F,360.28,77.749
mol_0031_0001.xyz,11,F,315.299,75.931
mol_0032_0001.xyz,22,F,348.219,75.903
mol_0037_0001.xyz,27,F,421.371,77.488
mol_0042_0001.xyz,8,F,331.558,75.937
mol_0057_0001.xyz,13,F,254.277,75.923
mol_0058_0001.xyz,23,F,376.269,78.767
mol_0067_0001.xyz,9,F,487.7,75.834
mol_0072_0001.xyz,27,F,422.705,78.777
mol_0086_0001.xyz,18,F,357.219,75.928
mol_0091_0001.xyz,21,F,369.938,79.291
mol_0094_0001.xyz,18,F,383.053,75.873
mol_0098_0001.xyz,1,F,361.951,75.919
mol_0119_0001.xyz,19,F,338.725,77.582
mol_0128_0001.xyz,19,F,389.772,80.357
mol_0129_0001.xyz,21,F,362.167,76.086
mol_0130_0001.xyz,28,F,435.845,77.165
mol_0142_0001.xyz,23,F,366.864,76.003
mol_0150_0001.xyz,24,F,403.582,75.912
mol_0151_0001.xyz,18,F,296.556,76.063
mol_0156_0001.xyz,3,F,356.315,77.491
mol_0157_0001.xyz,19,F,317.664,77.774
mol_0159_0001.xyz,23,F,373.67,75.98
mol_0165_0001.xyz,12,F,439.783,75.986
mol_0167_0001.xyz,10,F,306.144,75.956
mol_0177_0001.xyz,19,F,328.67,77.774
mol_0179_0001.xyz,12,F,272.334,77.38
mol_0183_0001.xyz,18,F,280.691,78.448
mol_0184_0001.xyz,21,F,364.006,77.517
mol_0189_0001.xyz,24,F,383.991,79.531
mol_0192_0001.xyz,17,F,295.485,79.561
mol_0195_0001.xyz,16,F,436.456,75.985
mol_0215_0001.xyz,16,F,269.791,79.266
mol_0218_0001.xyz,23,F,381.843,78.662
mol_0221_0001.xyz,17,F,295.852,80.689
mol_0226_0001.xyz,23,F,404.601,75.888
mol_0227_0001.xyz,16,F,371.204,75.917
mol_0229_0001.xyz,12,F,319.683,79.725
mol_0246_0001.xyz,23,F,350.72,78.934
mol_0259_0001.xyz,25,F,387.604,75.943
mol_0260_0001.xyz,17,F,291.957,77.857
mol_0265_0001.xyz,10,F,300.281,76.383
mol_0269_0001.xyz,14,F,333.578,76.613
mol_0279_0001.xyz,12,F,369.489,75.937
mol_0282_0001.xyz,22,F,384.982,75.92
mol_0283_0001.xyz,25,F,371.843,80.598
mol_0286_0001.xyz,11,F,338.33,76.014
mol_0293_0001.xyz,15,F,274.254,77.797
mol_0294_0001.xyz,12,F,216.954,75.874
mol_0300_0001.xyz,15,F,358.524,75.949
mol_0305_0001.xyz,17,F,485.608,75.958
mol_0306_0001.xyz,23,F,371.728,77.75
mol_0314_0001.xyz,21,F,315.196,80.409
mol_0315_0001.xyz,16,F,326.757,75.922
mol_0321_0001.xyz,23,F,420.665,75.892
mol_0322_0001.xyz,17,F,372.376,76.831
mol_0324_0001.xyz,22,F,377.069,78.972
mol_0327_0001.xyz,20,F,447.209,75.939
mol_0335_0001.xyz,22,F,352.603,76.609
mol_0337_0001.xyz,15,F,335.637,76.859
mol_0338_0001.xyz,17,F,370.69,78.138
mol_0339_0001.xyz,19,F,437.294,75.802
mol_0353_0001.xyz,22,F,391.226,77.165
mol_0357_0001.xyz,22,F,361.097,75.971
mol_0375_0001.xyz,22,F,403.307,77.812
mol_0377_0001.xyz,28,F,393.663,79.518
mol_0381_0001.xyz,19,F,370.661,75.894
mol_0382_0001.xyz,24,F,371.349,75.957
mol_0383_0001.xyz,3,F,270.277,77.672
mol_0387_0001.xyz,6,F,381.796,77.898
mol_0391_0001.xyz,19,F,322.572,76.045
mol_0392_0001.xyz,24,F,412.868,77.936
mol_0396_0001.xyz,21,F,365.335,75.958
mol_0402_0001.xyz,21,F,487.285,81.531
mol_0404_0001.xyz,19,F,320.133,81.505
mol_0412_0001.xyz,21,F,391.545,78.643
mol_0417_0001.xyz,18,F,323.152,77.935
mol_0419_0001.xyz,19,F,428.466,75.888
mol_0422_0001.xyz,13,F,339.162,75.951
mol_0423_0001.xyz,23,F,362.421,77.515
mol_0443_0001.xyz,12,F,277.353,77.483
mol_0445_0001.xyz,20,F,327.369,75.971
mol_0446_0001.xyz,20,F,481.209,75.961
mol_0457_0001.xyz,24,F,339.986,79.138
mol_0460_0001.xyz,17,F,316.294,77.684
mol_0470_0001.xyz,21,F,325.019,80.801
mol_0476_0001.xyz,22,F,360.229,79.311
mol_0477_0001.xyz,14,F,488.705,80.289
mol_0478_0001.xyz,24,F,371.705,76.0
mol_0494_0001.xyz,22,F,346.172,75.886
mol_0497_0001.xyz,19,F,286.206,77.386
mol_0002_0001.xyz,28,H,303.779,62.813
mol_0004_0001.xyz,31,H,336.757,70.577
mol_0005_0001.xyz,36,H,320.438,71.141
mol_0006_0001.xyz,33,H,352.495,67.578
mol_0007_0001.xyz,29,H,370.001,66.462
mol_0008_0001.xyz,19,H,285.655,63.677
mol_0011_0001.xyz,39,H,380.124,62.158
mol_0012_0001.xyz,34,H,315.482,65.895
mol_0014_0001.xyz,43,H,383.023,65.718
mol_0015_0001.xyz,40,H,361.541,69.958
mol_0016_0001.xyz,34,H,359.983,67.24
mol_0017_0001.xyz,35,H,440.542,67.365
mol_0020_0001.xyz,38,H,383.567,63.601
mol_0023_0001.xyz,39,H,415.324,63.647
mol_0027_0001.xyz,34,H,354.206,62.689
mol_0029_0001.xyz,44,H,360.239,63.516
mol_0034_0001.xyz,38,H,474.774,69.546
mol_0035_0001.xyz,41,H,354.676,62.82
mol_0038_0001.xyz,40,H,365.712,62.41
mol_0040_0001.xyz,15,H,225.187,65.027
mol_0041_0001.xyz,34,H,300.03,62.685
mol_0044_0001.xyz,36,H,386.189,74.757
mol_0045_0001.xyz,26,H,256.857,63.645
mol_0046_0001.xyz,38,H,364.987,66.213
mol_0047_0001.xyz,33,H,388.001,66.15
mol_0048_0001.xyz,41,H,284.31,64.892
mol_0050_0001.xyz,42,H,388.747,65.541
mol_0051_0001.xyz,38,H,374.044,70.309
mol_0055_0001.xyz,40,H,378.685,62.731
mol_0056_0001.xyz,33,H,333.747,64.388
mol_0057_0001.xyz,23,H,254.333,74.573
mol_0058_0001.xyz,34,H,376.223,72.431
mol_0059_0001.xyz,34,H,378.366,71.324
mol_0061_0001.xyz,20,H,253.808,64.357
mol_0062_0001.xyz,32,H,246.044,64.487
mol_0064_0001.xyz,34,H,430.446,65.201
mol_0065_0001.xyz,38,H,443.863,65.311
mol_0066_0001.xyz,35,H,376.297,62.472
mol_0067_0001.xyz,38,H,487.764,63.536
mol_0069_0001.xyz,44,H,395.379,64.663
mol_0070_0001.xyz,45,H,364.436,70.833
mol_0073_0001.xyz,42,H,342.711,70.23
