mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,263.461,54.493
mol_0004_0001.xyz,3,C,300.416,48.855
mol_0005_0001.xyz,7,C,287.064,57.604
mol_0006_0001.xyz,24,C,312.999,55.223
mol_0007_0001.xyz,4,C,329.552,51.874
mol_0008_0001.xyz,8,C,253.733,50.49
mol_0009_0001.xyz,31,C,453.073,58.479
mol_0011_0001.xyz,11,C,342.811,58.876
mol_0013_0001.xyz,7,C,380.726,52.966
mol_0014_0001.xyz,23,C,340.946,54.163
mol_0016_0001.xyz,4,C,318.275,47.602
mol_0021_0001.xyz,11,C,306.64,61.335
mol_0022_0001.xyz,16,C,350.49,44.491
mol_0025_0001.xyz,14,C,281.059,50.764
mol_0027_0001.xyz,18,C,316.708,66.706
mol_0028_0001.xyz,12,C,193.352,43.846
mol_0029_0001.xyz,8,C,320.804,47.847
mol_0030_0001.xyz,25,C,442.854,64.575
mol_0032_0001.xyz,3,C,313.604,65.532
mol_0033_0001.xyz,27,C,387.9,60.504
mol_0037_0001.xyz,23,C,374.978,43.281
mol_0038_0001.xyz,19,C,327.148,49.45
mol_0043_0001.xyz,24,C,408.593,68.378
mol_0047_0001.xyz,15,C,349.126,40.661
mol_0048_0001.xyz,9,C,255.895,77.874
mol_0049_0001.xyz,4,C,314.134,48.025
mol_0050_0001.xyz,14,C,347.035,58.57
mol_0051_0001.xyz,23,C,334.108,43.356
mol_0052_0001.xyz,22,C,330.058,52.179
mol_0054_0001.xyz,12,C,318.666,55.678
mol_0057_0001.xyz,9,C,224.843,57.667
mol_0058_0001.xyz,5,C,334.115,52.562
mol_0060_0001.xyz,18,C,260.622,75.091
mol_0062_0001.xyz,1,C,222.542,41.274
mol_0064_0001.xyz,16,C,388.062,56.787
mol_0068_0001.xyz,17,C,323.061,56.512
mol_0070_0001.xyz,5,C,324.708,62.639
mol_0075_0001.xyz,4,C,314.39,61.018
mol_0077_0001.xyz,12,C,343.813,57.347
mol_0078_0001.xyz,5,C,293.626,49.475
mol_0079_0001.xyz,13,C,308.478,50.675
mol_0080_0001.xyz,6,C,326.223,53.139
mol_0082_0001.xyz,2,C,352.511,64.93
mol_0085_0001.xyz,8,C,340.264,65.04
mol_0086_0001.xyz,2,C,317.153,56.063
mol_0088_0001.xyz,5,C,251.586,56.173
mol_0090_0001.xyz,14,C,339.868,63.657
mol_0091_0001.xyz,18,C,328.733,50.16
mol_0094_0001.xyz,22,C,339.52,54.375
mol_0095_0001.xyz,19,C,327.25,43.686
mol_0098_0001.xyz,15,C,323.309,51.055
mol_0100_0001.xyz,11,C,333.188,55.328
mol_0102_0001.xyz,11,C,290.218,56.275
mol_0105_0001.xyz,19,C,323.694,38.716
mol_0106_0001.xyz,5,C,290.6,63.185
mol_0110_0001.xyz,30,C,398.513,46.466
mol_0111_0001.xyz,22,C,343.134,56.501
mol_0112_0001.xyz,27,C,382.955,51.4
mol_0113_0001.xyz,20,C,421.433,58.878
mol_0114_0001.xyz,18,C,450.666,72.746
mol_0116_0001.xyz,3,C,334.854,64.177
mol_0117_0001.xyz,15,C,340.572,50.324
mol_0118_0001.xyz,5,C,307.673,69.255
mol_0119_0001.xyz,7,C,302.466,54.661
mol_0121_0001.xyz,6,C,269.292,44.538
mol_0122_0001.xyz,10,C,184.582,45.078
mol_0123_0001.xyz,13,C,335.605,53.29
mol_0124_0001.xyz,9,C,216.135,52.819
mol_0125_0001.xyz,19,C,333.031,59.187
mol_0130_0001.xyz,11,C,386.075,46.438
mol_0131_0001.xyz,5,C,315.814,63.228
mol_0132_0001.xyz,23,C,403.557,49.355
mol_0134_0001.xyz,22,C,338.351,57.332
mol_0136_0001.xyz,11,C,211.276,56.381
mol_0137_0001.xyz,1,C,308.087,34.134
mol_0138_0001.xyz,6,C,210.476,65.9
mol_0141_0001.xyz,17,C,318.033,34.796
mol_0143_0001.xyz,11,C,264.666,72.388
mol_0144_0001.xyz,6,C,316.383,62.965
mol_0147_0001.xyz,18,C,306.069,45.08
mol_0150_0001.xyz,9,C,356.593,59.872
mol_0151_0001.xyz,19,C,264.06,56.079
mol_0152_0001.xyz,13,C,423.77,59.457
mol_0155_0001.xyz,20,C,318.787,42.898
mol_0160_0001.xyz,18,C,251.207,57.234
mol_0163_0001.xyz,4,C,382.2,66.143
mol_0165_0001.xyz,25,C,390.086,56.968
mol_0167_0001.xyz,18,C,274.754,56.119
mol_0170_0001.xyz,22,C,316.886,46.619
mol_0173_0001.xyz,3,C,256.96,44.512
mol_0175_0001.xyz,18,C,321.347,59.543
mol_0177_0001.xyz,13,C,291.615,46.883
mol_0180_0001.xyz,20,C,390.118,67.395
mol_0181_0001.xyz,19,C,342.973,41.877
mol_0183_0001.xyz,1,C,250.483,40.044
mol_0184_0001.xyz,12,C,323.578,62.781
mol_0187_0001.xyz,20,C,404.548,54.955
mol_0190_0001.xyz,26,C,323.79,57.243
mol_0202_0001.xyz,14,C,331.02,52.014
mol_0203_0001.xyz,19,C,351.351,50.876
mol_0204_0001.xyz,14,C,335.018,46.402
mol_0205_0001.xyz,21,C,382.412,44.983
mol_0210_0001.xyz,12,C,339.074,42.089
mol_0211_0001.xyz,5,C,289.875,48.336
mol_0212_0001.xyz,18,C,298.788,41.765
mol_0215_0001.xyz,5,C,237.702,44.543
mol_0216_0001.xyz,22,C,348.478,57.907
mol_0218_0001.xyz,27,C,337.871,46.53
mol_0219_0001.xyz,22,C,348.721,48.059
mol_0220_0001.xyz,8,C,300.435,57.757
mol_0221_0001.xyz,5,C,266.211,77.71
mol_0222_0001.xyz,26,C,386.745,47.984
mol_0225_0001.xyz,6,C,418.66,69.491
mol_0226_0001.xyz,21,C,361.154,44.725
mol_0231_0001.xyz,7,C,381.924,67.292
mol_0236_0001.xyz,3,C,335.069,47.589
mol_0239_0001.xyz,16,C,379.288,60.152
mol_0242_0001.xyz,20,C,323.109,48.149
mol_0243_0001.xyz,10,C,258.354,43.478
mol_0245_0001.xyz,2,C,377.614,48.727
mol_0246_0001.xyz,16,C,311.608,56.846
mol_0248_0001.xyz,12,C,217.92,41.996
mol_0251_0001.xyz,6,C,371.939,48.365
mol_0253_0001.xyz,12,C,259.785,48.576
mol_0254_0001.xyz,1,C,442.156,32.731
mol_0256_0001.xyz,9,C,302.659,58.193
mol_0257_0001.xyz,2,C,293.915,42.127
mol_0258_0001.xyz,3,C,355.568,68.047
mol_0259_0001.xyz,26,C,345.078,44.657
mol_0260_0001.xyz,7,C,260.078,50.593
mol_0263_0001.xyz,16,C,252.524,39.241
mol_0266_0001.xyz,17,C,288.103,59.597
mol_0267_0001.xyz,18,C,361.269,53.223
mol_0268_0001.xyz,8,C,241.503,43.364
mol_0275_0001.xyz,5,C,234.404,56.146
mol_0277_0001.xyz,12,C,411.851,62.627
mol_0279_0001.xyz,13,C,330.445,45.85
mol_0282_0001.xyz,7,C,341.123,47.518
mol_0284_0001.xyz,12,C,261.056,40.491
mol_0285_0001.xyz,11,C,280.278,49.52
mol_0288_0001.xyz,10,C,421.906,46.744
mol_0289_0001.xyz,11,C,253.561,50.487
mol_0292_0001.xyz,20,C,376.778,58.903
mol_0293_0001.xyz,4,C,241.91,49.538
mol_0294_0001.xyz,9,C,193.454,50.549
mol_0298_0001.xyz,11,C,228.514,51.213
mol_0300_0001.xyz,6,C,320.429,55.035
mol_0301_0001.xyz,14,C,364.436,73.853
mol_0307_0001.xyz,4,C,300.565,45.293
mol_0308_0001.xyz,16,C,309.816,40.038
mol_0311_0001.xyz,3,C,326.117,39.743
mol_0312_0001.xyz,25,C,365.252,43.776
mol_0313_0001.xyz,7,C,292.393,48.56
mol_0314_0001.xyz,18,C,280.773,41.579
mol_0315_0001.xyz,14,C,290.054,44.695
mol_0316_0001.xyz,6,C,336.399,54.571
mol_0318_0001.xyz,10,C,371.088,62.127
mol_0319_0001.xyz,4,C,266.914,57.829
mol_0322_0001.xyz,20,C,335.785,50.702
mol_0324_0001.xyz,4,C,337.339,50.147
mol_0325_0001.xyz,12,C,259.351,52.498
mol_0327_0001.xyz,29,C,398.703,65.528
mol_0328_0001.xyz,17,C,255.203,42.796
mol_0329_0001.xyz,3,C,316.051,52.411
mol_0332_0001.xyz,15,C,214.783,43.473
mol_0334_0001.xyz,11,C,233.675,41.161
mol_0336_0001.xyz,3,C,425.521,54.647
mol_0340_0001.xyz,14,C,260.562,42.628
mol_0342_0001.xyz,7,C,335.914,38.802
mol_0344_0001.xyz,15,C,307.45,48.393
mol_0345_0001.xyz,21,C,280.299,46.485
mol_0346_0001.xyz,10,C,386.332,60.938
mol_0349_0001.xyz,10,C,363.787,49.843
mol_0351_0001.xyz,6,C,183.189,65.753
mol_0356_0001.xyz,9,C,317.616,48.965
mol_0357_0001.xyz,4,C,319.469,61.392
mol_0358_0001.xyz,10,C,333.162,60.189
mol_0360_0001.xyz,11,C,373.052,67.271
mol_0361_0001.xyz,3,C,223.029,47.297
mol_0363_0001.xyz,10,C,351.235,37.598
mol_0364_0001.xyz,6,C,367.843,60.971
mol_0365_0001.xyz,23,C,359.522,52.434
mol_0367_0001.xyz,5,C,354.316,57.108
mol_0369_0001.xyz,1,C,239.163,30.761
mol_0371_0001.xyz,2,C,317.116,50.97
mol_0373_0001.xyz,8,C,328.387,50.446
mol_0374_0001.xyz,22,C,318.031,53.961
mol_0375_0001.xyz,20,C,363.27,44.922
mol_0383_0001.xyz,17,C,237.842,45.437
mol_0384_0001.xyz,23,C,322.766,54.168
mol_0385_0001.xyz,19,C,306.063,54.762
mol_0386_0001.xyz,2,C,185.512,39.686
mol_0387_0001.xyz,20,C,338.891,43.023
mol_0390_0001.xyz,14,C,338.35,39.879
mol_0391_0001.xyz,18,C,287.147,51.615
mol_0392_0001.xyz,8,C,367.913,64.398
mol_0393_0001.xyz,18,C,299.644,51.371
mol_0394_0001.xyz,23,C,370.687,56.158
mol_0396_0001.xyz,10,C,322.485,53.186
mol_0397_0001.xyz,15,C,348.646,65.161
mol_0398_0001.xyz,2,C,294.666,65.677
mol_0399_0001.xyz,15,C,322.809,37.77
mol_0403_0001.xyz,5,C,344.957,60.155
mol_0405_0001.xyz,6,C,279.057,55.871
mol_0409_0001.xyz,1,C,276.745,35.176
mol_0412_0001.xyz,10,C,352.573,53.143
mol_0414_0001.xyz,17,C,296.039,42.143
mol_0417_0001.xyz,12,C,288.089,57.675
mol_0418_0001.xyz,1,C,242.839,31.806
mol_0420_0001.xyz,25,C,385.931,69.019
mol_0421_0001.xyz,5,C,187.187,51.917
mol_0425_0001.xyz,21,C,330.943,53.771
mol_0430_0001.xyz,16,C,322.935,36.033
mol_0431_0001.xyz,3,C,350.711,58.121
mol_0432_0001.xyz,3,C,235.303,42.743
mol_0433_0001.xyz,10,C,368.247,40.787
mol_0434_0001.xyz,19,C,352.653,48.997
mol_0435_0001.xyz,15,C,297.644,42.216
mol_0436_0001.xyz,2,C,196.694,36.336
mol_0437_0001.xyz,7,C,280.507,41.538
mol_0438_0001.xyz,9,C,212.932,58.305
mol_0440_0001.xyz,17,C,329.327,55.217
mol_0445_0001.xyz,16,C,290.943,67.694
mol_0448_0001.xyz,8,C,277.618,49.796
mol_0450_0001.xyz,23,C,350.117,58.389
mol_0453_0001.xyz,10,C,291.254,74.836
mol_0454_0001.xyz,18,C,366.45,54.987
mol_0455_0001.xyz,12,C,250.629,46.367
mol_0456_0001.xyz,7,C,275.255,67.504
mol_0457_0001.xyz,5,C,299.554,46.728
mol_0458_0001.xyz,3,C,369.885,59.833
mol_0461_0001.xyz,11,C,256.782,53.82
mol_0464_0001.xyz,23,C,410.447,47.444
mol_0465_0001.xyz,11,C,226.419,58.134
mol_0466_0001.xyz,25,C,353.607,51.967
mol_0467_0001.xyz,2,C,284.51,58.927
mol_0469_0001.xyz,13,C,272.002,42.925
mol_0470_0001.xyz,2,C,291.026,51.042
mol_0474_0001.xyz,18,C,327.785,63.562
mol_0475_0001.xyz,4,C,273.295,49.971
mol_0476_0001.xyz,24,C,322.422,58.257
mol_0478_0001.xyz,11,C,333.051,45.476
mol_0480_0001.xyz,23,C,375.513,55.77
mol_0484_0001.xyz,11,C,303.548,42.228
mol_0485_0001.xyz,24,C,355.41,46.297
mol_0488_0001.xyz,2,C,343.724,66.656
mol_0489_0001.xyz,21,C,320.531,45.471
mol_0493_0001.xyz,18,C,261.265,41.734
mol_0495_0001.xyz,13,C,206.716,49.964
mol_0499_0001.xyz,17,C,285.793,59.464
mol_0016_0001.xyz,20,Cl,316.955,33.164
mol_0023_0001.xyz,28,Cl,371.327,37.056
mol_0026_0001.xyz,7,Cl,294.832,40.026
mol_0033_0001.xyz,25,Cl,391.042,32.834
mol_0044_0001.xyz,22,Cl,346.697,33.091
mol_0065_0001.xyz,28,Cl,395.374,44.58
mol_0067_0001.xyz,23,Cl,433.202,33.155
mol_0097_0001.xyz,11,Cl,338.704,37.835
mol_0101_0001.xyz,27,Cl,424.233,36.528
mol_0107_0001.xyz,14,Cl,235.038,33.167
mol_0122_0001.xyz,6,Cl,183.646,33.424
mol_0124_0001.xyz,10,Cl,216.386,33.185
mol_0130_0001.xyz,8,Cl,387.835,36.802
mol_0139_0001.xyz,11,Cl,253.902,33.062
mol_0148_0001.xyz,11,Cl,328.758,35.207
mol_0160_0001.xyz,19,Cl,248.539,37.069
mol_0179_0001.xyz,9,Cl,243.844,32.958
mol_0196_0001.xyz,20,Cl,302.126,33.131
mol_0200_0001.xyz,12,Cl,276.854,33.192
mol_0223_0001.xyz,15,Cl,361.902,33.101
mol_0227_0001.xyz,19,Cl,329.978,37.605
mol_0228_0001.xyz,12,Cl,341.86,45.601
mol_0232_0001.xyz,23,Cl,406.024,45.593
mol_0255_0001.xyz,21,Cl,376.866,38.697
mol_0265_0001.xyz,13,Cl,266.802,33.175
mol_0276_0001.xyz,23,Cl,347.56,33.177
mol_0280_0001.xyz,14,Cl,241.356,33.119
mol_0296_0001.xyz,14,Cl,254.17,33.052
mol_0298_0001.xyz,13,Cl,229.457,33.19
mol_0301_0001.xyz,24,Cl,363.34,35.39
mol_0303_0001.xyz,23,Cl,381.143,40.472
mol_0330_0001.xyz,21,Cl,389.292,39.88
mol_0344_0001.xyz,20,Cl,306.39,33.129
mol_0356_0001.xyz,20,Cl,318.235,35.715
mol_0362_0001.xyz,14,Cl,389.051,33.122
mol_0371_0001.xyz,24,Cl,317.036,40.647
mol_0372_0001.xyz,16,Cl,335.434,33.187
mol_0379_0001.xyz,19,Cl,253.627,44.03
mol_0396_0001.xyz,24,Cl,326.468,42.682
mol_0399_0001.xyz,23,Cl,326.977,36.384
mol_0401_0001.xyz,16,Cl,293.052,32.029
mol_0421_0001.xyz,10,Cl,186.371,31.205
mol_0423_0001.xyz,21,Cl,324.796,34.754
mol_0435_0001.xyz,18,Cl,297.339,33.21
mol_0448_0001.xyz,20,Cl,279.725,38.129
mol_0450_0001.xyz,18,Cl,350.681,33.171
mol_0455_0001.xyz,14,Cl,246.841,33.004
mol_0470_0001.xyz,15,Cl,287.482,33.166
mol_0486_0001.xyz,16,Cl,256.342,37.308
mol_0499_0001.xyz,16,Cl,284.5,34.276
mol_0010_0001.xyz,21,F,310.807,31.371
mol_0020_0001.xyz,24,F,343.969,41.615
mol_0027_0001.xyz,7,F,314.634,32.908
mol_0029_0001.xyz,23,F,319.658,35.795
mol_0031_0001.xyz,11,F,284.782,31.27
mol_0032_0001.xyz,22,F,309.039,34.563
mol_0037_0001.xyz,27,F,375.279,37.445
mol_0042_0001.xyz,8,F,294.963,31.303
mol_0057_0001.xyz,13,F,226.987,31.332
mol_0058_0001.xyz,23,F,338.507,42.02
mol_0067_0001.xyz,9,F,431.406,31.272
mol_0072_0001.xyz,27,F,376.618,39.011
mol_0086_0001.xyz,18,F,318.741,31.328
mol_0091_0001.xyz,21,F,328.439,38.598
mol_0094_0001.xyz,18,F,342.443,31.247
mol_0098_0001.xyz,1,F,324.427,31.297
mol_0119_0001.xyz,19,F,301.706,37.455
mol_0128_0001.xyz,19,F,348.109,46.554
mol_0129_0001.xyz,21,F,320.288,31.384
mol_0130_0001.xyz,28,F,389.254,43.39
mol_0142_0001.xyz,23,F,325.955,31.348
mol_0150_0001.xyz,24,F,356.922,31.321
mol_0151_0001.xyz,18,F,263.588,29.416
mol_0156_0001.xyz,3,F,314.735,36.245
mol_0157_0001.xyz,19,F,284.302,35.916
mol_0159_0001.xyz,23,F,335.171,31.323
mol_0165_0001.xyz,12,F,396.32,31.371
mol_0167_0001.xyz,10,F,270.015,31.325
mol_0177_0001.xyz,19,F,294.47,36.141
mol_0179_0001.xyz,12,F,242.298,34.699
mol_0183_0001.xyz,18,F,249.09,40.682
mol_0184_0001.xyz,21,F,322.794,35.526
mol_0189_0001.xyz,24,F,342.779,46.381
