mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,307.903,60.732
mol_0004_0001.xyz,3,C,354.482,55.869
mol_0005_0001.xyz,7,C,330.308,63.255
mol_0006_0001.xyz,24,C,366.851,61.598
mol_0007_0001.xyz,4,C,389.052,58.342
mol_0008_0001.xyz,8,C,297.855,57.225
mol_0009_0001.xyz,31,C,526.527,64.718
mol_0011_0001.xyz,11,C,394.949,65.139
mol_0013_0001.xyz,7,C,439.246,60.158
mol_0014_0001.xyz,23,C,398.723,60.807
mol_0016_0001.xyz,4,C,378.559,53.746
mol_0021_0001.xyz,11,C,359.096,68.147
mol_0022_0001.xyz,16,C,402.243,50.166
mol_0025_0001.xyz,14,C,324.641,57.092
mol_0027_0001.xyz,18,C,368.776,73.889
mol_0028_0001.xyz,12,C,224.512,49.664
mol_0029_0001.xyz,8,C,371.643,53.892
mol_0030_0001.xyz,25,C,513.642,71.648
mol_0032_0001.xyz,3,C,361.264,72.299
mol_0033_0001.xyz,27,C,451.483,67.278
mol_0037_0001.xyz,23,C,443.221,49.684
mol_0038_0001.xyz,19,C,381.433,55.739
mol_0043_0001.xyz,24,C,479.797,77.075
mol_0047_0001.xyz,15,C,406.558,47.091
mol_0048_0001.xyz,9,C,294.278,84.558
mol_0049_0001.xyz,4,C,367.189,53.773
mol_0050_0001.xyz,14,C,408.111,65.934
mol_0051_0001.xyz,23,C,387.669,49.599
mol_0052_0001.xyz,22,C,390.373,58.614
mol_0054_0001.xyz,12,C,375.553,61.932
mol_0057_0001.xyz,9,C,265.176,65.081
mol_0058_0001.xyz,5,C,387.115,59.103
mol_0060_0001.xyz,18,C,298.113,81.008
mol_0062_0001.xyz,1,C,255.467,46.978
mol_0064_0001.xyz,16,C,444.161,63.469
mol_0068_0001.xyz,17,C,375.254,63.362
mol_0070_0001.xyz,5,C,379.734,69.304
mol_0075_0001.xyz,4,C,373.443,68.543
mol_0077_0001.xyz,12,C,404.728,64.76
mol_0078_0001.xyz,5,C,343.619,55.502
mol_0079_0001.xyz,13,C,363.563,57.196
mol_0080_0001.xyz,6,C,374.049,59.422
mol_0082_0001.xyz,2,C,407.103,71.733
mol_0085_0001.xyz,8,C,397.354,72.039
mol_0086_0001.xyz,2,C,370.899,63.16
mol_0088_0001.xyz,5,C,297.279,63.378
mol_0090_0001.xyz,14,C,399.424,70.209
mol_0091_0001.xyz,18,C,390.213,56.409
mol_0094_0001.xyz,22,C,400.475,60.253
mol_0095_0001.xyz,19,C,385.147,49.264
mol_0098_0001.xyz,15,C,379.234,58.414
mol_0100_0001.xyz,11,C,394.379,61.981
mol_0102_0001.xyz,11,C,334.207,62.191
mol_0105_0001.xyz,19,C,373.581,45.401
mol_0106_0001.xyz,5,C,341.278,69.977
mol_0110_0001.xyz,30,C,464.098,52.637
mol_0111_0001.xyz,22,C,398.744,62.495
mol_0112_0001.xyz,27,C,443.879,57.703
mol_0113_0001.xyz,20,C,487.973,66.741
mol_0114_0001.xyz,18,C,520.346,79.397
mol_0116_0001.xyz,3,C,384.459,71.751
mol_0117_0001.xyz,15,C,398.75,56.56
mol_0118_0001.xyz,5,C,358.892,76.256
mol_0119_0001.xyz,7,C,354.805,61.566
mol_0121_0001.xyz,6,C,312.02,50.796
mol_0122_0001.xyz,10,C,215.913,51.397
mol_0123_0001.xyz,13,C,390.6,60.93
mol_0124_0001.xyz,9,C,257.485,60.709
mol_0125_0001.xyz,19,C,386.893,65.525
mol_0130_0001.xyz,11,C,449.485,52.993
mol_0131_0001.xyz,5,C,370.05,70.258
mol_0132_0001.xyz,23,C,471.17,57.068
mol_0134_0001.xyz,22,C,394.476,63.748
mol_0136_0001.xyz,11,C,248.273,64.464
mol_0137_0001.xyz,1,C,357.857,40.01
mol_0138_0001.xyz,6,C,245.987,72.987
mol_0141_0001.xyz,17,C,370.293,40.268
mol_0143_0001.xyz,11,C,305.031,80.822
mol_0144_0001.xyz,6,C,366.235,69.043
mol_0147_0001.xyz,18,C,355.889,51.255
mol_0150_0001.xyz,9,C,418.673,66.954
mol_0151_0001.xyz,19,C,308.269,62.292
mol_0152_0001.xyz,13,C,490.987,65.782
mol_0155_0001.xyz,20,C,371.781,48.477
mol_0160_0001.xyz,18,C,299.474,64.837
mol_0163_0001.xyz,4,C,448.011,72.71
mol_0165_0001.xyz,25,C,460.193,63.708
mol_0167_0001.xyz,18,C,319.163,63.827
mol_0170_0001.xyz,22,C,370.767,52.787
mol_0173_0001.xyz,3,C,304.315,50.514
mol_0175_0001.xyz,18,C,372.305,68.767
mol_0177_0001.xyz,13,C,346.155,53.083
mol_0180_0001.xyz,20,C,452.427,74.639
mol_0181_0001.xyz,19,C,400.739,48.164
mol_0183_0001.xyz,1,C,293.058,45.467
mol_0184_0001.xyz,12,C,378.011,68.698
mol_0187_0001.xyz,20,C,472.952,61.19
mol_0190_0001.xyz,26,C,382.605,63.318
mol_0202_0001.xyz,14,C,383.82,58.063
mol_0203_0001.xyz,19,C,408.501,57.353
mol_0204_0001.xyz,14,C,389.875,52.619
mol_0205_0001.xyz,21,C,447.571,51.429
mol_0210_0001.xyz,12,C,395.235,48.3
mol_0211_0001.xyz,5,C,342.529,55.569
mol_0212_0001.xyz,18,C,357.147,48.366
mol_0215_0001.xyz,5,C,283.006,50.747
mol_0216_0001.xyz,22,C,402.827,63.616
mol_0218_0001.xyz,27,C,399.637,52.727
mol_0219_0001.xyz,22,C,406.287,55.683
mol_0220_0001.xyz,8,C,346.127,65.44
mol_0221_0001.xyz,5,C,307.081,84.169
mol_0222_0001.xyz,26,C,457.791,54.297
mol_0225_0001.xyz,6,C,486.726,76.607
mol_0226_0001.xyz,21,C,421.599,51.066
mol_0231_0001.xyz,7,C,442.489,74.177
mol_0236_0001.xyz,3,C,388.96,53.743
mol_0239_0001.xyz,16,C,444.798,67.644
mol_0242_0001.xyz,20,C,384.614,54.456
mol_0243_0001.xyz,10,C,299.924,48.837
mol_0245_0001.xyz,2,C,441.427,56.399
mol_0246_0001.xyz,16,C,369.543,64.117
mol_0248_0001.xyz,12,C,252.064,48.205
mol_0251_0001.xyz,6,C,430.129,54.406
mol_0253_0001.xyz,12,C,305.417,54.643
mol_0254_0001.xyz,1,C,515.715,38.115
mol_0256_0001.xyz,9,C,354.54,64.34
mol_0257_0001.xyz,2,C,346.185,49.032
mol_0258_0001.xyz,3,C,417.873,74.881
mol_0259_0001.xyz,26,C,404.968,50.881
mol_0260_0001.xyz,7,C,301.498,56.277
mol_0263_0001.xyz,16,C,297.498,46.01
mol_0266_0001.xyz,17,C,331.4,65.978
mol_0267_0001.xyz,18,C,426.905,61.021
mol_0268_0001.xyz,8,C,286.304,48.923
mol_0275_0001.xyz,5,C,269.456,62.379
mol_0277_0001.xyz,12,C,472.609,69.867
mol_0279_0001.xyz,13,C,383.246,52.518
mol_0282_0001.xyz,7,C,396.891,53.579
mol_0284_0001.xyz,12,C,306.181,46.016
mol_0285_0001.xyz,11,C,324.367,54.981
mol_0288_0001.xyz,10,C,494.395,52.977
mol_0289_0001.xyz,11,C,296.677,56.907
mol_0292_0001.xyz,20,C,434.843,66.092
mol_0293_0001.xyz,4,C,284.0,55.511
mol_0294_0001.xyz,9,C,227.42,56.719
mol_0298_0001.xyz,11,C,270.6,57.387
mol_0300_0001.xyz,6,C,375.299,61.287
mol_0301_0001.xyz,14,C,422.79,81.532
mol_0307_0001.xyz,4,C,348.616,51.403
mol_0308_0001.xyz,16,C,363.328,46.539
mol_0311_0001.xyz,3,C,383.155,45.102
mol_0312_0001.xyz,25,C,428.45,50.114
mol_0313_0001.xyz,7,C,341.234,54.453
mol_0314_0001.xyz,18,C,325.657,47.946
mol_0315_0001.xyz,14,C,340.796,50.962
mol_0316_0001.xyz,6,C,392.745,61.561
mol_0318_0001.xyz,10,C,430.911,69.256
mol_0319_0001.xyz,4,C,313.737,64.045
mol_0322_0001.xyz,20,C,387.622,57.525
mol_0324_0001.xyz,4,C,390.545,56.423
mol_0325_0001.xyz,12,C,302.288,59.314
mol_0327_0001.xyz,29,C,461.765,73.581
mol_0328_0001.xyz,17,C,296.899,48.936
mol_0329_0001.xyz,3,C,368.381,59.329
mol_0332_0001.xyz,15,C,251.691,49.391
mol_0334_0001.xyz,11,C,269.284,47.15
mol_0336_0001.xyz,3,C,494.585,61.788
mol_0340_0001.xyz,14,C,306.878,48.863
mol_0342_0001.xyz,7,C,394.291,44.322
mol_0344_0001.xyz,15,C,356.845,55.019
mol_0345_0001.xyz,21,C,332.922,52.86
mol_0346_0001.xyz,10,C,448.255,66.787
mol_0349_0001.xyz,10,C,425.954,56.504
mol_0351_0001.xyz,6,C,209.843,72.001
mol_0356_0001.xyz,9,C,373.211,55.291
mol_0357_0001.xyz,4,C,374.529,68.528
mol_0358_0001.xyz,10,C,386.827,67.126
mol_0360_0001.xyz,11,C,435.149,74.515
mol_0361_0001.xyz,3,C,259.163,53.461
mol_0363_0001.xyz,10,C,408.33,43.072
mol_0364_0001.xyz,6,C,424.008,66.819
mol_0365_0001.xyz,23,C,420.779,58.466
mol_0367_0001.xyz,5,C,414.361,64.334
mol_0369_0001.xyz,1,C,282.547,36.222
mol_0371_0001.xyz,2,C,375.125,57.932
mol_0373_0001.xyz,8,C,384.464,56.626
mol_0374_0001.xyz,22,C,372.841,60.353
mol_0375_0001.xyz,20,C,419.561,51.056
mol_0383_0001.xyz,17,C,282.247,51.449
mol_0384_0001.xyz,23,C,372.533,60.817
mol_0385_0001.xyz,19,C,356.161,63.159
mol_0386_0001.xyz,2,C,215.339,46.463
mol_0387_0001.xyz,20,C,396.692,49.273
mol_0390_0001.xyz,14,C,395.901,46.14
mol_0391_0001.xyz,18,C,336.038,59.804
mol_0392_0001.xyz,8,C,429.057,71.288
mol_0393_0001.xyz,18,C,348.646,59.171
mol_0394_0001.xyz,23,C,434.052,63.779
mol_0396_0001.xyz,10,C,378.163,60.308
mol_0397_0001.xyz,15,C,409.948,72.027
mol_0398_0001.xyz,2,C,337.657,73.277
mol_0399_0001.xyz,15,C,378.61,43.291
mol_0403_0001.xyz,5,C,404.685,67.573
mol_0405_0001.xyz,6,C,323.021,62.782
mol_0409_0001.xyz,1,C,327.092,40.605
mol_0412_0001.xyz,10,C,408.937,59.229
mol_0414_0001.xyz,17,C,343.465,48.418
mol_0417_0001.xyz,12,C,336.608,64.916
mol_0418_0001.xyz,1,C,282.665,37.321
mol_0420_0001.xyz,25,C,447.489,75.6
mol_0421_0001.xyz,5,C,219.864,57.928
mol_0425_0001.xyz,21,C,385.455,59.682
mol_0430_0001.xyz,16,C,377.064,41.584
mol_0431_0001.xyz,3,C,409.119,64.812
mol_0432_0001.xyz,3,C,274.754,48.093
mol_0433_0001.xyz,10,C,431.284,47.223
mol_0434_0001.xyz,19,C,417.981,55.358
mol_0435_0001.xyz,15,C,349.417,48.423
mol_0436_0001.xyz,2,C,234.281,42.935
mol_0437_0001.xyz,7,C,322.096,47.96
mol_0438_0001.xyz,9,C,248.27,65.2
