mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,296.092,44.562
mol_0004_0001.xyz,3,C,334.255,34.537
mol_0005_0001.xyz,7,C,320.347,46.518
mol_0006_0001.xyz,24,C,353.808,45.055
mol_0007_0001.xyz,4,C,368.384,39.1
mol_0008_0001.xyz,8,C,284.438,37.898
mol_0009_0001.xyz,31,C,504.079,47.12
mol_0011_0001.xyz,11,C,378.115,46.33
mol_0013_0001.xyz,7,C,420.654,41.567
mol_0014_0001.xyz,23,C,378.414,42.9
mol_0016_0001.xyz,4,C,357.345,35.558
mol_0021_0001.xyz,11,C,343.594,48.373
mol_0022_0001.xyz,16,C,385.885,36.202
mol_0025_0001.xyz,14,C,311.457,38.332
mol_0027_0001.xyz,18,C,351.514,51.025
mol_0028_0001.xyz,12,C,218.018,30.771
mol_0029_0001.xyz,8,C,360.611,35.219
mol_0030_0001.xyz,25,C,492.348,47.095
mol_0032_0001.xyz,3,C,345.457,50.651
mol_0033_0001.xyz,27,C,435.626,53.528
mol_0037_0001.xyz,23,C,417.754,36.277
mol_0038_0001.xyz,19,C,364.804,36.378
mol_0043_0001.xyz,24,C,450.846,47.632
mol_0047_0001.xyz,15,C,385.153,26.575
mol_0048_0001.xyz,9,C,284.266,57.812
mol_0049_0001.xyz,4,C,348.955,41.311
mol_0050_0001.xyz,14,C,387.165,45.196
mol_0051_0001.xyz,23,C,374.955,32.429
mol_0052_0001.xyz,22,C,371.073,41.946
mol_0054_0001.xyz,12,C,359.026,43.265
mol_0057_0001.xyz,9,C,254.23,39.567
mol_0058_0001.xyz,5,C,371.654,41.462
mol_0060_0001.xyz,18,C,286.397,57.808
mol_0062_0001.xyz,1,C,244.854,33.503
mol_0064_0001.xyz,16,C,427.559,43.642
mol_0068_0001.xyz,17,C,360.286,47.838
mol_0070_0001.xyz,5,C,362.74,48.034
mol_0075_0001.xyz,4,C,354.06,43.918
mol_0077_0001.xyz,12,C,383.267,41.061
mol_0078_0001.xyz,5,C,327.109,38.317
mol_0079_0001.xyz,13,C,344.353,37.454
mol_0080_0001.xyz,6,C,362.393,39.246
mol_0082_0001.xyz,2,C,388.891,53.334
mol_0085_0001.xyz,8,C,383.635,49.126
mol_0086_0001.xyz,2,C,355.619,45.845
mol_0088_0001.xyz,5,C,282.396,41.64
mol_0090_0001.xyz,14,C,380.265,52.692
mol_0091_0001.xyz,18,C,372.683,37.318
mol_0094_0001.xyz,22,C,381.325,41.939
mol_0095_0001.xyz,19,C,371.416,33.461
mol_0098_0001.xyz,15,C,361.947,39.542
mol_0100_0001.xyz,11,C,377.937,45.596
mol_0102_0001.xyz,11,C,324.199,43.872
mol_0105_0001.xyz,19,C,359.206,26.866
mol_0106_0001.xyz,5,C,327.326,49.579
mol_0110_0001.xyz,30,C,447.356,35.812
mol_0111_0001.xyz,22,C,381.661,43.752
mol_0112_0001.xyz,27,C,427.929,37.547
mol_0113_0001.xyz,20,C,463.894,54.612
mol_0114_0001.xyz,18,C,499.482,58.566
mol_0116_0001.xyz,3,C,367.802,46.217
mol_0117_0001.xyz,15,C,383.341,37.585
mol_0118_0001.xyz,5,C,344.85,55.164
mol_0119_0001.xyz,7,C,337.443,43.875
mol_0121_0001.xyz,6,C,298.38,33.222
mol_0122_0001.xyz,10,C,205.781,31.212
mol_0123_0001.xyz,13,C,378.376,40.01
mol_0124_0001.xyz,9,C,246.316,38.571
mol_0125_0001.xyz,19,C,367.497,50.244
mol_0130_0001.xyz,11,C,430.793,36.156
mol_0131_0001.xyz,5,C,355.782,43.859
mol_0132_0001.xyz,23,C,455.544,33.754
mol_0134_0001.xyz,22,C,376.369,46.589
mol_0136_0001.xyz,11,C,239.421,37.579
mol_0137_0001.xyz,1,C,340.975,27.182
mol_0138_0001.xyz,6,C,235.691,46.122
mol_0141_0001.xyz,17,C,352.157,24.88
mol_0143_0001.xyz,11,C,297.367,50.361
mol_0144_0001.xyz,6,C,349.64,53.699
mol_0147_0001.xyz,18,C,345.556,33.048
mol_0150_0001.xyz,9,C,400.839,42.833
mol_0151_0001.xyz,19,C,296.56,44.928
mol_0152_0001.xyz,13,C,468.528,46.676
mol_0155_0001.xyz,20,C,359.898,32.28
mol_0160_0001.xyz,18,C,280.233,41.375
mol_0163_0001.xyz,4,C,423.895,50.019
mol_0165_0001.xyz,25,C,438.826,45.666
mol_0167_0001.xyz,18,C,306.609,43.392
mol_0170_0001.xyz,22,C,352.903,34.177
mol_0173_0001.xyz,3,C,287.023,32.907
mol_0175_0001.xyz,18,C,361.773,37.344
mol_0177_0001.xyz,13,C,327.211,35.071
mol_0180_0001.xyz,20,C,435.057,52.556
mol_0181_0001.xyz,19,C,385.416,29.488
mol_0183_0001.xyz,1,C,280.105,28.511
mol_0184_0001.xyz,12,C,362.396,52.204
mol_0187_0001.xyz,20,C,454.99,45.118
mol_0190_0001.xyz,26,C,363.759,46.125
mol_0202_0001.xyz,14,C,367.048,40.15
mol_0203_0001.xyz,19,C,389.396,38.0
mol_0204_0001.xyz,14,C,373.613,35.381
mol_0205_0001.xyz,21,C,427.882,32.056
mol_0210_0001.xyz,12,C,378.317,30.038
mol_0211_0001.xyz,5,C,326.435,37.21
mol_0212_0001.xyz,18,C,335.523,30.276
mol_0215_0001.xyz,5,C,270.099,31.481
mol_0216_0001.xyz,22,C,384.375,45.156
mol_0218_0001.xyz,27,C,379.922,42.031
mol_0219_0001.xyz,22,C,391.332,34.681
mol_0220_0001.xyz,8,C,334.368,43.321
mol_0221_0001.xyz,5,C,296.044,58.532
mol_0222_0001.xyz,26,C,433.114,37.25
mol_0225_0001.xyz,6,C,466.551,57.7
mol_0226_0001.xyz,21,C,403.54,32.079
mol_0231_0001.xyz,7,C,426.621,49.636
mol_0236_0001.xyz,3,C,377.762,35.199
mol_0239_0001.xyz,16,C,420.564,45.173
mol_0242_0001.xyz,20,C,361.841,34.374
mol_0243_0001.xyz,10,C,291.549,37.103
mol_0245_0001.xyz,2,C,422.24,37.999
mol_0246_0001.xyz,16,C,349.085,43.123
mol_0248_0001.xyz,12,C,242.379,30.693
mol_0251_0001.xyz,6,C,414.58,34.802
mol_0253_0001.xyz,12,C,290.743,35.618
mol_0254_0001.xyz,1,C,493.605,23.308
mol_0256_0001.xyz,9,C,339.198,47.885
mol_0257_0001.xyz,2,C,331.112,28.332
mol_0258_0001.xyz,3,C,396.064,54.083
mol_0259_0001.xyz,26,C,386.751,31.158
mol_0260_0001.xyz,7,C,289.61,39.909
mol_0263_0001.xyz,16,C,284.032,27.443
mol_0266_0001.xyz,17,C,320.474,47.238
mol_0267_0001.xyz,18,C,404.181,52.725
mol_0268_0001.xyz,8,C,271.976,35.233
mol_0275_0001.xyz,5,C,260.683,43.627
mol_0277_0001.xyz,12,C,455.803,44.988
mol_0279_0001.xyz,13,C,372.33,36.771
mol_0282_0001.xyz,7,C,383.969,34.187
mol_0284_0001.xyz,12,C,293.177,31.204
mol_0285_0001.xyz,11,C,312.888,41.17
mol_0288_0001.xyz,10,C,469.777,33.653
mol_0289_0001.xyz,11,C,286.854,39.96
mol_0292_0001.xyz,20,C,414.245,49.511
mol_0293_0001.xyz,4,C,275.201,38.881
mol_0294_0001.xyz,9,C,216.934,40.179
mol_0298_0001.xyz,11,C,258.694,39.437
mol_0300_0001.xyz,6,C,360.339,44.838
mol_0301_0001.xyz,14,C,407.404,61.35
mol_0307_0001.xyz,4,C,336.694,35.775
mol_0308_0001.xyz,16,C,348.816,25.377
mol_0311_0001.xyz,3,C,365.668,29.072
mol_0312_0001.xyz,25,C,409.546,33.249
mol_0313_0001.xyz,7,C,323.294,41.153
mol_0314_0001.xyz,18,C,312.899,29.449
mol_0315_0001.xyz,14,C,324.259,31.514
mol_0316_0001.xyz,6,C,375.573,42.049
mol_0318_0001.xyz,10,C,412.781,45.693
mol_0319_0001.xyz,4,C,299.615,42.768
mol_0322_0001.xyz,20,C,371.756,36.838
mol_0324_0001.xyz,4,C,374.372,36.164
mol_0325_0001.xyz,12,C,291.762,39.065
mol_0327_0001.xyz,29,C,443.446,60.845
mol_0328_0001.xyz,17,C,284.996,36.477
mol_0329_0001.xyz,3,C,351.038,40.911
mol_0332_0001.xyz,15,C,240.473,29.986
mol_0334_0001.xyz,11,C,259.557,27.089
mol_0336_0001.xyz,3,C,470.399,39.108
