mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,297.542,68.699
mol_0004_0001.xyz,3,C,336.775,66.091
mol_0005_0001.xyz,7,C,320.46,70.619
mol_0006_0001.xyz,24,C,352.451,68.832
mol_0007_0001.xyz,4,C,370.109,67.771
mol_0008_0001.xyz,8,C,285.696,66.661
mol_0009_0001.xyz,31,C,504.036,71.664
mol_0011_0001.xyz,11,C,380.08,72.163
mol_0013_0001.xyz,7,C,422.598,70.292
mol_0014_0001.xyz,23,C,383.164,68.29
mol_0016_0001.xyz,4,C,360.077,63.714
mol_0021_0001.xyz,11,C,345.22,76.568
mol_0022_0001.xyz,16,C,390.647,59.994
mol_0025_0001.xyz,14,C,313.888,66.094
mol_0027_0001.xyz,18,C,354.239,83.096
mol_0028_0001.xyz,12,C,218.381,60.769
mol_0029_0001.xyz,8,C,360.217,63.965
mol_0030_0001.xyz,25,C,495.442,80.485
mol_0032_0001.xyz,3,C,348.3,80.488
mol_0033_0001.xyz,27,C,434.114,72.56
mol_0037_0001.xyz,23,C,421.46,59.681
mol_0038_0001.xyz,19,C,365.768,65.543
mol_0043_0001.xyz,24,C,456.212,89.815
mol_0047_0001.xyz,15,C,387.902,58.944
mol_0048_0001.xyz,9,C,284.26,93.958
mol_0049_0001.xyz,4,C,353.26,60.226
mol_0050_0001.xyz,14,C,388.8,75.828
mol_0051_0001.xyz,23,C,374.04,59.915
mol_0052_0001.xyz,22,C,372.975,66.801
mol_0054_0001.xyz,12,C,359.281,69.605
mol_0057_0001.xyz,9,C,254.365,76.342
mol_0058_0001.xyz,5,C,376.234,67.958
mol_0060_0001.xyz,18,C,287.43,87.427
mol_0062_0001.xyz,1,C,245.995,55.216
mol_0064_0001.xyz,16,C,430.42,72.041
mol_0068_0001.xyz,17,C,363.17,70.335
mol_0070_0001.xyz,5,C,364.486,78.201
mol_0075_0001.xyz,4,C,355.056,78.742
mol_0077_0001.xyz,12,C,385.227,76.372
mol_0078_0001.xyz,5,C,329.548,65.098
mol_0079_0001.xyz,13,C,348.797,66.547
mol_0080_0001.xyz,6,C,362.473,68.893
mol_0082_0001.xyz,2,C,392.519,79.654
mol_0085_0001.xyz,8,C,383.844,81.669
mol_0086_0001.xyz,2,C,357.25,73.634
mol_0088_0001.xyz,5,C,284.677,74.328
mol_0090_0001.xyz,14,C,380.238,77.514
mol_0091_0001.xyz,18,C,370.075,65.723
mol_0094_0001.xyz,22,C,383.083,68.877
mol_0095_0001.xyz,19,C,370.858,57.234
mol_0098_0001.xyz,15,C,362.032,70.352
mol_0100_0001.xyz,11,C,376.44,70.365
mol_0102_0001.xyz,11,C,324.14,70.351
mol_0105_0001.xyz,19,C,361.543,57.128
mol_0106_0001.xyz,5,C,328.051,78.617
mol_0110_0001.xyz,30,C,446.634,62.224
mol_0111_0001.xyz,22,C,381.699,70.512
mol_0112_0001.xyz,27,C,429.06,66.622
mol_0113_0001.xyz,20,C,468.014,70.928
mol_0114_0001.xyz,18,C,501.384,86.385
mol_0116_0001.xyz,3,C,368.218,81.446
mol_0117_0001.xyz,15,C,385.075,66.111
mol_0118_0001.xyz,5,C,343.241,83.007
mol_0119_0001.xyz,7,C,338.951,69.61
mol_0121_0001.xyz,6,C,300.561,61.32
mol_0122_0001.xyz,10,C,207.512,61.969
