
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Charry-Tkatchenko atomic radii will be scaled by 1.0
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
     mol_0091_0001.xyz      1   3.50     440.71      45.09       0.00
     mol_0092_0001.xyz      1   3.50     430.76      49.42       0.00
     mol_0093_0001.xyz      1   3.50     357.94      55.25       0.00
     mol_0094_0001.xyz      1   3.50     473.20      45.22       0.00
     mol_0095_0001.xyz      1   3.50     448.85      51.75       0.00
     mol_0096_0001.xyz      1   3.50     436.67      48.62       0.00
     mol_0097_0001.xyz      1   3.50     429.41      55.46       0.00
     mol_0098_0001.xyz      1   3.50     414.96      36.58       0.00
     mol_0099_0001.xyz      1   3.50     547.16      45.08       0.00
     mol_0100_0001.xyz      1   3.50     460.44      48.31       0.00
     mol_0101_0001.xyz      1   3.50     540.33      46.24       0.00
     mol_0102_0001.xyz      1   3.50     437.70      52.99       0.00
     mol_0105_0001.xyz      1   3.50     437.38      48.64       0.00
     mol_0106_0001.xyz      1   3.50     389.67      50.64       0.00
     mol_0107_0001.xyz      1   3.50     327.55      62.98       0.00
     mol_0108_0001.xyz      1   3.50     527.04      41.14       0.00
     mol_0109_0001.xyz      1   3.50     396.30      56.85       0.00
     mol_0110_0001.xyz      1   3.50     545.31      45.09       0.00
     mol_0111_0001.xyz      1   3.50     496.95      45.29       0.00
     mol_0112_0001.xyz      1   3.50     541.65      63.42       0.00
     mol_0113_0001.xyz      1   3.50     549.73      54.00       0.00
     mol_0114_0001.xyz      1   3.50     601.82      51.66       0.00
     mol_0115_0001.xyz      1   3.50     409.75      55.80       0.00
     mol_0116_0001.xyz      1   3.50     461.04      55.95       0.00
     mol_0117_0001.xyz      1   3.50     460.26      45.71       0.00
     mol_0118_0001.xyz      1   3.50     408.09      50.41       0.00
     mol_0119_0001.xyz      1   3.50     388.85      54.01       0.00
     mol_0120_0001.xyz      1   3.50     489.44      67.45       0.00
     mol_0121_0001.xyz      1   3.50     386.91      52.09       0.00
     mol_0122_0001.xyz      1   3.50     234.10      41.04       0.00
     mol_0123_0001.xyz      1   3.50     485.06      53.72       0.00
     mol_0124_0001.xyz      1   3.50     281.21      46.15       0.00
     mol_0125_0001.xyz      1   3.50     448.45      44.74       0.00
     mol_0126_0001.xyz      1   3.50     512.10      61.47       0.00
     mol_0127_0001.xyz      1   3.50     565.99      45.35       0.00
     mol_0128_0001.xyz      1   3.50     477.40      54.29       0.00
     mol_0129_0001.xyz      1   3.50     433.21      58.36       0.00
     mol_0130_0001.xyz      1   3.50     482.29      62.63       0.00
     mol_0131_0001.xyz      1   3.50     426.29      61.24       0.00
     mol_0132_0001.xyz      1   3.50     530.93      53.16       0.00
     mol_0133_0001.xyz      1   3.50     411.36      60.26       0.00
     mol_0134_0001.xyz      1   3.50     504.92      59.36       0.00
     mol_0135_0001.xyz      1   3.50     432.57      50.44       0.00
     mol_0136_0001.xyz      1   3.50     303.66      49.33       0.00
     mol_0137_0001.xyz      1   3.50     420.66      48.04       0.00
     mol_0138_0001.xyz      1   3.50     302.13      61.78       0.00
     mol_0139_0001.xyz      1   3.50     362.00      54.27       0.00
     mol_0140_0001.xyz      1   3.50     352.29      49.87       0.00
     mol_0141_0001.xyz      1   3.50     430.89      45.26       0.00
     mol_0142_0001.xyz      1   3.50     428.77      55.19       0.00
     mol_0143_0001.xyz      1   3.50     407.93      65.30       0.00
     mol_0144_0001.xyz      1   3.50     425.05      51.08       0.00
     mol_0145_0001.xyz      1   3.50     351.25      44.75       0.00
     mol_0146_0001.xyz      1   3.50     442.72      47.19       0.00
     mol_0147_0001.xyz      1   3.50     404.77      52.30       0.00
     mol_0148_0001.xyz      1   3.50     450.96      59.40       0.00
     mol_0150_0001.xyz      1   3.50     467.01      55.88       0.00
     mol_0151_0001.xyz      1   3.50     355.79      60.80       0.00
     mol_0152_0001.xyz      1   3.50     572.28      60.85       0.00
     mol_0154_0001.xyz      1   3.50     421.62      45.24       0.00
     mol_0155_0001.xyz      1   3.50     448.57      49.41       0.00
     mol_0156_0001.xyz      1   3.50     423.63      39.90       0.00
