mol_file,atom1_idx,element,mol_vol,vbur
mol_0003_0001.xyz,8,C,246.117,51.82
mol_0004_0001.xyz,3,C,281.626,46.042
mol_0005_0001.xyz,7,C,269.45,55.185
mol_0006_0001.xyz,24,C,292.274,52.512
mol_0007_0001.xyz,4,C,308.262,49.201
mol_0008_0001.xyz,8,C,236.94,47.752
mol_0009_0001.xyz,31,C,424.78,55.838
mol_0011_0001.xyz,11,C,320.939,56.227
mol_0013_0001.xyz,7,C,356.089,50.017
mol_0014_0001.xyz,23,C,320.35,51.392
mol_0016_0001.xyz,4,C,297.063,45.187
mol_0021_0001.xyz,11,C,286.446,58.47
mol_0022_0001.xyz,16,C,325.876,42.247
mol_0025_0001.xyz,14,C,263.156,48.182
mol_0027_0001.xyz,18,C,293.505,63.627
mol_0028_0001.xyz,12,C,181.241,41.545
mol_0029_0001.xyz,8,C,300.397,45.381
mol_0030_0001.xyz,25,C,415.191,61.549
mol_0032_0001.xyz,3,C,290.288,62.515
mol_0033_0001.xyz,27,C,362.682,57.399
mol_0037_0001.xyz,23,C,350.418,40.758
mol_0038_0001.xyz,19,C,308.017,46.937
mol_0043_0001.xyz,24,C,382.888,64.806
mol_0047_0001.xyz,15,C,325.419,38.221
mol_0048_0001.xyz,9,C,243.818,74.89
mol_0049_0001.xyz,4,C,294.247,45.56
mol_0050_0001.xyz,14,C,324.759,55.484
mol_0051_0001.xyz,23,C,310.936,40.862
mol_0052_0001.xyz,22,C,308.598,49.5
mol_0054_0001.xyz,12,C,298.848,53.063
mol_0057_0001.xyz,9,C,209.626,54.669
mol_0058_0001.xyz,5,C,316.527,49.839
mol_0060_0001.xyz,18,C,241.661,72.395
mol_0062_0001.xyz,1,C,206.655,38.996
mol_0064_0001.xyz,16,C,362.846,53.903
mol_0068_0001.xyz,17,C,302.579,53.669
mol_0070_0001.xyz,5,C,304.903,59.839
mol_0075_0001.xyz,4,C,293.912,57.847
mol_0077_0001.xyz,12,C,322.212,54.338
mol_0078_0001.xyz,5,C,278.938,47.053
mol_0079_0001.xyz,13,C,288.839,47.99
mol_0080_0001.xyz,6,C,306.094,50.519
mol_0082_0001.xyz,2,C,330.848,61.967
mol_0085_0001.xyz,8,C,321.698,62.07
mol_0086_0001.xyz,2,C,298.957,53.125
mol_0088_0001.xyz,5,C,234.167,53.191
mol_0090_0001.xyz,14,C,318.544,60.897
mol_0091_0001.xyz,18,C,307.493,47.643
mol_0094_0001.xyz,22,C,321.26,51.911
mol_0095_0001.xyz,19,C,305.745,41.418
mol_0098_0001.xyz,15,C,301.915,48.148
mol_0100_0001.xyz,11,C,311.607,52.585
