name,E_rel(kcal/mol),E_tot,attach_atom_idx,pct_V_bur
fragment_00001,0.0,-197.89623902689775,1,13.387875601850723
fragment_00002,0.0,-273.1489726279546,1,15.432375130118125
fragment_00003,0.0,-237.23345969393316,1,18.421732424914445
fragment_00004,0.0,-389.76893183416394,1,21.667183077506884
fragment_00005,0.0,-275.33342980323334,1,20.536368269635133
fragment_00006,0.0,-276.57142562759685,1,23.714562432157123
fragment_00007,0.0,-489.0702307553599,1,21.642534614032215
fragment_00008,0.0,-311.3022119656555,1,20.183258194224443
fragment_00008,0.0010535832779410943,-311.3022102866637,1,20.195377368672084
fragment_00009,0.0,-276.5728377700884,1,18.669985552403002
fragment_00009,1.7481144353221243,-276.57005197241114,1,19.924174642022844
fragment_00009,1.7518109856869968,-276.57004608158314,1,19.931067856384406
fragment_00010,0.0,-495.8267292025582,1,21.327535606237312
fragment_00011,0.0,-315.90938345713533,1,29.04562870807667
fragment_00012,0.0,-849.4363638316919,1,21.644205696301686
fragment_00013,0.0,-710.5438181447042,1,21.301328134519313
fragment_00013,0.7082293965609286,-710.5426895093198,1,21.259926402751713
fragment_00014,0.0,-347.26420915221223,1,18.18176121429442
fragment_00015,0.0,-387.5479609314467,1,19.626582741201577
fragment_00015,1.739269937643856,-387.5451892283736,1,19.575832477501784
fragment_00016,0.0,-445.34183220368135,1,22.930312387941747
fragment_00016,4.6065078741354,-445.3344912661106,1,24.791449807655486
fragment_00016,4.609866686791098,-445.33448591350196,1,24.76902992219186
fragment_00016,4.614172798066944,-445.33447905127684,1,22.507406569304948
fragment_00017,0.0,-292.601011223468,1,22.4339858450334
fragment_00018,0.0,-327.3814836165919,1,18.932479242458527
fragment_00019,0.0,-489.0697757188388,1,23.233822705134052
fragment_00020,0.0,-405.8207749583244,1,20.4655356689029
fragment_00020,0.4557208454896586,-405.8200487209299,1,20.519626103152362
fragment_00021,0.0,-405.8170513362882,1,21.587388899139743
fragment_00021,0.32158839869830447,-405.8165388525537,1,21.56991216373821
fragment_00022,0.0,-354.0457159030692,1,23.498549987989094
fragment_00022,0.06748637911358069,-354.04560835667843,1,24.225521767132587
fragment_00022,2.50530311002356,-354.04172344843136,1,25.257065828905006
fragment_00023,0.0,-596.1462574046731,1,18.468136956256856
fragment_00024,0.0,-393.3921063509415,1,24.076102282024056
fragment_00024,4.459421127915608,-393.384999811021,1,26.472662709533672
fragment_00024,4.4678422099732495,-393.3849863911725,1,26.463332695086077
fragment_00024,4.585862684390775,-393.38479831357483,1,24.230256401329875
fragment_00024,4.644128569489154,-393.38470546097653,1,25.191634840672748
fragment_00024,4.645853211974694,-393.3847027125838,1,25.15065536388797
fragment_00025,0.0,-849.4305908420869,1,24.37670545655581
fragment_00026,0.0,-253.27381544177342,1,16.32995519410665
fragment_00027,0.0,-489.0706323944323,1,21.673553934794338
fragment_00027,0.09097622402716565,-489.07048741459096,1,21.673044306494333
fragment_00027,0.42323903339705904,-489.06995792010025,1,21.6291111945084
fragment_00027,0.423927545154444,-489.0699568228869,1,21.627355616751203
fragment_00028,0.0,-405.81813251286405,1,21.55166951562984
fragment_00029,0.0,-315.9114902051634,1,20.617882669136154
fragment_00029,2.7031961544943097e-05,-315.91149016208516,1,20.60618509324987
fragment_00029,0.8929043184707645,-315.91006727155775,1,21.2920251080111
fragment_00029,0.8939027081119164,-315.91006568052256,1,21.298751936500203
fragment_00029,3.444945060047105,-315.90600033576305,1,22.82872451164361
fragment_00029,3.445804156182099,-315.90599896670625,1,22.838402863120955
fragment_00030,0.0,-849.4365611801693,1,21.684076842899007
fragment_00030,0.06320382235997367,-849.4364604584671,1,21.684393163392908
fragment_00030,0.44215710604118974,-849.4358565579695,1,21.63305377714184
fragment_00030,0.4431906416409685,-849.4358549109256,1,21.631463693996984
fragment_00031,0.0,-370.0816707585754,1,22.42996250509158
fragment_00031,3.217956311863056,-370.07654261877053,1,24.019008163762642
fragment_00032,0.0,-273.16258049681466,1,17.02811944060521
fragment_00033,0.0,-389.96961812723544,1,22.754430979080137
fragment_00033,0.07360395165799082,-389.96950083187227,1,22.74586668244911
fragment_00034,0.0,-275.3428713829929,1,18.793130459303924
fragment_00034,0.0016768058722170989,-275.34286871083265,1,18.80777733293878
fragment_00034,3.1121498867921153,-275.33791185645913,1,20.075823774130097
fragment_00035,0.0,-578.4283399600191,1,21.7650617970761
fragment_00035,0.33407180869146347,-578.4278075827045,1,21.74437072351495
fragment_00035,0.6249128933308583,-578.427344097934,1,21.7176974359867
fragment_00036,0.0,-746.678138446914,1,23.622001190646117
fragment_00037,0.0,-389.96961998915026,1,22.70298873783704
fragment_00037,0.07334779964730986,-389.9695031019913,1,22.798366517081593
fragment_00038,0.0,-2963.3313678848276,1,21.65078591446326
fragment_00039,0.0,-409.42637724279405,1,23.08189872756706
fragment_00039,3.9571030200234825,-409.42007119773245,1,25.123329352908208
fragment_00039,3.9613615620554965,-409.4200644113138,1,25.151212379675886
fragment_00039,4.790181075149698,-409.4187436033462,1,23.32914411042838
fragment_00040,0.0,-383.7229011233664,1,19.054794091331605
fragment_00040,1.1026609493390143,-383.7211439212923,1,19.098887709098502
fragment_00041,0.0,-315.9125591699934,1,18.69175146828947
fragment_00041,0.5529876083931139,-315.9116779281457,1,18.892513359675537
fragment_00041,0.5583621739171573,-315.9116693632304,1,18.896621351111424
fragment_00041,1.7626192174312476,-315.9097502574745,1,19.856777315532035
fragment_00041,2.662599225589524,-315.9083160480397,1,20.25567558722875
fragment_00041,2.673286454224627,-315.90829901685674,1,20.41233954999147
fragment_00041,2.717151840207928,-315.90822911291457,1,20.702272323744335
fragment_00041,2.7213450108609245,-315.9082224306718,1,20.71256244669185
fragment_00042,0.0,-710.542997922861,1,21.107022375095305
fragment_00042,0.8942014738444857,-710.5415729221068,1,21.056519695730127
fragment_00043,0.0,-535.1623309039659,1,20.957112369838356
fragment_00043,3.876081595107163e-05,-535.1623308421966,1,20.9582760361364
fragment_00044,0.0,-726.6028666424857,1,20.276424858741326
fragment_00044,0.00018327117319114316,-726.6028663504245,1,20.267025020975563
fragment_00045,0.0,-312.49941838351606,1,18.59141690369344
fragment_00045,0.33586890340114933,-312.49888314234875,1,19.754356037528936
fragment_00045,0.3398222881687443,-312.4988768422291,1,19.739038103361242
fragment_00046,0.0,-588.3699741286846,1,23.206389104543604
fragment_00047,0.0,-253.28364401756178,1,17.668074321383934
fragment_00048,0.0,-386.6048762535129,1,19.493046006022734
fragment_00048,0.3507013903617852,-386.604317375273,1,19.76312408830277
fragment_00048,0.630544725730082,-386.6038714165315,1,19.618853985705282
fragment_00049,0.0,-588.3646116014128,1,21.646329788159935
fragment_00049,0.021520351203735834,-588.3645773065501,1,21.660220234717432
fragment_00050,0.0,-594.4132763892337,1,21.684381299196833
fragment_00051,0.0,-471.7771720847217,1,17.997946004282056
fragment_00051,0.18377889275276887,-471.776879214414,1,16.72621057725448
fragment_00051,0.18402347698510954,-471.77687882464426,1,16.73094531035131
fragment_00052,0.0,-617.7720790897498,1,21.649035201196444
fragment_00052,0.1254920215823036,-617.7718791054838,1,21.63849616521433
fragment_00052,0.48480456531144767,-617.7713065044975,1,21.608734734858796
fragment_00052,0.5056721669582178,-617.7712732498575,1,21.60472637768548
fragment_00053,0.0,-444.18669426235033,1,22.618934058397365
fragment_00054,0.0,-482.08402803606714,1,21.670873384185292
fragment_00055,0.0,-314.6767315189821,1,22.054038622888953
fragment_00055,0.6109740104096669,-314.67575786992074,1,23.417500739786593
fragment_00056,0.0,-399.7872874349972,1,18.813417117791435
fragment_00056,1.3789883311076272,-399.7850898772102,1,18.841313331406948
fragment_00057,0.0,-880.3636258143218,1,20.400502717249395
fragment_00057,0.057068113783116894,-880.3635348704937,1,20.377246822332623
fragment_00057,0.3206417118316305,-880.3631148392288,1,20.33644456358642
fragment_00058,0.0,-594.4126325879681,1,21.674551701809904
fragment_00058,0.007275446031262539,-594.4126209938069,1,21.64643380599431
fragment_00058,0.4423477419980221,-594.4119276619706,1,21.617120237850706
fragment_00058,0.4471453799928261,-594.4119200164478,1,21.619803822181126
fragment_00059,0.0,-1309.0966457185898,1,24.363131272693096
fragment_00060,0.0,-543.5126699285026,1,24.60684828305531
fragment_00061,0.0,-2963.3313539600144,1,21.68876789015419
fragment_00061,0.04817081327312423,-2963.3312771949372,1,21.696299019403064
fragment_00061,0.395906293381821,-2963.3307230431765,1,21.63380093399443
fragment_00061,0.3997514102845103,-2963.3307169155923,1,21.639262077921174
fragment_00062,0.0,-421.8738459791411,1,19.346815717921313
fragment_00063,0.0,-350.6423482756923,1,20.499991296628313
fragment_00063,0.00019803035497952833,-350.64234796011084,1,20.499921669654825
fragment_00063,0.8504027384945717,-350.64099307266565,1,20.339299329130096
fragment_00063,2.54503806699832,-350.63829249936987,1,22.427621221963907
fragment_00063,2.5454663639368387,-350.6382918168353,1,22.411093201132157
fragment_00064,0.0,-274.096765743221,1,18.026591096612922
fragment_00065,0.0,-366.72211183760254,1,19.996588207033167
fragment_00065,0.004356443351729761,-366.7221048951682,1,20.000306358043428
fragment_00065,0.30824102110977925,-366.72162062426816,1,19.600201918223117
fragment_00065,4.153137819143763,-366.71549339120327,1,20.076102282024056
fragment_00066,0.0,-863.4921059138162,1,23.595938243702594
fragment_00066,0.21516617083007808,-863.491763024697,1,24.666845379631592
fragment_00066,1.0479170146519141,-863.4904359517551,1,24.548521297150515
fragment_00067,0.0,-588.3637856668927,1,24.46733624606172
fragment_00068,0.0,-429.3084992970128,1,23.934145432897346
fragment_00068,4.327622017268773,-429.3016027923445,1,24.05188710446701
fragment_00068,4.579119218535412,-429.301202006043,1,26.103210218668078
fragment_00068,4.844393821744061,-429.300779264054,1,24.920780256162985
fragment_00068,4.845000797090551,-429.3007782967772,1,24.90459363957597
fragment_00069,0.0,-315.9093988246722,1,24.20611407225342
fragment_00069,1.3369436612615442,-315.9072682693316,1,25.207231608521123
fragment_00069,1.7689503610669202,-315.90657982283375,1,26.23996045105296
fragment_00069,1.8735750459390244,-315.9064130927855,1,25.229525797543833
fragment_00069,2.696339100314136,-315.9051019348056,1,26.40251319224013
fragment_00070,0.0,-315.90940024740325,1,24.20776688889276
fragment_00070,1.3380579635048013,-315.90726791630897,1,25.209802601392113
fragment_00070,1.768491257995236,-315.90658197719205,1,26.223050009573708
fragment_00071,0.0,-482.08325904278877,1,21.660867997123066
fragment_00071,0.08578282994073337,-482.0831223391477,1,21.682397468960794
fragment_00071,0.5246963202724041,-482.0824228859785,1,21.624098073360063
fragment_00071,0.5419352289578289,-482.0823954140288,1,21.625963048193313
fragment_00072,0.0,-290.2103539091961,1,18.01391872273612
fragment_00073,0.0,-1309.0996505250907,1,21.64552863643168
fragment_00073,0.08544904702649624,-1309.0995143533664,1,21.654162561490605
fragment_00073,0.4651530187493402,-1309.0989092565712,1,21.60629427840345
fragment_00073,0.47138093993424085,-1309.0988993317471,1,21.605806889589026
fragment_00074,0.0,-2963.3238059342607,1,24.544482932688123
fragment_00075,0.0,-521.437817299412,1,22.639335187770463
fragment_00076,0.0,-465.0449584811749,1,21.620985569809744
fragment_00077,0.0,-863.4921072949893,1,23.59873975177984
fragment_00077,0.2149833531866848,-863.4917646972086,1,24.674434878272102
fragment_00077,1.048791415823604,-863.4904359394812,1,24.545179202423018
fragment_00078,0.0,-355.25333342889604,1,18.948749995648225
fragment_00078,0.002107453892093374,-355.2533300704545,1,18.948563073334608
fragment_00078,0.48228793697834493,-355.2525648541463,1,19.329965638370833
fragment_00078,0.9025820421675004,-355.2518950728561,1,19.220857891860092
fragment_00078,0.9700031611871683,-355.25178763046387,1,19.566075637361223
fragment_00078,1.5538450043377094,-355.2508572192633,1,20.15185960123799
fragment_00078,1.5607550786345088,-355.25084620735896,1,19.98314992044952
fragment_00078,2.227755515478229,-355.2497832745039,1,20.819805110030323
fragment_00078,2.289589387785908,-355.24968473595607,1,20.91742416593847
fragment_00079,0.0,-383.7359129200961,1,20.02485734875835
fragment_00079,0.3503718625402872,-383.7353545669922,1,19.990112763238976
fragment_00079,0.354452659105159,-383.73534806382895,1,19.9961008080379
fragment_00080,0.0,-543.5218989416036,1,21.702008260296825
fragment_00080,0.8540783549273449,-543.5205378811094,1,21.66858831360164
fragment_00081,0.0,-448.75784543508274,1,24.289974384700162
fragment_00081,9.138566701217847e-05,-448.7578452894504,1,24.292990304443943
fragment_00081,0.4741190104831822,-448.75708987834605,1,24.159724277184978
fragment_00081,0.477888665598055,-448.7570838710182,1,24.1593546383627
fragment_00081,1.697875093782197,-448.7551396988924,1,23.41778101163143
fragment_00081,1.8803335491679636,-448.75484893283556,1,24.322254289981515
fragment_00081,1.8806987013523933,-448.7548483509285,1,24.33694893116022
fragment_00081,2.4516635138505323,-448.75393846058245,1,24.33998851154937
fragment_00081,2.464385774187557,-448.75391818637013,1,24.3019924174642
fragment_00081,3.4737794590354394,-448.7523096151428,1,25.61518456755524
fragment_00081,4.109241986218533,-448.7512969411459,1,25.951395919117598
fragment_00081,4.113577853025685,-448.7512900315023,1,25.99277953202733
fragment_00082,0.0,-588.3697430957673,1,23.23131608172985
fragment_00083,0.0,-421.8647190514127,1,20.382956353419974
fragment_00083,0.07380566981594007,-421.8646014345912,1,20.44701450708295
fragment_00084,0.0,-389.9819462406967,1,22.17602762856019
fragment_00084,1.2635739170556624,-389.97993260748586,1,22.87586295732822
fragment_00084,1.2644670973895493,-389.97993118411244,1,22.851572699263695
fragment_00084,4.670694880513965,-389.9745030146203,1,24.663823565249178
fragment_00084,4.670942442514232,-389.97450262010517,1,24.665522439501597
fragment_00085,0.0,-387.5439683996225,1,20.563015467955253
fragment_00085,1.4478321835479562,-387.5416611321734,1,20.49908614597295
fragment_00086,0.0,-1170.2045492091172,1,21.32273124471259
fragment_00086,0.7285911587896728,-1170.2033881251991,1,21.273295060907465
fragment_00087,0.0,-537.5048445673892,1,19.41485491479399
fragment_00088,0.0,-594.4008186194052,1,25.33805495077045
fragment_00088,0.0025842000363476324,-594.4008145012203,1,25.34505710569776
fragment_00089,0.0,-329.5468275807071,1,18.80779808529156
fragment_00089,0.5036022939579464,-329.5460250393674,1,20.202741747951347
fragment_00089,0.5037104611922579,-329.54602486699196,1,20.2048425560062
fragment_00090,0.0,-367.6748123662283,1,20.292996424580227
fragment_00091,0.0,-465.04301658146613,1,23.58739586198253
fragment_00092,0.0,-465.0455246540425,1,21.67098246271229
fragment_00092,0.060031065186327316,-465.0454289884507,1,21.673031865450024
fragment_00092,0.4131212775314709,-465.0448663033807,1,21.636582011871397
fragment_00092,0.5168370032428455,-465.0447010218511,1,21.646781948133786
fragment_00093,0.0,-429.31485538792043,1,25.277974091261978
fragment_00093,8.775805783268545e-05,-429.314855248069,1,25.265536911980647
fragment_00093,2.61108405355301,-429.31069436061887,1,24.642239203467422
fragment_00094,0.0,-571.0950240043172,1,18.1772354610176
fragment_00094,0.0014347408443779281,-571.0950217179121,1,18.17559593230724
fragment_00094,1.0846115759835775,-571.0932955657505,1,17.931661125520023
fragment_00095,0.0,-522.628398215428,1,23.899787504838933
fragment_00095,2.8619729102007607,-522.6238373712838,1,24.328597956706922
fragment_00095,4.312797040731388,-522.6215253358637,1,22.925804933341134
fragment_00096,0.0,-415.80204494882094,1,18.5166359721347
fragment_00096,0.9987316602126586,-415.8004533686114,1,18.5536782957746
