name,E_rel(kcal/mol),E_tot,attach_atom_idx,pct_V_bur
fragment_00001,0.0,-271.74995704688916,3,13.382235699191266
fragment_00002,0.0,-347.005503556859,3,15.679598502460967
fragment_00003,0.0,-311.0889963198716,3,18.952975965431552
fragment_00004,0.0,-463.62937875806466,4,22.160942749221046
fragment_00004,0.005471502820283914,-463.6293700386699,4,22.14928374383276
fragment_00005,0.0,-349.19048144730374,3,21.068594500993232
fragment_00006,0.0,-350.4292457920607,3,24.552116073131977
fragment_00007,0.0,-562.9303253479636,3,22.128844714442373
fragment_00007,0.004425713442690718,-562.9303182951403,3,22.12640777037024
fragment_00008,0.0,-385.15991779096737,3,20.43099096590019
fragment_00009,0.0,-350.42884027113706,3,19.242927247712043
fragment_00009,0.007537699636874735,-350.4288282590481,3,22.19728756062883
fragment_00009,0.0076466520331133795,-350.4288280854214,3,22.202416802732216
fragment_00010,0.0,-569.67350092355,3,21.45307566173117
fragment_00011,0.0,-389.76893424217457,3,30.1007140146702
fragment_00012,0.0,-923.2963008139229,3,22.1393653160991
fragment_00012,0.005265724412909602,-923.2962924224569,3,22.13566815784435
fragment_00013,0.0,-784.4013041907114,3,21.699872930773378
fragment_00014,0.0,-421.1202922712208,3,18.35746538596778
fragment_00015,0.0,-461.4052800288,3,19.95126010047382
fragment_00016,0.0,-519.2014115832742,3,23.56010079172611
fragment_00016,0.0008692946828810018,-519.201410197965,3,23.55863461504987
fragment_00016,1.597768144899459,-519.1988653776615,3,26.713850545701405
fragment_00016,1.5980734797250724,-519.1988648910794,3,26.666773428546364
fragment_00017,0.0,-366.4617330757637,3,22.83774704176516
fragment_00018,0.0,-401.2366432353869,3,19.168358057227604
fragment_00019,0.0,-562.9287551938173,3,23.77065387818076
fragment_00019,0.0026429305092416306,-562.9287509820394,3,23.765996852849845
fragment_00020,0.0,-479.6776178295324,3,20.75632364296422
fragment_00021,0.0,-479.67645507403347,3,22.04784169280634
fragment_00021,0.0005673919939296955,-479.6764541698368,3,22.048310968175862
fragment_00022,0.0,-427.90153712894397,3,24.73233874353606
fragment_00022,0.019037149132522715,-427.90150679131574,3,24.733223693830062
fragment_00022,0.04677329039605743,-427.90146259096116,3,24.064260484313998
fragment_00022,0.35732745978567937,-427.90096769139035,3,27.136251504819253
