name,E_rel(kcal/mol),E_tot,pct_V_bur_r2.5,pct_V_bur_r3.5,pct_V_bur_r4.5,pct_V_bur_r5.5,pct_V_bur_r6.5,pct_V_bur_r7.5,pct_V_bur_r8.5
fragment_00001,0.0,-197.89623902689775,25.707547620549224,13.387875601850723,6.297280532194812,3.449102879149553,2.0896510238448833,1.3600670682347986,0.9343636233225279
fragment_00002,0.0,-273.1489726279546,24.228941866287492,15.432375130118125,8.40171249768285,4.601727780331991,2.7879728452742505,1.8145757405050094,1.2466102615747747
fragment_00003,0.0,-237.23345969393316,27.670561613937718,18.421732424914445,10.272988270465113,5.635690885213412,3.4144030030392294,2.2222931145561327,1.5267113623273934
fragment_00004,0.0,-389.76893183416394,28.793198014749866,21.667183077506884,15.061975202058875,10.602749904164678,6.729309682443163,4.379990894972174,3.0090458465827377
fragment_00005,0.0,-275.33342980323334,28.170903711857996,20.536368269635133,12.654135599370914,6.949598962592743,4.2104387999797845,2.7403997554261634,1.882649690324033
fragment_00006,0.0,-276.57142562759685,29.99871958782194,23.714562432157123,14.230158797740685,7.806547009893147,4.729623766960156,3.078315688687271,2.1147973271240694
fragment_00007,0.0,-489.0702307553599,28.756423707661817,21.642534614032215,15.063678267379945,10.600514905421289,7.045469982920974,4.691183090565601,3.2228343237949293
fragment_00008,0.0,-311.3022119656555,28.05234169256231,20.183258194224443,11.395210063281977,6.24616681139878,3.78426197474391,2.4630189589993634,1.6920895833685647
fragment_00008,0.0010535832779410943,-311.3022102866637,28.066963517877962,20.195377368672084,11.398714447692642,6.248247653178208,3.785522660002423,2.463839486677884,1.6926532844040836
fragment_00009,0.0,-276.5728377700884,27.68718871955998,18.669985552403002,11.83912058947021,7.729448234307089,4.733634050239393,3.0809258155267036,2.1165904795560215
fragment_00009,1.7481144353221243,-276.57005197241114,27.98210460131903,19.924174642022844,12.97300182948517,7.824557054259923,4.7405352152321205,3.085417497215157,2.1196762567763185
fragment_00009,1.7518109856869968,-276.57004608158314,28.006566801340878,19.931067856384406,12.97226892792882,7.823462818496603,4.739991816413795,3.085063821491657,2.119433282192043
fragment_00010,0.0,-495.8267292025582,29.6082542000065,21.327535606237312,10.671047038009144,5.844671977716337,3.541014927708938,2.304699558131698,1.5833244404635491
fragment_00011,0.0,-315.90938345713533,32.501796471271746,29.04562870807667,18.146160996005005,9.9556978022185,6.0316942794776205,3.9257793103097045,2.697003306981282
fragment_00012,0.0,-849.4363638316919,28.765411099622927,21.644205696301686,15.058110553830293,10.612659239667808,7.287554156484729,5.171297885217232,3.5777472990459263
fragment_00013,0.0,-710.5438181447042,28.21098418899058,21.301328134519313,15.02424575494593,9.860750426886487,6.109867633481844,3.9766590998924545,2.7319576306751334
fragment_00013,0.7082293965609286,-710.5426895093198,28.129861294255697,21.259926402751713,15.00908192333717,9.858023806623786,6.108802571797926,3.9759658954743933,2.7314814004899537
fragment_00014,0.0,-347.26420915221223,27.560478707749,18.18176121429442,9.508672205122428,5.208024084667299,3.155299578485536,2.0536534560767286,1.410856221053223
fragment_00015,0.0,-387.5479609314467,27.627170795007384,19.626582741201577,13.460937617696745,8.715103520981613,5.318918049480809,3.461862863794386,2.378293544787311
fragment_00015,1.739269937643856,-387.5451892283736,27.47790790117417,19.575832477501784,13.417665634565413,8.709327391214579,5.317581288387729,3.4609928215145747,2.3776958273099935
