name,E_rel(kcal/mol),E_tot,pct_V_bur_r2.5,pct_V_bur_r3.5,pct_V_bur_r4.5,pct_V_bur_r5.5,pct_V_bur_r6.5,pct_V_bur_r7.5,pct_V_bur_r8.5
fragment_00001,0.0,-271.74995704688916,26.065576276952356,13.382235699191266,6.294627680444684,3.4476498775621938,2.088770717759197,1.3594941135627283,0.9339700044960018
fragment_00002,0.0,-347.005503556859,25.115431070068954,15.679598502460967,8.406494181084316,4.604346770847479,2.7895595698237594,1.81560847361763,1.2473197473608588
fragment_00003,0.0,-311.0889963198716,28.77650404608369,18.952975965431552,10.288676122172665,5.637341208003994,3.4154028568649473,2.2229438778873734,1.5271584355624601
fragment_00004,0.0,-463.62937875806466,29.77255483547923,22.160942749221046,15.300494727513414,10.676843032775711,6.731287654141867,4.381115583772905,3.009818505760733
fragment_00004,0.005471502820283914,-463.6293700386699,29.748588137488174,22.14928374383276,15.293763161945561,10.673995151217264,6.730559499725311,4.380641658303414,3.0094929198178044
fragment_00005,0.0,-349.19048144730374,29.261236057046435,21.068594500993232,12.674670636992284,6.948719986323846,4.209906269137827,2.7400531532171333,1.8824115752314432
fragment_00006,0.0,-350.4292457920607,31.56654550458085,24.552116073131977,14.260715719751433,7.814009339033166,4.73414484512862,3.081258270706794,2.1168188756652406
fragment_00007,0.0,-562.9303253479636,29.715664989985786,22.128844714442373,15.292445791758343,10.675059155999813,7.067466767086768,4.6904757391186,3.2223483746263786
fragment_00007,0.004425713442690718,-562.9303182951403,29.71622843143063,22.12640777037024,15.292838806832437,10.675615243027071,7.068336205196088,4.69086478241445,3.222615646669081
fragment_00008,0.0,-385.15991779096737,28.659806818312124,20.43099096590019,11.398943706485863,6.247512183238927,3.7850770729713967,2.4635494725846137,1.6924540452449777
fragment_00009,0.0,-350.42884027113706,28.846966097581024,19.242927247712043,11.996122253808968,7.766724003424779,4.734655640017845,3.0815907258868838,2.1170472717744593
fragment_00009,0.007537699636874735,-350.4288282590481,30.708530497733406,22.19728756062883,13.83416335933565,7.814493672895619,4.734438280490514,3.081449255597484,2.116950081940749
fragment_00009,0.0076466520331133795,-350.4288280854214,30.717425371708135,22.202416802732216,13.838028007564231,7.8165206998014405,4.735666361819929,3.0822485627325946,2.117499204501211
fragment_00010,0.0,-569.67350092355,30.08378532304364,21.45307566173117,10.664791548079826,5.841245764096761,3.5389391442229363,2.303348516867927,1.582396277551617
fragment_00011,0.0,-389.76893424217457,34.28039605019999,30.1007140146702,18.19387957625115,9.969438533279208,6.040019149374357,3.9311976223937286,2.7007256776123802
